"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1132872	0.6300242	0.2491189	0.0513928	0.6098473	0.3674568	0.1783117	0.7054804	0.7294319	0.7338412
5	0.0429312	0.5776873	0.1786611	0.0643033	0.6863334	0.5386687	0.1484102	0.5822255	0.5339869	0.7303584
10	0.0844829	0.6172816	0.2241818	0.0848367	0.6773075	0.5966116	0.1434095	0.6132114	0.5965103	0.5608455
15	0.0580161	0.6589623	0.2285291	0.0992883	0.7055535	0.5512610	0.1599725	0.5168199	0.5618974	0.4777425
20	0.0713810	0.6629393	0.2149108	0.0956429	0.7960125	0.5211286	0.2177870	0.5211438	0.5488516	0.4347263
25	0.0760448	0.7736520	0.1752205	0.0627370	0.7022448	0.4790612	0.1770119	0.4439929	0.6656434	0.3714365
30	0.0530079	0.7189643	0.2296100	0.1269089	0.6941986	0.4906533	0.1615800	0.4544607	0.6112541	0.3431467
35	0.0643170	0.6551147	0.2280885	0.0484156	0.7084987	0.4982141	0.1401749	0.4309226	0.5935973	0.3162436
40	0.0488379	0.6686540	0.2680220	0.0500655	0.7335167	0.4897880	0.1633124	0.4027897	0.5321979	0.2539529
45	0.0676936	0.5984372	0.2193645	0.1053856	0.7366197	0.4450849	0.1455418	0.4714296	0.6310134	0.2512837
50	0.1672341	0.5982381	0.2288373	0.0569540	0.6309692	0.4851067	0.1422181	0.3621135	0.5517112	0.1999437
55	0.0792673	0.5946953	0.2012255	0.0517602	0.6712745	0.3991296	0.2120986	0.3289631	0.6811871	0.2149984
60	0.0774766	0.7032628	0.1869238	0.0853491	0.7022176	0.3936439	0.2082752	0.3095527	0.6304606	0.1659153
65	0.0482010	0.7667814	0.2668040	0.1012127	0.7443073	0.4791716	0.2007425	0.3473027	0.7345007	0.1871662
70	0.0690870	0.6211919	0.1934101	0.0685396	0.7230491	0.5009912	0.2192078	0.4372971	0.5878083	0.1437326
75	0.0822530	0.7826358	0.2198876	0.1194315	0.6975123	0.5301166	0.2664711	0.2995428	0.6395506	0.1504025
80	0.0448250	0.7017574	0.2008256	0.0557257	0.5362231	0.5466561	0.1827279	0.3161416	0.6978465	0.1127804
85	0.0783867	0.6921841	0.2038159	0.0860088	0.6594025	0.4509734	0.2150551	0.2921066	0.5479594	0.0976272
90	0.0650460	0.7514409	0.1887111	0.0910190	0.6411148	0.5289734	0.2905045	0.2973279	0.6027848	0.0977000
95	0.1116891	0.6224067	0.2737389	0.0653106	0.7076872	0.5631366	0.2945410	0.3243191	0.6056392	0.1212773
100	0.0776921	0.6091138	0.2056688	0.1098505	0.7414499	0.4232094	0.2828392	0.3277375	0.6954470	0.0938408
105	0.0612582	0.6632285	0.2317251	0.1011676	0.7246764	0.5144901	0.2825430	0.2789972	0.6534842	0.1082475
110	0.0481898	0.5687505	0.1934443	0.0839178	0.6253234	0.4516035	0.3272858	0.3386336	0.7174360	0.1136647
115	0.0689612	0.5692817	0.1521291	0.0665855	0.6460202	0.4953436	0.3711736	0.2509946	0.6661302	0.1073119
120	0.0767079	0.6802406	0.2293189	0.1468577	0.7881353	0.4938555	0.3350811	0.3619652	0.6877856	0.0572096
125	0.0963621	0.6704542	0.2233606	0.0699597	0.6639671	0.4681683	0.3169417	0.2923086	0.8297368	0.1049787
130	0.0971879	0.5601614	0.2720579	0.0994352	0.8072044	0.4572607	0.4272831	0.2709247	0.7065642	0.0472881
135	0.1062305	0.6336111	0.2835914	0.0794282	0.6714743	0.4350901	0.3783524	0.4088295	0.6586981	0.0376628
140	0.0461448	0.5821195	0.1944196	0.0571408	0.7100766	0.4151730	0.4994343	0.3231293	0.6593801	0.0844708
145	0.0621447	0.7140565	0.1853289	0.0670433	0.6969787	0.5115044	0.4499222	0.2298931	0.6965894	0.0370650
150	0.0814853	0.6236473	0.2614644	0.0928424	0.5077389	0.3641229	0.4894996	0.3136153	0.7185351	0.0447934
155	0.0667303	0.6281449	0.2759168	0.1492922	0.5918809	0.5871084	0.4763258	0.2544941	0.6068462	0.0352351
160	0.0460870	0.6326658	0.2721948	0.0949281	0.6229252	0.4364821	0.4732385	0.3137721	0.5975253	0.0264045
165	0.0637300	0.6990463	0.2493339	0.1082202	0.6636740	0.4813440	0.5237113	0.2420189	0.6886413	0.0153298
170	0.0673071	0.6958003	0.2035903	0.0699632	0.5935509	0.4923714	0.4761031	0.3445789	0.6535474	0.0666849
175	0.1930724	0.5152507	0.1983845	0.0867045	0.5688961	0.4110876	0.5479750	0.3261651	0.6970381	0.0335684
180	0.0845611	0.6579573	0.2427234	0.1350336	0.6001447	0.3373895	0.5815999	0.2816507	0.5484248	0.0584729
185	0.0577379	0.5855791	0.2414689	0.1012852	0.5870368	0.4231049	0.5173870	0.3287453	0.6014683	0.0281450
190	0.0734896	0.6867736	0.2708015	0.1382641	0.6033218	0.3937812	0.5689820	0.2551353	0.6553191	0.0315221
195	0.0936324	0.6970361	0.2376906	0.1184383	0.7462588	0.4761755	0.5534985	0.3090111	0.6093914	0.0718367
200	0.1116167	0.6950472	0.2627348	0.1246654	0.5998365	0.4860116	0.5887498	0.3087067	0.7170093	0.0521920
205	0.0861621	0.6022837	0.2798274	0.0877803	0.5226852	0.4654053	0.6332180	0.3411034	0.6567582	0.0286328
210	0.0860233	0.6523067	0.1994541	0.1235122	0.5112165	0.5757728	0.5955085	0.3470644	0.6978696	0.0334953
215	0.0787502	0.6325355	0.2603984	0.0912974	0.7245386	0.4860347	0.4714004	0.3424658	0.6225515	0.0137290
220	0.0695680	0.5856647	0.2215070	0.0772935	0.6037184	0.5383344	0.4929030	0.2153370	0.5802511	0.0379002
225	0.0919366	0.5982975	0.2672976	0.1285532	0.6462794	0.4415379	0.6428074	0.3004928	0.6513355	0.0490867
230	0.1354282	0.6577317	0.2317487	0.0962870	0.7413858	0.4850232	0.6833602	0.3052788	0.5976458	0.0368108
235	0.0807770	0.6856248	0.2186341	0.0750396	0.5979343	0.4381527	0.6187226	0.2345281	0.5979391	0.0396114
240	0.0728564	0.6020220	0.2691764	0.1005442	0.6293074	0.5264515	0.6983733	0.2341583	0.5624367	0.0374185
245	0.0898177	0.6094468	0.2061657	0.1336492	0.5708123	0.5103436	0.6581427	0.2495655	0.5539752	0.0262003
250	0.0940818	0.6733737	0.1617374	0.1171007	0.6840322	0.4822686	0.6543853	0.2828817	0.7181266	0.0321608
255	0.0839950	0.7322302	0.2268755	0.0948014	0.6766379	0.3957598	0.6318163	0.2960818	0.6309237	0.0162440
260	0.0601766	0.6334945	0.2681634	0.1173285	0.8368409	0.4680690	0.5698569	0.2737874	0.5280553	0.0321885
265	0.0671777	0.6515516	0.2629991	0.1327256	0.7725483	0.4239897	0.6744950	0.2804147	0.5630653	0.0357019
270	0.0394917	0.5353546	0.1787614	0.0570487	0.7982180	0.4677530	0.7540199	0.2896968	0.6333344	0.0279072
275	0.0951205	0.6558401	0.1761952	0.0691137	0.7783088	0.4277560	0.6025228	0.2824947	0.6708705	0.0197086
280	0.0539643	0.6335202	0.1789245	0.0650832	0.7747345	0.3527385	0.6461333	0.2697573	0.7109351	0.0545258
285	0.0942405	0.6218366	0.2405548	0.0883498	0.6810054	0.4793083	0.6027049	0.2977451	0.7003940	0.0338713
290	0.0870458	0.6972962	0.2634586	0.0914997	0.5913848	0.4117780	0.6601181	0.2124013	0.6926644	0.0344591
295	0.1093224	0.5248310	0.2329260	0.0853985	0.6592408	0.4257860	0.6688121	0.2023083	0.5671634	0.0172069
300	0.1255016	0.7448646	0.2555933	0.0792385	0.7108641	0.5338379	0.5977120	0.2512350	0.6516021	0.0113380
305	0.1129388	0.6338734	0.2171072	0.0617080	0.7413198	0.5110391	0.6355219	0.2601181	0.6251278	0.0237363
310	0.0900991	0.7176041	0.1978279	0.0628390	0.6712595	0.4221652	0.6756870	0.2192011	0.6812014	0.0225894
315	0.0522015	0.6713408	0.2454121	0.0927573	0.7434445	0.4645976	0.6944990	0.2875099	0.6485023	0.0086812
320	0.0403597	0.6552545	0.1698454	0.0767798	0.7567922	0.4261049	0.5389851	0.2785060	0.7600143	0.0449804
325	0.0581180	0.6314090	0.1899754	0.0779633	0.6691412	0.6177495	0.6501740	0.2234537	0.6244453	0.0116926
330	0.1230794	0.6923386	0.2647658	0.0763186	0.7091025	0.5643558	0.5725344	0.2813086	0.7508068	0.0193405
335	0.0655913	0.7148249	0.2477823	0.0671700	0.8710927	0.4911554	0.6349877	0.2444642	0.6742150	0.0134867
340	0.0630917	0.6428729	0.1768345	0.1359980	0.7085151	0.4679269	0.6149269	0.1685424	0.6818652	0.0137492
