"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1273165	0.7931059	0.2536379	0.1314699	0.7247394	0.3806090	0.1798908	0.5639944	0.6036467	0.7327600
5	0.1131682	0.6687198	0.2062308	0.1142547	0.7310370	0.5019517	0.1544081	0.5761577	0.6675039	0.6470329
10	0.1358398	0.6014193	0.1409566	0.1225422	0.7241755	0.4742440	0.1434795	0.4848351	0.7442025	0.5365969
15	0.0847924	0.6566868	0.1296389	0.0764456	0.7036942	0.5251053	0.1585059	0.4362688	0.5220319	0.7509404
20	0.1023178	0.6228694	0.1479393	0.0974490	0.7301367	0.4410570	0.1485800	0.3728494	0.6259464	0.5922480
25	0.0836873	0.6673235	0.1318656	0.0747906	0.6555650	0.4937951	0.2230555	0.3415498	0.7481835	0.6668573
30	0.0699910	0.6411606	0.0892282	0.0870743	0.6231050	0.3993180	0.1723786	0.2415937	0.5774882	0.7014917
35	0.0832176	0.5333927	0.0815072	0.1079851	0.7208780	0.4309926	0.2304524	0.2188703	0.6525884	0.6675420
40	0.0893767	0.6520826	0.0637297	0.0914253	0.7054671	0.4502274	0.2026510	0.1953903	0.6882666	0.7223307
45	0.0765442	0.6680654	0.0599920	0.0661962	0.6847061	0.3894873	0.2292084	0.1706434	0.6942045	0.5811217
50	0.0630944	0.6133265	0.0452906	0.0464761	0.7808781	0.4112089	0.2629463	0.1761723	0.6394252	0.6320441
55	0.0709386	0.6514145	0.0312516	0.1072522	0.6852824	0.3182841	0.2111528	0.1224992	0.6753480	0.5929029
60	0.0660666	0.6650487	0.0572895	0.0600648	0.6706359	0.2553630	0.2045222	0.1209457	0.6842514	0.7395452
65	0.0898265	0.6056719	0.0563625	0.0362654	0.6915144	0.3263797	0.1939713	0.1316298	0.6117865	0.6581792
70	0.0832255	0.6154802	0.0490890	0.0755733	0.5983716	0.3098899	0.2220023	0.0917098	0.6336377	0.7018792
75	0.0645183	0.5779769	0.0324145	0.0996908	0.5880835	0.2871156	0.2579539	0.0735374	0.5339902	0.6196624
80	0.0723805	0.6386068	0.0239716	0.0983976	0.8903522	0.2305334	0.1902355	0.0765593	0.7243255	0.6548966
85	0.0632135	0.6915599	0.0278810	0.0744886	0.6614667	0.2154391	0.1713267	0.0444483	0.6715538	0.6365841
90	0.0739937	0.6888087	0.0325941	0.0629247	0.8718792	0.2862789	0.1958389	0.0400979	0.6516399	0.7203220
95	0.1118988	0.5065096	0.0345695	0.0643008	0.6733797	0.2259924	0.1598782	0.0512181	0.6004035	0.6393037
100	0.0678381	0.7092760	0.0367237	0.0913742	0.7096465	0.2080411	0.1934786	0.0326239	0.5475805	0.6678403
105	0.0454509	0.6741241	0.0147162	0.0532670	0.6103385	0.2753871	0.2396583	0.0336277	0.6476900	0.6812390
110	0.0760415	0.5625191	0.0426886	0.1197968	0.6419062	0.1308469	0.2211855	0.0238642	0.6265690	0.6599201
115	0.0523406	0.4767871	0.0140637	0.0957743	0.6186104	0.1781355	0.2119408	0.0212358	0.6716225	0.7156330
120	0.0603399	0.5190827	0.0092492	0.0788606	0.6375878	0.1315275	0.2765964	0.0220879	0.6600046	0.7339970
125	0.0437775	0.4642264	0.0027029	0.0915944	0.7002156	0.1167172	0.2019249	0.0145202	0.5836653	0.7051261
130	0.0606953	0.5907415	0.0032654	0.1415305	0.6313444	0.1240012	0.1764784	0.0198510	0.4690828	0.7647265
135	0.0569381	0.7139443	0.0031752	0.1123278	0.6746955	0.1446576	0.2465848	0.0108598	0.6036518	0.7069756
140	0.0998752	0.6381119	0.0087442	0.1048588	0.6304727	0.0962796	0.2833835	0.0250763	0.5702640	0.6610340
145	0.0599447	0.6122001	0.0012590	0.0780955	0.7526095	0.1270051	0.1969873	0.0217471	0.7371170	0.7659883
150	0.0702703	0.6539201	0.0076835	0.0939901	0.5995375	0.0802858	0.1891463	0.0097293	0.5197257	0.6828075
155	0.1083894	0.7801313	0.0025364	0.1046115	0.7474052	0.0804688	0.1669140	0.0111110	0.7504275	0.5534348
160	0.0703002	0.6127228	0.0027839	0.0910390	0.7321810	0.0856288	0.1918197	0.0071216	0.6476813	0.5755370
165	0.0680211	0.6894248	0.0069849	0.1254986	0.5852105	0.0651601	0.1967094	0.0129467	0.5544603	0.6781594
170	0.0874352	0.5840480	0.0064469	0.1046908	0.6922550	0.0810598	0.2116749	0.0263726	0.5738178	0.6017462
175	0.0963824	0.6976069	0.0081100	0.1068188	0.6738442	0.0802492	0.1917255	0.0039539	0.6965732	0.6497849
180	0.0558246	0.6692160	0.0038988	0.0734756	0.8280798	0.0476800	0.2270477	0.0033504	0.6188211	0.5757307
185	0.0488089	0.7318320	0.0012416	0.0731506	0.6599441	0.0588977	0.1980975	0.0015331	0.6416388	0.6321918
190	0.0764713	0.6053344	0.0044420	0.1082108	0.6752631	0.0480800	0.1919514	0.0036185	0.6062956	0.5477864
195	0.0780352	0.6457281	0.0046799	0.0740930	0.6165089	0.0521891	0.1749889	0.0015698	0.5462443	0.5122087
200	0.0801738	0.6553887	0.0012254	0.0627213	0.6502304	0.0239637	0.3058234	0.0018778	0.7735743	0.5518642
205	0.0617157	0.8046040	0.0015028	0.0619236	0.7891499	0.0257789	0.2628405	0.0009609	0.5615379	0.6306972
210	0.0616271	0.5721969	0.0006508	0.0823275	0.6370462	0.0120460	0.2248774	0.0004861	0.7505841	0.5514571
215	0.0963018	0.7154940	0.0008073	0.0871354	0.5497823	0.0362468	0.2380261	0.0004492	0.6512830	0.5582071
220	0.0593108	0.6107968	0.0025835	0.0854971	0.5308982	0.0359286	0.2522810	0.0006730	0.5635529	0.7039617
225	0.0708561	0.7218223	0.0040825	0.1242360	0.6270757	0.0297004	0.2228845	0.0003228	0.6278310	0.5642937
230	0.0795009	0.6663734	0.0016015	0.1305001	0.6458815	0.0451126	0.3613767	0.0004835	0.6817660	0.6286590
235	0.0621413	0.6820721	0.0008374	0.1448197	0.5782700	0.0114689	0.2638990	0.0005408	0.6118637	0.6428309
240	0.0665095	0.7263718	0.0004812	0.0697300	0.6628638	0.0198292	0.2031651	0.0012124	0.6330508	0.5212375
245	0.0724571	0.6905000	0.0031632	0.0696910	0.6117410	0.0537785	0.2302410	0.0011891	0.6413134	0.6204472
250	0.0754528	0.6542357	0.0024233	0.0896477	0.6601507	0.0163412	0.2459128	0.0015756	0.7157031	0.6759058
255	0.0769661	0.7408247	0.0043134	0.1243685	0.6664190	0.0097587	0.2032427	0.0045288	0.7502469	0.7125772
260	0.0712430	0.6937858	0.0007181	0.1109007	0.5999696	0.0134559	0.2132352	0.0005357	0.6282237	0.6407843
265	0.0566779	0.6605163	0.0008711	0.0712283	0.5852244	0.0214597	0.2903046	0.0009190	0.6810672	0.6055853
270	0.1090063	0.6308072	0.0010107	0.0783314	0.6436098	0.0069173	0.2644789	0.0015532	0.7635498	0.6647156
275	0.0827571	0.6464515	0.0003905	0.0930936	0.6453028	0.0229996	0.2294355	0.0009631	0.6269038	0.6131402
280	0.0578252	0.6319578	0.0011589	0.1212628	0.5637633	0.0284662	0.2209769	0.0000599	0.6745833	0.6044823
285	0.0635130	0.6027225	0.0001557	0.1012939	0.5755815	0.0105102	0.2812677	0.0000421	0.8242241	0.6415358
290	0.0897699	0.6056091	0.0005902	0.0791036	0.5935291	0.0134520	0.2451810	0.0000132	0.7237218	0.5775053
295	0.0461204	0.6436045	0.0005010	0.1017322	0.5388633	0.0110752	0.3123259	0.0000000	0.6288180	0.7437429
300	0.0908489	0.6855083	0.0001956	0.1083568	0.5421672	0.0070507	0.2446423	0.0000000	0.6271420	0.6708448
