"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1029526	0.6442552	0.2548281	0.1289427	0.7238287	0.4368797	0.1616152	0.7218135	0.6148465	0.6143948
5	0.0554265	0.7116545	0.1988367	0.0652965	0.6844897	0.5591721	0.1248831	0.6486178	0.6131967	0.6517049
10	0.0424717	0.6200791	0.2061776	0.1076950	0.7264365	0.4965317	0.1762619	0.6535287	0.6652297	0.7067683
15	0.0995402	0.6824953	0.2150669	0.0835966	0.8274041	0.4530600	0.1210896	0.5909970	0.4854498	0.6020019
20	0.0541794	0.7610870	0.1595452	0.1051829	0.7054199	0.4549927	0.1202839	0.6935302	0.6729529	0.6374310
25	0.0783511	0.6266631	0.2329705	0.1142829	0.6810977	0.4827313	0.1455255	0.5294405	0.6118692	0.6982435
30	0.0769979	0.7441289	0.2079041	0.0970597	0.6471725	0.3925280	0.1330082	0.6749155	0.6520120	0.5465868
35	0.0424694	0.7525736	0.1882706	0.0902334	0.6147245	0.4279469	0.1964271	0.6172200	0.5281325	0.5214450
40	0.0802080	0.6509347	0.1600560	0.1016197	0.7295273	0.4195188	0.1602399	0.6285788	0.6828590	0.6105292
45	0.0555728	0.7160422	0.1802977	0.1047287	0.6712171	0.4334706	0.1877334	0.5617410	0.6410502	0.6023412
50	0.0550395	0.7544200	0.1688290	0.0662269	0.6058743	0.4648505	0.2084149	0.6219076	0.6524134	0.5806964
55	0.0526576	0.5081518	0.1908341	0.1157653	0.6243340	0.4824057	0.1838406	0.6334179	0.5508210	0.6417596
60	0.0388490	0.7104278	0.1736057	0.1416029	0.7056853	0.4307228	0.1653895	0.6048137	0.6082976	0.7177238
65	0.0488610	0.5413391	0.1763017	0.0880103	0.6952376	0.3706437	0.1145456	0.6080351	0.6125646	0.5940752
70	0.0549752	0.6269693	0.2654026	0.0792209	0.6563055	0.4712914	0.1525288	0.7210167	0.5495963	0.5879936
75	0.0638641	0.6858610	0.2172174	0.0910529	0.5948711	0.4747922	0.2073471	0.6511619	0.6598497	0.6571090
80	0.0573320	0.6921981	0.1710501	0.1629534	0.7029461	0.3610571	0.2132185	0.6427590	0.6554550	0.6581410
85	0.0499182	0.6760098	0.2269313	0.1001904	0.6758816	0.3697583	0.1841150	0.7405901	0.5692122	0.5877924
90	0.0919160	0.7432386	0.1516017	0.0827858	0.7032951	0.3793458	0.1643633	0.6704379	0.6674974	0.6309991
95	0.0686623	0.6764977	0.1953321	0.0844836	0.7550987	0.5216182	0.1814774	0.6497262	0.7513243	0.7540048
100	0.0467961	0.6045971	0.1586102	0.1016809	0.6424837	0.4757436	0.1829932	0.6708051	0.6443481	0.6409175
105	0.0735138	0.6323780	0.1433279	0.0967943	0.6698313	0.3959441	0.2573513	0.7074798	0.7600376	0.7726830
110	0.0776323	0.6747977	0.2011977	0.0855685	0.6030198	0.4780706	0.2109600	0.6267400	0.7300164	0.6267821
115	0.0514685	0.6996272	0.1626716	0.0721134	0.6546015	0.5302218	0.1896679	0.6764299	0.6831146	0.8102040
120	0.0493753	0.5783052	0.2258742	0.0942374	0.7628138	0.4586723	0.1618683	0.7695294	0.5443377	0.6427272
125	0.0461332	0.6714378	0.1661926	0.0616069	0.7125079	0.4598365	0.2466447	0.7061464	0.6881452	0.5946894
130	0.0860748	0.7037670	0.2532999	0.1152448	0.6521545	0.4592041	0.1875368	0.6408242	0.6645163	0.6730175
