"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0860648	0.6023611	0.2225738	0.0974674	0.7032521	0.3805979	0.2109806	0.7054087	0.6392239	0.6644617
5	0.0657864	0.6337339	0.2194774	0.1218564	0.6298269	0.4721570	0.1737806	0.6255498	0.6525884	0.6702682
10	0.0951459	0.7057687	0.2414718	0.0838994	0.5893104	0.4458996	0.1706010	0.7021691	0.6827510	0.8328520
15	0.0582204	0.6408133	0.2125543	0.1071683	0.5171031	0.4560097	0.1422336	0.6497552	0.7498820	0.7412072
20	0.0726093	0.5887575	0.2893306	0.1046216	0.5678984	0.4327924	0.1668606	0.6787565	0.6433384	0.8272212
25	0.0278942	0.6413718	0.1802386	0.1059659	0.5449063	0.3472946	0.1549940	0.5666471	0.7039685	0.7872430
30	0.0477948	0.6326539	0.2607291	0.0971880	0.6133464	0.4617767	0.1183568	0.6715255	0.6645335	0.6817587
35	0.0679997	0.5417250	0.1670297	0.1312254	0.6326932	0.3395752	0.1451468	0.6387272	0.5759679	0.6997155
40	0.0300405	0.5183319	0.2470570	0.1371860	0.6447499	0.3944893	0.1158644	0.6486865	0.6667887	0.6799820
45	0.0393065	0.6327990	0.1657747	0.1662150	0.6131445	0.4812884	0.1193695	0.6578074	0.6053857	0.5745924
50	0.0306058	0.5823742	0.2070871	0.1228435	0.5619265	0.4944534	0.1456889	0.6073017	0.6854955	0.6001838
55	0.0251393	0.6651801	0.2324013	0.0831087	0.5836076	0.3692957	0.1987735	0.6163043	0.6054309	0.5879623
60	0.0248942	0.6010032	0.1958527	0.1262183	0.7010038	0.4133368	0.1569623	0.6939592	0.7321537	0.6787626
65	0.0116213	0.5594067	0.2316061	0.1092639	0.6849910	0.4140361	0.1413758	0.6790785	0.5931438	0.5961388
70	0.0271589	0.5291909	0.1818064	0.1300821	0.6986467	0.4135086	0.1516511	0.7351311	0.6905497	0.5858129
75	0.0115693	0.5401925	0.1800120	0.1037319	0.7031098	0.4370759	0.1027160	0.5504902	0.7647197	0.5625892
80	0.0079721	0.6174167	0.2284332	0.1052193	0.6790081	0.3922443	0.1309631	0.5666713	0.7440317	0.6815145
85	0.0050018	0.6404292	0.2023766	0.0757016	0.6301257	0.4249241	0.1344394	0.7261781	0.6537242	0.6358434
90	0.0054484	0.6120242	0.1995040	0.0826714	0.6495550	0.4950100	0.1141571	0.4998951	0.6554230	0.6276491
95	0.0053145	0.5696942	0.2086208	0.0921059	0.5752959	0.3949701	0.1414186	0.5541946	0.6618744	0.6575181
