"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0940470	0.6527540	0.2300281	0.0700468	0.5841621	0.5037856	0.1697102	0.6793042	0.5475329	0.5467012
5	0.0477349	0.5670260	0.1645919	0.0930241	0.5395726	0.5027861	0.1725784	0.6180611	0.7403024	0.6512139
10	0.0339955	0.7055375	0.1634177	0.0818169	0.6396173	0.4636453	0.2156504	0.6513851	0.7083238	0.5615964
15	0.0484696	0.6167316	0.1550273	0.0722538	0.6428331	0.4578544	0.1697770	0.7003360	0.7212919	0.5727099
20	0.0380694	0.6701969	0.1791054	0.1320238	0.5569637	0.4678736	0.1486097	0.6071035	0.6671164	0.5807375
25	0.0640210	0.5264948	0.1940750	0.0777817	0.5613600	0.4264976	0.1819422	0.6066594	0.7962913	0.6009907
30	0.0360734	0.6945883	0.2227945	0.0842098	0.5768384	0.3636256	0.1574058	0.6340313	0.7576671	0.4933931
35	0.0470386	0.6151785	0.1660855	0.0901520	0.5236804	0.4636862	0.1758536	0.7434168	0.6627817	0.5105296
40	0.0659439	0.6187203	0.1792980	0.0643800	0.6174608	0.5524225	0.1896426	0.5997266	0.6579991	0.4921805
45	0.0685195	0.6365694	0.1348525	0.1264730	0.5644931	0.6008656	0.1422727	0.6960421	0.7299731	0.4534621
50	0.0456339	0.7042663	0.1552195	0.0981622	0.5777151	0.4034649	0.2063540	0.6673385	0.5782630	0.4506722
55	0.0597139	0.6595797	0.1537694	0.1017377	0.5609447	0.3932238	0.1861754	0.6428231	0.5731230	0.3852533
60	0.0648980	0.5902310	0.1982332	0.0846566	0.5114506	0.4885744	0.1429874	0.6270112	0.5812313	0.3980385
65	0.0445035	0.6281839	0.2307588	0.0727869	0.4816014	0.5601568	0.2207700	0.5528978	0.7207543	0.4787114
70	0.0678212	0.6975071	0.1765530	0.0827954	0.4914743	0.5200916	0.1630095	0.5405340	0.6972774	0.4518788
75	0.0470682	0.6883825	0.1972603	0.0918751	0.6277438	0.4664447	0.1875358	0.5001629	0.6565162	0.4482645
80	0.0456668	0.5755757	0.1899220	0.0837509	0.5290036	0.5012987	0.2199660	0.5630666	0.6650937	0.4647587
85	0.0430938	0.5211926	0.1865760	0.0710870	0.6135615	0.4897549	0.1935691	0.5472210	0.6458031	0.4225137
90	0.0548634	0.6389902	0.1445049	0.0584101	0.5430142	0.5005209	0.1886512	0.5444050	0.5554885	0.4047511
95	0.0283985	0.6624442	0.1997734	0.0985314	0.6785710	0.4232128	0.2298406	0.5936498	0.6208687	0.4169098
