"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1522442	0.9817864	0.3598629	0.1426661	1.0314076	0.7187646	0.2919598	0.9969346	0.9847922	0.9902361
5	0.1040687	0.9905025	0.3363760	0.1172323	1.0177770	0.8061802	0.2428201	1.0082202	0.9076071	0.9508063
10	0.1014104	0.9677972	0.3244608	0.1110244	1.0814313	0.7936210	0.2456763	0.9191609	0.9186519	0.8422766
15	0.1135331	1.0111202	0.3363960	0.1303998	1.0808696	0.7766095	0.2435227	0.8583951	0.8956988	0.7481696
20	0.1071687	1.0567809	0.3232413	0.1304817	1.0622231	0.7647138	0.2518537	0.7843012	0.9326495	0.6703224
25	0.1042266	1.0419346	0.3329373	0.1173438	1.0965115	0.7435851	0.2330190	0.7703079	0.9714540	0.5969778
30	0.1064223	0.9905572	0.3386984	0.1173353	1.0483017	0.7426365	0.2255019	0.6998727	0.9446251	0.5438211
35	0.1122979	0.9747470	0.3409847	0.1145818	1.0283729	0.7454180	0.2302882	0.6540029	0.9204030	0.4564277
40	0.1074503	1.0106229	0.3292013	0.1177350	1.0294309	0.7642683	0.2428286	0.6329833	0.9356209	0.4043115
45	0.1117147	0.9715154	0.3559648	0.1124980	1.0490270	0.7380873	0.2692310	0.6198936	0.9714103	0.3787709
50	0.1237845	0.9918289	0.3562182	0.1173302	1.0436838	0.7391665	0.2711848	0.5946669	0.9791663	0.3335467
55	0.1170559	1.0033095	0.3482991	0.1203755	1.0569632	0.7649578	0.2833388	0.5527798	0.9993532	0.3127152
60	0.1135014	1.0160770	0.3262801	0.1301452	1.0928052	0.7232480	0.2955809	0.5290484	1.0259482	0.2820674
65	0.1074423	1.0605888	0.3293713	0.1178797	1.1116348	0.7313715	0.3175111	0.5180988	1.0210202	0.2483991
70	0.1081261	1.0479417	0.3289204	0.1317563	1.0709025	0.7336208	0.3027297	0.5021000	0.9992698	0.2179709
75	0.1021373	1.0271395	0.3483766	0.1156719	1.0620339	0.7449584	0.3324150	0.4976272	1.0231527	0.1992003
80	0.1010751	1.0214652	0.3326203	0.1111106	1.0409847	0.7505129	0.3496365	0.4610138	1.0662139	0.1827385
85	0.1194371	1.0176160	0.3473085	0.1260639	1.0293745	0.7357542	0.3630582	0.4492591	1.0282683	0.1709639
90	0.1129459	1.0397560	0.3544560	0.1190926	1.0531952	0.7319358	0.3901514	0.4562266	1.0021125	0.1525070
95	0.1186896	1.0215121	0.3714415	0.1185398	1.0739491	0.7407630	0.4217177	0.4501481	1.0035173	0.1550404
100	0.1229713	0.9777216	0.3669078	0.1176527	1.0594529	0.7194679	0.4364296	0.4545056	1.0443798	0.1479870
105	0.1106819	0.9777790	0.3509193	0.1344858	1.0752640	0.7453199	0.4812305	0.4563026	1.0735573	0.1500476
110	0.0981170	0.9870192	0.3315024	0.1391919	1.1074785	0.7256556	0.5185593	0.4717527	1.0837901	0.1443958
115	0.1067057	0.9558884	0.3148070	0.1376079	1.1227273	0.7349550	0.5319880	0.4755752	1.0744924	0.1405799
120	0.1045095	0.9591147	0.3300683	0.1427210	1.0965325	0.7299918	0.5516121	0.4959673	1.0604296	0.1276199
125	0.1228178	0.9729276	0.3574037	0.1392031	1.0560842	0.7291681	0.6244325	0.4808560	1.0781558	0.1144483
130	0.1269253	0.9614783	0.3487857	0.1335682	1.0582181	0.6891732	0.6455202	0.4592404	1.1017885	0.0948287
135	0.1206885	0.9262788	0.3675205	0.1316790	1.0552634	0.6861042	0.6687546	0.4822951	1.0854164	0.0849131
140	0.1138867	0.9093527	0.3606589	0.1287203	1.0278489	0.6758780	0.7308815	0.4870467	1.0748498	0.0755298
145	0.1039359	0.9071796	0.3681627	0.1266582	1.0004524	0.6890504	0.7780839	0.4517552	1.0493016	0.0704732
150	0.1005203	0.9144614	0.3464390	0.1447702	1.0083007	0.6603382	0.7897448	0.4531492	0.9916752	0.0607738
155	0.0979186	0.9317258	0.3645390	0.1517314	0.9876405	0.6745828	0.7607625	0.4508586	0.9777407	0.0614263
160	0.0935146	0.9409945	0.3777680	0.1676691	0.9677489	0.7158118	0.8092686	0.4451986	0.9939846	0.0542077
165	0.1132041	0.9598408	0.3808065	0.1605631	0.9337757	0.7074790	0.8412205	0.4520691	1.0008423	0.0521676
170	0.1088678	0.9312949	0.3640797	0.1636688	0.9244087	0.7127542	0.8691260	0.4514855	0.9650272	0.0516933
175	0.1189405	0.9313880	0.3457844	0.1716391	0.9476384	0.6835779	0.8901298	0.4348329	0.9718961	0.0404783
180	0.1252953	0.9251056	0.3662705	0.1720066	0.9640084	0.7169935	0.8728574	0.4359554	0.9628104	0.0448949
185	0.1245217	0.9244191	0.3640827	0.1538453	0.9273028	0.7077407	0.8843520	0.4289532	0.9503088	0.0464536
190	0.1228344	0.9611773	0.3694138	0.1700720	0.9396890	0.7304265	0.8796139	0.4600451	0.9891585	0.0472811
195	0.1359441	1.0027705	0.3849783	0.1666900	0.9544504	0.7416754	0.8998707	0.4651432	1.0027808	0.0518542
200	0.1422856	1.0030306	0.3770176	0.1597649	0.9600188	0.7499065	0.8972487	0.4690304	1.0115479	0.0464638
205	0.1448228	1.0232525	0.3781079	0.1523140	0.9436646	0.7602842	0.9027252	0.4470194	0.9795053	0.0482105
210	0.1327651	0.9666805	0.3831975	0.1636381	0.9408860	0.7835408	0.9140493	0.4463070	0.9839163	0.0514656
215	0.1369978	0.9393985	0.3708580	0.1573410	0.9288829	0.7470442	0.9096337	0.4216209	0.9453516	0.0486291
220	0.1268788	0.9883832	0.3906721	0.1384375	0.9645549	0.7380541	0.9346219	0.4109361	0.9622582	0.0480325
225	0.1186433	1.0057535	0.3906119	0.1423969	1.0039084	0.7349855	0.9700582	0.4057633	0.9717830	0.0502225
230	0.1225293	1.0533516	0.3829670	0.1506317	1.0077218	0.7429660	0.9917889	0.3859756	0.9826255	0.0435685
235	0.1109756	1.0985338	0.3772874	0.1443458	0.9844669	0.7178717	1.0278583	0.3924796	0.9782307	0.0500216
240	0.1019317	1.0841249	0.3577813	0.1533970	0.9971925	0.7260579	1.0213765	0.3716526	0.9792055	0.0510785
245	0.0995598	1.0554929	0.3539920	0.1477460	1.0241685	0.7505631	1.0013689	0.3796247	0.9311338	0.0497702
250	0.1061631	1.0498975	0.3541086	0.1404765	1.0299146	0.7268637	0.9870595	0.4127424	0.9492313	0.0475991
255	0.1068461	1.0538382	0.3460494	0.1510576	1.0478701	0.7535352	0.9828722	0.4178357	0.9641772	0.0344528
260	0.0889598	1.0260908	0.3259350	0.1530593	1.0300577	0.7597931	0.9678786	0.4256815	0.9824286	0.0405160
265	0.0940651	0.9692460	0.3497352	0.1458311	1.0828074	0.7209216	0.9801538	0.4251804	1.0031162	0.0356120
270	0.0942000	0.9574597	0.3279791	0.1520037	1.0866268	0.7299266	0.9567556	0.4206855	0.9985579	0.0386423
275	0.1034166	0.9479057	0.3261153	0.1435269	1.0710110	0.6985928	0.9920887	0.4081419	1.0429435	0.0319073
280	0.0970645	0.9747053	0.3240870	0.1335984	1.1126082	0.6910503	0.9993355	0.3854639	1.0085941	0.0347693
285	0.1162162	0.9915893	0.3337329	0.1379755	1.0701666	0.6870194	0.9696498	0.3993319	0.9783197	0.0328245
290	0.1177361	1.0140541	0.3399944	0.1355241	1.1031668	0.6932222	0.9865317	0.4035854	0.9425268	0.0382998
295	0.1175684	0.9765577	0.3192559	0.1290870	1.0693764	0.7041512	0.9481497	0.3796101	0.9707687	0.0346961
300	0.1297377	1.0139863	0.3156773	0.1358066	1.0702740	0.7054520	0.9420903	0.3689639	0.9814186	0.0367227
305	0.1388983	1.0498524	0.3136115	0.1257361	1.0669234	0.6984449	0.9201248	0.3620517	0.9992078	0.0332314
310	0.1341867	1.0663757	0.2887508	0.1340780	1.0669614	0.7053774	0.9232208	0.3475594	0.9937806	0.0278072
315	0.1308046	1.0898252	0.3007137	0.1294704	1.0638004	0.7215437	0.9491363	0.3810105	1.0238208	0.0261946
320	0.1156105	1.0239993	0.2862825	0.1265646	1.1003563	0.7288059	0.9296723	0.3643826	1.0615708	0.0280279
325	0.1190939	0.9937204	0.2830055	0.1335440	1.0943409	0.7899796	0.9362567	0.3845213	1.0404408	0.0206383
330	0.1133478	0.9740758	0.2765868	0.1249078	1.1112017	0.8056529	0.9520489	0.3780478	1.0054824	0.0170160
335	0.1152501	1.0449132	0.2733496	0.1289073	1.0989143	0.7671815	0.9508874	0.3838529	1.0205823	0.0260697
340	0.1171856	1.0550006	0.2755853	0.1342682	1.1196346	0.7312689	0.9504660	0.3488649	1.0462878	0.0276968
345	0.1148831	1.0747992	0.2836315	0.1283394	1.0977188	0.6955995	0.9780310	0.3623318	1.0297429	0.0317936
350	0.1011808	1.0918859	0.2782982	0.1229960	1.0961410	0.6837111	0.9897721	0.3853915	1.0351636	0.0263036
355	0.1056230	1.0797438	0.2802214	0.1290409	1.0665454	0.7078860	0.9518852	0.4124146	1.0103567	0.0266238
360	0.0939525	1.0959987	0.2672104	0.1229465	1.0462706	0.7118504	0.9499650	0.4374575	0.9957207	0.0285210
365	0.0916023	1.0601380	0.2808796	0.1255137	1.0533893	0.7227362	0.9685248	0.4537627	0.9965636	0.0211498
370	0.1060071	1.0999899	0.2989500	0.1136024	1.0498389	0.6749850	0.9299742	0.4596119	0.9430798	0.0174680
375	0.1108301	1.0882315	0.3220494	0.1108703	1.0483970	0.6198051	0.9297435	0.4629710	0.9608019	0.0251523
380	0.1176989	1.0967399	0.3191766	0.1104001	1.0312577	0.6265900	0.9309471	0.4557351	0.9461052	0.0282172
385	0.1098673	1.0869040	0.3146368	0.1084701	1.0550639	0.6263574	0.9332141	0.4339267	0.9358408	0.0310674
390	0.1155166	1.0725650	0.2975478	0.1139701	1.0780480	0.6123325	0.9604321	0.4336102	0.9190892	0.0316814
395	0.1292441	1.0644233	0.2869639	0.1214380	1.0711851	0.6371378	0.9368017	0.4477067	0.9244238	0.0290689
400	0.1248496	1.0792121	0.3015568	0.1268341	1.0668067	0.6156256	0.9609218	0.4379551	0.9620645	0.0302469
405	0.1297390	1.0683839	0.3120201	0.1290579	1.0700860	0.6095327	0.9787399	0.4566903	0.9395532	0.0318171
410	0.1299778	1.1010689	0.2829979	0.1188020	1.0706825	0.5901786	0.9624507	0.4416642	0.9681000	0.0355979
415	0.1198653	1.0667793	0.2833144	0.1069106	1.0243314	0.5788091	0.9655359	0.4576250	0.9498436	0.0427985
420	0.1110353	1.1030761	0.2811025	0.1113137	1.0391041	0.5522514	0.9660196	0.4662940	0.9714754	0.0478593
425	0.1058061	1.1078678	0.2849881	0.1347378	1.0304723	0.5388265	0.9279092	0.4736074	1.0026016	0.0470983
430	0.1029976	1.0790850	0.2789315	0.1301474	1.0569782	0.5355187	0.9434395	0.4759367	1.0238751	0.0452062
435	0.1003565	1.0436941	0.2816784	0.1201760	1.0749288	0.5260828	0.9685340	0.4647765	1.0625012	0.0398723
440	0.0999004	1.0568574	0.3024554	0.1281252	1.0712077	0.5250850	0.9573334	0.4421629	1.0098842	0.0433917
445	0.0907366	1.0339657	0.2770459	0.1237182	1.0714642	0.5448420	0.9437299	0.4452945	1.0264012	0.0456231
450	0.0991710	0.9958324	0.3000776	0.1237401	1.0604441	0.5343511	0.8961488	0.4470273	1.0154907	0.0441470
455	0.1098349	0.9616510	0.3142309	0.1317445	1.0237987	0.5373920	0.8699476	0.4476322	1.0099702	0.0410030
460	0.1158302	1.0154133	0.3152081	0.1144005	1.0329508	0.5446400	0.8776456	0.4405020	0.9960242	0.0386502
465	0.1223661	1.0631953	0.3133241	0.1199577	1.0421041	0.5410908	0.8622826	0.4602841	0.9941575	0.0377586
470	0.1276566	1.0748920	0.3234842	0.1082097	1.0532125	0.5663736	0.8632635	0.4658903	0.9851762	0.0467434
475	0.1238654	1.0347652	0.3309819	0.1128704	1.0797543	0.5318822	0.8381279	0.4740943	0.9919066	0.0488630
480	0.1182344	1.0615157	0.3408243	0.1095176	1.0686634	0.5365275	0.8457637	0.4592052	0.9550505	0.0407276
485	0.1126175	1.0441942	0.3260489	0.1105605	1.0497326	0.5596988	0.8769228	0.4532713	0.9354983	0.0449465
490	0.1156444	1.0286565	0.3088721	0.1158523	1.0091278	0.5797003	0.8865860	0.4775179	0.9288669	0.0454530
495	0.1222202	1.0317274	0.3054591	0.1351829	1.0430390	0.5663138	0.8441512	0.4739974	0.9779228	0.0467691
500	0.1160568	1.0263073	0.3129015	0.1327008	1.0233493	0.5667581	0.8777556	0.4687358	0.9984823	0.0455197
505	0.1012089	1.0015735	0.3186132	0.1459081	1.0044897	0.5918585	0.9035627	0.5613034	0.9582257	0.1667529
510	0.0896529	0.9836194	0.3205736	0.1431762	0.9841719	0.6011303	0.8982723	0.6310952	0.9458460	0.2527912
515	0.0977073	0.9702326	0.3265858	0.1378005	0.9641243	0.6209467	0.9219880	0.6825810	0.9500043	0.3697115
520	0.0936082	0.9642415	0.3338948	0.1404333	0.9591772	0.6310429	0.9231771	0.7292324	0.9550142	0.4582636
525	0.0970345	0.9396419	0.3354155	0.1458972	0.9531604	0.6237605	0.8992073	0.7665703	0.9689839	0.5703993
530	0.0958065	0.9497005	0.3397650	0.1521818	0.9717094	0.6256891	0.9095335	0.7764249	0.9659633	0.6396402
535	0.1065109	0.9748554	0.3363974	0.1286427	0.9766732	0.6599164	0.9017968	0.7803142	0.9888180	0.6895509
540	0.1205945	1.0169045	0.3447314	0.1269401	0.9914668	0.6589313	0.8534888	0.8239762	0.9866701	0.7222550
545	0.1294153	0.9773065	0.3352425	0.1343779	0.9625059	0.6516249	0.8215850	0.8306017	0.9766061	0.7280799
550	0.1435132	1.0066227	0.3151171	0.1339264	0.9893330	0.6415104	0.8147244	0.8520489	0.9568383	0.7369252
555	0.1278155	1.0170910	0.3258381	0.1289267	1.0017343	0.6548372	0.7625631	0.8818300	0.9351109	0.8121582
560	0.1288465	1.0162101	0.3369929	0.1325782	1.0076540	0.6652864	0.7222129	0.8596378	0.9039477	0.8180683
565	0.1182685	1.0468788	0.3395982	0.1248393	1.0017155	0.6947849	0.6976970	0.8702306	0.9027373	0.8087438
570	0.1118372	1.0600779	0.3396019	0.1253824	1.0065275	0.7260436	0.6681060	0.9150722	0.9174368	0.8723528
575	0.1064236	1.0819386	0.3206679	0.1200913	0.9658234	0.7104655	0.6613741	0.9114868	0.9220395	0.8913818
580	0.0967648	1.0795862	0.3149440	0.1337206	0.9582499	0.7099635	0.6580052	0.9263163	0.9019540	0.8920975
585	0.1035277	1.0391449	0.3306012	0.1391301	0.9570496	0.6742454	0.6390807	0.9179151	0.9142559	0.8684917
590	0.1109880	1.0654196	0.3325824	0.1446035	0.9250276	0.6600723	0.6076239	0.9246153	0.9240656	0.9046584
595	0.1012377	1.0559092	0.3459821	0.1400873	0.9008489	0.6612925	0.5980827	0.9386103	0.9465973	0.9291746
600	0.0945255	1.0477110	0.3562167	0.1331437	0.9314690	0.6620967	0.5362185	0.9658060	0.9800331	0.9725396
605	0.0903489	1.0043559	0.3411562	0.1363148	0.9360176	0.6946300	0.5190660	0.9690410	0.9769975	0.9627347
610	0.0957175	1.0408893	0.3221622	0.1459330	0.9490373	0.6861770	0.4818253	0.9588506	0.9684379	0.9500366
615	0.0950764	1.0188580	0.3231943	0.1533123	0.9304678	0.7080358	0.4800419	0.9369359	0.9357491	0.9608033
620	0.0933597	0.9917597	0.3337000	0.1463142	0.9277075	0.6781983	0.4610602	0.9489270	0.9204298	0.9542395
625	0.0909547	0.9767187	0.3194015	0.1376770	0.9381760	0.6737533	0.4559918	0.9504069	0.9158882	0.9557444
630	0.0885297	0.9752628	0.3042979	0.1441152	0.9503652	0.6707628	0.4511022	0.9545279	0.9346938	0.9688215
635	0.0909981	1.0042061	0.3102229	0.1334077	0.9509670	0.6810516	0.4355604	0.9536296	0.9354439	0.9601288
640	0.1019411	0.9993353	0.3163807	0.1251168	0.9718525	0.6770614	0.4120608	0.9632601	0.9503902	0.9253024
645	0.1045548	0.9844246	0.3147804	0.1244231	0.9807671	0.7048933	0.3979073	0.9774892	0.9879309	0.9205244
650	0.1029271	1.0253844	0.3344312	0.1207748	0.9951542	0.7048145	0.3894006	0.9842859	1.0029146	0.9499586
655	0.1128099	0.9946771	0.3073834	0.1215608	0.9865144	0.6877963	0.3525578	0.9804819	0.9908085	0.9639641
660	0.1145344	1.0160120	0.3149345	0.1208956	0.9587942	0.7061513	0.3398473	0.9710423	0.9893216	0.9484159
665	0.1098103	1.0186531	0.2995774	0.1236284	0.9266407	0.6817158	0.3214695	0.9572921	0.9353270	0.9460009
670	0.1005596	0.9844969	0.3010260	0.1227275	0.9116881	0.6713927	0.3067407	1.0064160	0.9645125	0.9502932
675	0.1112465	0.9646424	0.3259836	0.1312537	0.9145077	0.6817346	0.3241231	0.9918184	0.9933761	0.9470026
680	0.1195950	0.9779354	0.3380234	0.1371739	0.9500867	0.6716317	0.3101065	0.9528769	0.9519063	0.9720163
685	0.1283076	1.0045629	0.3415626	0.1292722	0.9489740	0.6831715	0.3282086	0.9591917	0.9226475	0.9939090
690	0.1200854	0.9770815	0.3397461	0.1086049	0.9570128	0.7022182	0.3343795	1.0016923	0.9159773	1.0171813
695	0.1121512	0.9682251	0.3547900	0.1093636	0.9598871	0.6899580	0.2935632	1.0357869	0.9375097	0.9792168
700	0.0913314	0.9605078	0.3413673	0.1207847	0.9473856	0.6473117	0.2887316	0.9994441	0.9463782	0.9803084
705	0.0915058	0.9292331	0.3418943	0.1140262	0.9436199	0.6286267	0.2851876	0.9756400	0.9404712	1.0116533
710	0.1017237	0.9113240	0.3155845	0.1200749	0.9130479	0.6668528	0.2737338	0.9597764	0.9492330	1.0231077
715	0.0894661	0.9716661	0.3315054	0.1359753	0.9181518	0.6567074	0.2792553	0.9716667	0.9651470	0.9997368
720	0.1019064	1.0286735	0.3490795	0.1381529	0.9147829	0.6864580	0.2638811	0.9840038	0.9659130	1.0099484
725	0.1040643	1.0799678	0.3436599	0.1309387	0.8969865	0.6709438	0.2499963	0.9635628	0.9592335	1.0061205
730	0.1046230	1.1332626	0.3447923	0.1329033	0.8937671	0.6556443	0.2766308	0.9925139	0.9651922	1.0299813
735	0.0922690	1.1166350	0.3570740	0.1442877	0.8981734	0.6634191	0.2608564	1.0064710	0.9350146	1.0267652
740	0.0957258	1.1435593	0.3514635	0.1425503	0.9001803	0.6574698	0.2477840	1.0471512	0.9270196	1.0561776
745	0.1154652	1.1796640	0.3345674	0.1396561	0.8791440	0.6803989	0.2418645	1.0241850	0.9179937	1.0578871
750	0.1276621	1.1332332	0.3417970	0.1456120	0.8632391	0.6778899	0.2543529	1.0138239	0.8807285	1.0133050
755	0.1283450	1.1144529	0.3366576	0.1434513	0.8772138	0.6724717	0.2625343	1.0022994	0.8989978	1.0048691
760	0.1238520	1.0975788	0.3062203	0.1468130	0.8587482	0.6950773	0.2530560	0.9828609	0.9375285	1.0032753
