"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1522442	0.9817864	0.3598629	0.1426661	1.0314076	0.7187646	0.2919598	0.9969346	0.9847922	0.9902361
5	0.1472365	1.0194822	0.2831469	0.1348227	1.1089777	0.7515207	0.2317261	0.8283730	1.0241403	0.9194806
10	0.1387224	1.0224487	0.2622548	0.1349654	1.1064560	0.7397819	0.2402947	0.7241158	0.9905415	0.9353244
15	0.1192967	1.0079850	0.2205475	0.1442487	1.1011795	0.7464329	0.2178308	0.6318295	0.9801313	0.9466439
20	0.1205072	0.9881072	0.1947461	0.1562426	1.0937981	0.7199302	0.2297057	0.5292486	0.9843925	0.9357839
25	0.1228785	1.0464657	0.1767717	0.1469307	1.0960131	0.6880422	0.2724432	0.4684890	0.9940177	0.9617749
30	0.1125133	1.0132205	0.1460823	0.1478175	1.0751760	0.6426095	0.2867606	0.4074671	1.0326400	0.9949349
35	0.1036724	1.0484639	0.1269729	0.1338229	1.0780781	0.6198454	0.2994458	0.3457148	1.0238531	0.9851238
40	0.1162085	1.0431185	0.1104259	0.1183974	1.0642698	0.6246737	0.3265798	0.2999304	1.0580740	1.0080335
45	0.1181079	1.0149815	0.1002363	0.1080438	1.0798614	0.5834827	0.3346328	0.2837962	1.0850636	1.0282671
50	0.1196331	0.9752388	0.0914453	0.1170158	1.0950951	0.5700051	0.3403751	0.2444630	1.0725948	0.9960770
55	0.1328469	0.9975222	0.0806888	0.1245754	1.0945961	0.5396013	0.3186399	0.2153348	1.0274847	1.0196281
60	0.1274497	0.9746076	0.0740663	0.1305939	1.0529658	0.5083475	0.3087236	0.1951796	1.0315656	1.0206105
65	0.1386770	0.9915968	0.0672084	0.1092938	1.0628395	0.5115453	0.3081581	0.1733283	0.9995468	1.0234253
70	0.1224980	0.9485655	0.0554717	0.1078644	1.0386923	0.4863920	0.3071756	0.1587252	0.9687654	0.9923746
75	0.1100600	0.9243715	0.0490469	0.1068778	1.0544526	0.4404024	0.3151471	0.1314197	0.9525392	0.9588222
80	0.1166301	0.9413432	0.0430365	0.1146332	1.0348154	0.3952868	0.3172209	0.1098140	0.9673514	0.9845953
85	0.1218511	1.0034924	0.0386810	0.1205632	1.0507280	0.3710125	0.3241012	0.0976342	0.9712935	1.0160749
90	0.1090228	0.9109375	0.0352894	0.1085406	1.0577780	0.3400262	0.3107334	0.0919650	0.9637907	1.0251962
95	0.1027376	0.9121450	0.0285431	0.1082458	1.0836272	0.3185191	0.3292731	0.0781968	0.9475809	1.0214661
100	0.0896819	0.9304685	0.0268510	0.1364740	1.0610094	0.3074118	0.3298511	0.0682604	0.9606848	0.9959030
105	0.0818517	0.9717215	0.0267133	0.1363198	1.0266716	0.2770729	0.3381159	0.0636404	0.9442539	1.0041349
110	0.0842356	0.9634336	0.0220898	0.1473763	1.0322146	0.2568170	0.3606693	0.0639065	0.9323458	1.0320726
115	0.0879047	0.9019471	0.0165821	0.1445859	1.0854740	0.2417606	0.3628580	0.0540509	0.9096524	1.0416920
120	0.0934297	0.9001627	0.0135300	0.1358203	1.0562606	0.2150850	0.3658286	0.0393483	0.9209569	1.0426819
125	0.0924320	0.9131040	0.0125381	0.1429774	1.0370044	0.1985391	0.3597589	0.0331596	0.9101099	1.0212168
130	0.0978417	0.9159986	0.0093247	0.1490085	0.9968807	0.1844883	0.3649469	0.0300564	0.8996188	1.0664869
135	0.1025917	0.9627891	0.0063311	0.1556596	0.9898415	0.1773188	0.3536771	0.0241442	0.9141045	1.0329211
140	0.1112042	0.9688729	0.0075099	0.1373582	0.9983938	0.1680409	0.3451693	0.0259614	0.9019309	1.0557223
145	0.1161151	0.9764413	0.0081510	0.1223379	1.0432143	0.1620102	0.3193625	0.0214298	0.9293395	1.0321326
150	0.1079215	0.9687231	0.0071060	0.1327527	1.0422288	0.1406663	0.3152919	0.0181950	0.8980468	0.9961185
155	0.0976119	0.9976310	0.0079366	0.1302676	1.0306687	0.1281898	0.2901359	0.0153266	0.8968834	0.9967092
160	0.1079433	1.0231534	0.0092017	0.1384306	1.0410965	0.1235319	0.2910942	0.0100896	0.9303968	0.9642714
165	0.1115394	1.0190985	0.0073352	0.1460137	1.0338225	0.1054025	0.2887308	0.0097980	0.9667127	0.9451919
170	0.1039772	1.0447111	0.0073240	0.1334655	1.0278905	0.0944143	0.3087958	0.0107332	0.9606256	0.9527743
175	0.1099436	1.0638872	0.0070621	0.1274452	1.0442075	0.0878554	0.3111553	0.0098903	0.9936839	0.9508291
180	0.1138349	1.0473482	0.0055459	0.1352092	1.0650725	0.0812271	0.3138243	0.0061107	1.0131904	0.9455447
185	0.1133965	1.0038227	0.0050295	0.1308262	1.0323388	0.0750044	0.3249466	0.0054776	0.9907173	0.9496190
190	0.1126438	1.0038773	0.0051101	0.1382275	1.0165609	0.0656512	0.3370169	0.0040129	0.9736107	0.9297676
195	0.1134940	1.0511101	0.0043687	0.1225784	0.9967083	0.0580383	0.3510236	0.0047868	0.9562128	0.9069916
200	0.1155677	1.0421853	0.0037978	0.1097299	0.9568826	0.0491147	0.3688554	0.0034466	1.0002122	0.9636127
205	0.1290987	1.0314218	0.0024364	0.1107190	0.9902854	0.0435637	0.3868174	0.0015512	0.9639764	0.9457037
210	0.1238155	1.0131292	0.0025765	0.1267566	0.9598252	0.0354349	0.3947051	0.0013551	0.9857129	0.9469753
215	0.1210818	1.0464029	0.0028973	0.1269070	0.9581503	0.0369055	0.3967414	0.0012835	0.9903630	0.9450270
220	0.1296349	1.0220713	0.0034000	0.1359949	0.9451339	0.0391805	0.3907336	0.0010422	0.9736976	0.9587369
225	0.1255411	1.0021617	0.0025637	0.1314030	0.9312175	0.0348815	0.3820846	0.0003272	0.9792948	0.9569104
230	0.1198335	1.0370220	0.0019377	0.1325473	0.9395581	0.0321522	0.3891033	0.0010060	0.9620699	0.9405869
235	0.1111028	1.0643440	0.0019427	0.1251737	0.9189652	0.0322699	0.3821076	0.0019710	0.9866735	0.9268955
240	0.1001856	1.0926881	0.0017293	0.1185243	0.9523399	0.0315960	0.3659297	0.0023367	1.0038126	0.9460886
245	0.1129536	1.0671835	0.0027217	0.1308620	0.9456390	0.0289733	0.3514170	0.0023641	1.0400173	0.9398543
250	0.1111213	1.0462596	0.0020568	0.1288968	0.9596982	0.0283939	0.3536600	0.0034562	1.0453479	0.9628596
255	0.1176519	1.0633077	0.0019971	0.1353273	0.9671797	0.0232584	0.3515108	0.0018623	1.0568952	0.9397305
260	0.1143044	1.0292773	0.0015023	0.1448532	0.9452117	0.0232571	0.3454948	0.0015478	1.0805529	0.9680826
265	0.1078877	1.0448800	0.0011264	0.1383831	0.9525897	0.0257935	0.3454411	0.0021787	1.0729813	0.9910863
270	0.1173687	1.0233219	0.0011653	0.1443877	0.9635148	0.0188040	0.3710212	0.0013074	1.0731940	0.9845607
275	0.1128533	0.9997445	0.0007600	0.1353557	0.9575316	0.0191204	0.3327534	0.0006311	1.0668655	1.0092721
280	0.0982826	0.9812016	0.0010739	0.1410003	0.9382044	0.0179156	0.3445814	0.0002351	1.0173980	1.0101059
285	0.1085883	0.9990747	0.0014554	0.1463658	0.9119261	0.0180974	0.3824003	0.0001437	1.0640461	1.0015973
290	0.1023953	0.9739980	0.0008978	0.1483256	0.9132767	0.0199941	0.3763365	0.0000213	1.0458038	1.0197594
295	0.0924902	1.0009335	0.0007060	0.1563617	0.9245785	0.0182027	0.3712497	0.0000000	1.0387050	1.0306564
300	0.1094077	1.0092800	0.0006777	0.1502323	0.9307486	0.0165123	0.3506639	0.0000000	0.9853967	1.0166282
305	0.1004596	1.0005345	0.0002557	0.1530907	0.9388418	0.0163570	0.3211825	0.0000000	0.9383945	1.0150959
310	0.1064833	0.9134911	0.0000414	0.1552444	0.9594969	0.0160967	0.3147629	0.0000000	0.9775107	1.0249413
315	0.1063424	0.9084683	0.0000000	0.1629991	0.9691801	0.0160974	0.3270922	0.0000000	0.9721712	1.0511544
320	0.1185599	0.9423494	0.0000000	0.1638322	0.9561507	0.0142295	0.3356522	0.0000000	0.9690289	1.0420826
325	0.1102020	0.9283392	0.0000000	0.1522403	0.9671679	0.0119771	0.3352376	0.0000000	0.9788598	1.0186119
330	0.1170836	0.9279999	0.0000000	0.1510499	0.9587778	0.0132844	0.3375565	0.0000000	1.0150301	0.9745859
335	0.1207365	0.9144720	0.0000000	0.1642880	0.9478811	0.0124896	0.3192092	0.0000000	1.0175981	0.9737204
340	0.1303811	0.8718491	0.0000000	0.1592868	0.9255564	0.0126996	0.3041468	0.0000000	1.0420303	0.9519992
345	0.1364300	0.9026309	0.0000000	0.1610809	0.9280689	0.0134980	0.3120284	0.0000000	1.0161308	0.9576474
350	0.1257361	0.9408891	0.0000000	0.1416206	0.9021825	0.0133392	0.3080743	0.0000000	1.0255605	0.9556405
355	0.1272286	0.9958348	0.0000000	0.1234846	0.9195586	0.0133531	0.3453663	0.0000000	1.0162178	0.9453423
360	0.1059425	0.9989008	0.0000000	0.1200995	0.9498400	0.0087559	0.3592935	0.0000000	1.0130769	0.9497123
365	0.1073325	0.9651467	0.0000000	0.1164059	0.9627669	0.0110821	0.3526469	0.0000000	1.0181663	0.9524232
370	0.1105992	0.9633876	0.0000000	0.1232826	0.9914441	0.0137687	0.3474972	0.0000000	1.0371180	0.9637607
375	0.1091438	0.9985357	0.0000000	0.1164350	0.9832079	0.0114966	0.3630490	0.0000000	1.0343316	1.0028558
380	0.1004258	1.0199102	0.0000000	0.1206962	0.9722537	0.0118585	0.3693079	0.0000000	1.0652508	0.9758222
385	0.1179666	0.9601000	0.0000000	0.1098324	0.9417975	0.0144582	0.3795941	0.0000000	1.0965077	0.9299062
390	0.1278924	0.9146983	0.0000000	0.1093283	0.9805404	0.0113349	0.3700179	0.0000000	1.0980794	0.9403265
395	0.1275881	0.9352089	0.0000000	0.1088628	0.9534727	0.0108906	0.3500867	0.0000000	1.0622039	0.9213798
400	0.1336838	0.9419047	0.0000000	0.1003983	0.9281987	0.0135263	0.3500547	0.0000000	1.0859126	0.8746334
405	0.1395416	0.9638200	0.0000000	0.0931080	0.9269028	0.0124069	0.3462880	0.0000000	1.0770139	0.8970187
410	0.1389503	0.9407864	0.0000000	0.0922415	0.9732337	0.0092823	0.3314634	0.0000000	1.0614027	0.9541835
415	0.1262684	0.9362772	0.0000000	0.0975110	0.9814445	0.0067054	0.3228348	0.0000000	1.0876899	0.9646483
420	0.1333377	0.9361607	0.0000000	0.0948146	1.0044152	0.0051639	0.3382874	0.0000000	1.0884140	0.9548788
425	0.1316413	0.9162141	0.0000000	0.0873232	1.0223364	0.0072973	0.3508563	0.0000000	1.0697090	0.9388921
430	0.1016789	0.9321544	0.0000000	0.0898472	1.0240231	0.0098074	0.3545603	0.0000000	1.0821355	0.9670849
435	0.1151916	0.9507439	0.0000000	0.0882967	1.0216175	0.0090345	0.3500893	0.0000000	1.0677059	0.9648022
440	0.1203266	0.9527663	0.0000000	0.0997634	0.9993562	0.0089151	0.3672774	0.0000000	1.0779720	0.9740391
445	0.1193696	0.9690517	0.0000000	0.1120941	0.9913752	0.0083953	0.3508751	0.0000000	1.0862541	0.9622537
450	0.1314738	0.9818366	0.0000000	0.1138809	0.9817131	0.0077189	0.3593508	0.0000000	1.1017135	0.9734876
455	0.1280188	0.9761163	0.0000000	0.0978245	0.9866797	0.0036432	0.3336704	0.0000000	1.0592763	0.9579116
460	0.1267438	0.9595315	0.0000000	0.0928941	0.9802267	0.0072149	0.3420266	0.0000000	1.0645454	0.9395913
465	0.1302758	0.9965975	0.0000000	0.0974902	1.0145121	0.0090148	0.3511711	0.0000000	1.0820233	0.9674024
470	0.1435969	1.0439215	0.0000000	0.1001207	1.0230486	0.0104969	0.3535981	0.0000000	1.0906034	0.9758669
475	0.1412160	1.0395912	0.0000000	0.1025083	1.0194520	0.0084549	0.3588264	0.0000000	1.0783317	0.9452289
480	0.1331355	1.0456476	0.0000000	0.1002880	1.0358779	0.0109799	0.3654959	0.0000000	1.0831279	0.9541915
485	0.1517567	1.0292690	0.0000000	0.1022104	1.0318248	0.0093830	0.3761962	0.0000000	1.0944451	0.9450042
490	0.1307129	1.0214654	0.0000000	0.1034459	1.0400818	0.0091841	0.3756458	0.0000000	1.0661739	0.9594779
495	0.1234710	0.9732554	0.0000000	0.0956600	1.0397899	0.0082422	0.3713347	0.0000000	1.0760048	0.9611325
500	0.1136924	0.9790428	0.0000000	0.0925765	1.0324070	0.0089960	0.3682740	0.0000000	1.0745224	0.9766089
505	0.1077718	1.0064579	0.0000000	0.0930766	1.0293056	0.0095354	0.3964317	0.0000000	1.0945357	0.9500000
510	0.1065000	0.9681616	0.0000000	0.1009664	1.0148970	0.0105051	0.3785003	0.0000000	1.0582320	1.0008194
515	0.1024689	0.9893618	0.0000000	0.1184581	0.9852650	0.0112342	0.3824590	0.0000000	1.0521838	1.0403610
520	0.1008532	0.9742004	0.0000000	0.1175286	0.9709144	0.0130468	0.3831273	0.0000000	1.0385128	1.0323587
525	0.0988540	0.9643923	0.0000000	0.1354357	0.9856115	0.0133038	0.3725362	0.0000000	1.0283926	1.0276724
530	0.1026456	0.9737970	0.0000000	0.1384832	0.9477292	0.0105791	0.3832365	0.0000000	1.0085624	1.0632188
535	0.1026011	0.9924635	0.0000000	0.1296348	0.9413765	0.0125245	0.3930732	0.0000000	1.0015274	1.0860456
540	0.0988372	0.9672535	0.0000000	0.1306376	0.9304846	0.0116448	0.3880134	0.0000000	1.0253149	1.0775239
545	0.1096082	0.9610050	0.0000000	0.1254905	0.9426385	0.0077803	0.3853303	0.0000000	1.0305291	1.0841891
550	0.1076291	0.9584372	0.0000000	0.1221650	0.9617670	0.0062972	0.3771676	0.0000000	1.0189795	1.0731980
555	0.1069738	0.9285921	0.0000000	0.1316994	0.9828626	0.0062369	0.4070024	0.0000000	0.9689238	1.0394234
560	0.1023705	0.9343789	0.0000000	0.1344564	1.0054777	0.0083137	0.3916532	0.0000000	0.9646405	1.0435085
565	0.1180162	0.9719914	0.0000000	0.1271781	1.0117830	0.0054286	0.3586996	0.0000000	1.0077163	1.0547970
570	0.1243749	0.9724721	0.0000000	0.1317996	1.0278837	0.0066999	0.3531224	0.0000000	1.0530227	1.0956088
575	0.1295251	1.0222798	0.0000000	0.1205149	1.0349824	0.0059585	0.3592561	0.0000000	1.0266550	1.0290176
580	0.1087964	0.9811408	0.0000000	0.1180135	1.0384738	0.0047034	0.3969921	0.0000000	1.0434561	1.0614045
585	0.1061251	0.9325743	0.0000000	0.1204636	1.0832682	0.0043698	0.3920313	0.0000000	1.0071327	1.0384138
590	0.1046203	0.9641796	0.0000000	0.1224307	1.0750510	0.0041377	0.3700967	0.0000000	1.0149967	1.0264965
595	0.1105107	0.9785307	0.0000000	0.1243855	1.0731521	0.0030474	0.3484550	0.0000000	0.9936292	1.0215538
600	0.1036219	0.9623750	0.0000000	0.1268189	1.0636724	0.0073625	0.3415861	0.0000000	0.9646242	0.9341990
605	0.1214072	0.9709158	0.0000000	0.1340219	1.0707964	0.0061702	0.3450123	0.0000000	0.9798682	0.9379685
610	0.1312621	0.9945000	0.0000000	0.1283761	1.0634560	0.0064765	0.3601817	0.0000000	1.0267664	0.9531957
615	0.1331347	0.9492447	0.0000000	0.1299879	1.0411203	0.0071895	0.3499967	0.0000000	1.0572455	0.9781142
620	0.1217741	0.9355196	0.0000000	0.1192697	1.0534740	0.0065355	0.3309893	0.0000000	1.0595181	0.9448464
625	0.1237758	0.9547871	0.0000000	0.1279049	1.0273265	0.0083272	0.3288632	0.0000000	1.0184809	0.9569092
630	0.1099893	0.9566042	0.0000000	0.1355103	1.0389494	0.0115320	0.3143153	0.0000000	1.0459606	0.9501333
635	0.1025785	0.9517001	0.0000000	0.1265428	1.0449533	0.0104414	0.3080607	0.0000000	1.0232590	1.0048388
640	0.1087246	0.9760563	0.0000000	0.1274843	1.0534353	0.0136009	0.3095394	0.0000000	1.0019408	1.0195580
645	0.1014573	0.9464807	0.0000000	0.1120955	1.0517515	0.0122321	0.2972858	0.0000000	1.0048938	1.0008324
650	0.1026647	0.9586778	0.0000000	0.1082966	1.0863424	0.0104015	0.2813435	0.0000000	0.9870818	0.9968189
655	0.1072613	0.9678226	0.0000000	0.1107120	1.0785415	0.0092467	0.2932130	0.0000000	0.9752358	1.0118054
660	0.1024575	0.9657808	0.0000000	0.1005780	1.0737720	0.0109046	0.2811168	0.0000000	1.0014127	0.9940763
665	0.1030275	0.9859542	0.0000000	0.0980826	1.1169207	0.0128472	0.3120407	0.0000000	0.9945790	0.9975531
670	0.0953689	1.0103761	0.0000000	0.1055265	1.0749063	0.0105731	0.3164193	0.0000000	0.9507674	1.0128166
675	0.0816358	1.0412224	0.0000000	0.1209971	1.0560680	0.0090898	0.3400795	0.0000000	0.9633610	1.0145901
680	0.0796199	1.0195788	0.0000000	0.1287794	1.0369352	0.0065663	0.3467330	0.0000000	0.9783212	1.0291375
685	0.0740300	1.0238578	0.0000000	0.1203134	1.0027114	0.0067714	0.3656923	0.0000000	0.9671677	0.9848763
690	0.0859945	1.0838456	0.0000000	0.1227493	1.0174044	0.0066031	0.3588376	0.0000000	0.9881275	1.0032842
695	0.0911414	1.0168146	0.0000000	0.1231303	1.0230583	0.0062350	0.3581495	0.0000000	1.0125463	1.0025289
700	0.1026858	0.9732536	0.0000000	0.1034309	1.0136826	0.0086184	0.3679514	0.0000000	1.0486653	1.0171146
705	0.0967362	0.9493050	0.0000000	0.0920178	1.0172359	0.0073773	0.3602055	0.0000000	1.0697111	0.9642045
710	0.1050569	0.9722062	0.0000000	0.0948717	1.0118595	0.0085892	0.3738154	0.0000000	1.0386452	0.9788920
715	0.1048758	1.0020444	0.0000000	0.0919121	1.0127541	0.0113045	0.3670519	0.0000000	1.0900634	1.0185013
720	0.1011518	0.9772761	0.0000000	0.1037374	1.0326070	0.0109555	0.3702088	0.0000000	1.1119176	1.0362134
725	0.1018136	0.9808837	0.0000000	0.1031354	1.0240179	0.0119146	0.3753835	0.0000000	1.0874474	1.0126905
730	0.0992270	1.0075819	0.0000000	0.1063222	1.0290249	0.0114997	0.3690646	0.0000000	1.0571440	1.0365764
735	0.1013681	0.9938303	0.0000000	0.1033640	1.0382012	0.0064228	0.3672310	0.0000000	1.0547053	1.0200496
740	0.0967330	0.9603531	0.0000000	0.1095777	1.0336818	0.0065102	0.3660405	0.0000000	1.0848977	1.0112717
745	0.1125393	1.0282430	0.0000000	0.1025503	1.0164425	0.0050268	0.3565605	0.0000000	1.1004966	0.9893966
750	0.1146119	1.0004959	0.0000000	0.1153192	1.0129686	0.0034950	0.3322154	0.0000000	1.1015135	0.9776304
755	0.1317827	0.9844878	0.0000000	0.1158952	1.0040501	0.0034228	0.3453715	0.0000000	1.0752794	0.9767423
760	0.1362380	0.9910623	0.0000000	0.1119019	1.0136529	0.0022229	0.3520339	0.0000000	1.0483433	0.9914063
