"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1522442	0.9817864	0.3598629	0.1426661	1.0314076	0.7187646	0.2919598	0.9969346	0.9847922	0.9902361
5	0.1100243	1.0270594	0.3205607	0.1617080	1.0362627	0.7492438	0.2374563	1.0079997	1.0088377	0.9977427
10	0.1078626	1.0399724	0.3287327	0.1645425	1.0640661	0.7241713	0.2272351	1.0437720	0.9818308	0.9713867
15	0.1085872	1.0509613	0.3167862	0.1597542	1.0693615	0.7154051	0.2437864	1.0346242	0.9879264	0.9869749
20	0.1071769	1.0810096	0.3004501	0.1450765	1.0457284	0.7139740	0.2526658	0.9944031	1.0022619	0.9731646
25	0.0961072	1.0636457	0.2977758	0.1647399	1.0374593	0.7016894	0.2438665	0.9570100	0.9793208	0.9521303
30	0.0827437	1.0410339	0.2839934	0.1591660	1.0460669	0.7106459	0.2583353	0.9644283	0.9739802	0.9273134
35	0.0798868	1.0610425	0.2938064	0.1542876	1.0300080	0.7082929	0.2666923	0.9603239	1.0040981	0.8807735
40	0.0781463	1.0238391	0.3015271	0.1483032	1.0335628	0.7103981	0.2575392	0.9615408	0.9862169	0.9062669
45	0.0862996	0.9902951	0.2956767	0.1564440	1.0177275	0.7010198	0.2561374	0.9687169	1.0125819	0.9075680
50	0.0829607	0.9793796	0.3015024	0.1643320	1.0345694	0.6934177	0.2531662	0.9624092	0.9893165	0.9205413
55	0.0907660	0.9925220	0.3162082	0.1681051	1.0264685	0.6760539	0.2512225	0.9783202	0.9785170	0.9615503
60	0.0901617	0.9982549	0.3394256	0.1755530	1.0105849	0.6550187	0.2451883	1.0152132	0.9923312	0.9582262
65	0.1001075	0.9785790	0.3075994	0.1598553	1.0120444	0.6661406	0.2573286	1.0201814	1.0057015	0.9554515
70	0.0963688	0.9829820	0.2907480	0.1571218	1.0360726	0.6688528	0.2750038	1.0178468	1.0020886	0.9297354
75	0.0885582	1.0260064	0.3102804	0.1583447	1.0154525	0.6683534	0.2925090	1.0211042	1.0104554	0.9932352
80	0.0876758	0.9933026	0.3057817	0.1690655	0.9987383	0.6433691	0.2861707	1.0113547	0.9946054	0.9989621
85	0.0866126	1.0044910	0.2964634	0.1655559	0.9950219	0.6472709	0.2891218	1.0658568	1.0004323	1.0118875
90	0.0790763	1.0148689	0.2841218	0.1508568	0.9971077	0.6547762	0.2877142	1.0278418	0.9903767	1.0066414
95	0.0744695	0.9925355	0.2746461	0.1407189	1.0245514	0.6868664	0.2847402	1.0292106	1.0314537	1.0400382
100	0.0688605	0.9978130	0.2595394	0.1514050	1.0240087	0.6965097	0.2812126	1.0214324	1.0171007	1.0808712
105	0.0593607	1.0636249	0.2530360	0.1338979	1.0351121	0.6862928	0.3115484	1.0365568	0.9940223	1.0686865
110	0.0612601	1.0499209	0.2637913	0.1276788	1.0394944	0.6695969	0.3107454	1.0210275	0.9925163	1.0701669
115	0.0687262	1.0229891	0.2637662	0.1532308	1.0378569	0.7041719	0.3232127	1.0455174	0.9820067	1.0587829
120	0.0813347	1.0094827	0.2737431	0.1550895	1.0510992	0.6834551	0.3500585	1.0618474	0.9517110	1.0443579
125	0.0703791	1.0143398	0.2745796	0.1502571	1.0421333	0.6964686	0.3244916	1.0663977	1.0066749	1.0210795
130	0.0883424	1.0084494	0.2985101	0.1418119	1.0118057	0.6920210	0.3296917	1.0452759	1.0244485	1.0220741
135	0.0844636	1.0203270	0.3207038	0.1292340	1.0171538	0.6834838	0.3229692	1.0074279	1.0314277	1.0131610
140	0.0772455	0.9699512	0.3079126	0.1235214	1.0566039	0.6836560	0.3321250	1.0330901	1.0378860	1.0018086
145	0.0802782	0.9731761	0.3239605	0.1334975	1.0410479	0.6824024	0.3176886	0.9955053	1.0575524	1.0034165
150	0.0709226	0.9283361	0.3156543	0.1418977	1.0457409	0.6903865	0.3071686	1.0120196	1.0689716	1.0422887
155	0.0587077	0.8943940	0.3313300	0.1440149	1.0679600	0.6797314	0.3011233	1.0059089	1.0553396	1.0772194
160	0.0528573	0.9059951	0.3337042	0.1567757	1.0489000	0.6795260	0.2870733	0.9944300	1.0670096	1.0305839
165	0.0572292	0.9229567	0.3262039	0.1589743	1.0366478	0.6879310	0.2650668	1.0480045	1.0223743	1.0383522
170	0.0588167	0.9096393	0.3388601	0.1619905	1.0234138	0.6771680	0.2495740	1.0250728	1.0020988	1.0111332
175	0.0630822	0.9351960	0.3425698	0.1479879	1.0162202	0.6807739	0.2488619	1.0176996	1.0038849	1.0128438
180	0.0502908	0.9393877	0.3437335	0.1661291	1.0364269	0.7004106	0.2510906	1.0142281	1.0290084	1.0074157
185	0.0539299	0.9409407	0.3502569	0.1763205	1.0057609	0.7563885	0.2540423	1.0094327	1.0739596	1.0497598
190	0.0566930	0.9444999	0.3332959	0.1688708	0.9949068	0.7693084	0.2308542	1.0026528	1.0514365	1.0256560
195	0.0601381	0.9506905	0.3577387	0.1585229	0.9737214	0.7616118	0.2057924	1.0088918	1.0303109	1.0168121
200	0.0567358	0.9840055	0.3720978	0.1504731	0.9841598	0.7236147	0.2125979	1.0135486	1.0516552	0.9947995
205	0.0557964	1.0221561	0.3619342	0.1506886	0.9864979	0.7618396	0.2130944	1.0012286	1.0003891	0.9985416
210	0.0641419	0.9902487	0.3640369	0.1469099	0.9851184	0.7704116	0.2177794	1.0174149	0.9746529	0.9891209
215	0.0544446	1.0226007	0.3706542	0.1325301	0.9456920	0.7568578	0.2314257	0.9836755	1.0023549	0.9840054
220	0.0607016	1.0241591	0.3796235	0.1265354	0.9388954	0.7438904	0.2390320	0.9630193	1.0018087	0.9723581
225	0.0543502	0.9956792	0.3730706	0.1312669	0.9923397	0.7383673	0.2433328	0.9108350	1.0217461	0.9789906
230	0.0590198	1.0188287	0.3634425	0.1241054	0.9934843	0.7232351	0.2580051	0.9290991	1.0120860	0.9515525
235	0.0662696	1.0216466	0.3634563	0.1057262	0.9904338	0.7513894	0.2532980	0.8920201	1.0677613	0.9575169
240	0.0625683	1.0335641	0.3470119	0.1218280	0.9754906	0.7601857	0.2514889	0.9193380	1.0833051	0.9397506
245	0.0632757	1.0460692	0.3282076	0.1307252	0.9489511	0.7698011	0.2352658	0.9192643	1.0893670	0.9770360
250	0.0659366	1.0377483	0.3272291	0.1456571	0.9229170	0.7133242	0.2281167	0.9079103	1.1078817	1.0286169
255	0.0688796	1.0457282	0.3277356	0.1425756	0.9115369	0.7348905	0.2433189	0.8864438	1.0777490	0.9937908
260	0.0581734	1.0323010	0.3073525	0.1449645	0.9148728	0.7458236	0.2416130	0.9460123	1.0556895	1.0023026
265	0.0607103	1.0278923	0.3233756	0.1394179	0.9129065	0.7690466	0.2269987	0.9978802	1.0938925	0.9624905
270	0.0547910	0.9842805	0.3080994	0.1441018	0.9350855	0.7723386	0.2311145	1.0228066	1.0742265	0.9545002
275	0.0526019	0.9869943	0.3137452	0.1476825	0.9325694	0.7876756	0.2196364	0.9904609	1.0381022	0.9551783
280	0.0524107	0.9846648	0.3134097	0.1388064	0.9104577	0.7754808	0.1937897	0.9980166	1.0104916	0.9830369
285	0.0475805	1.0358922	0.3123057	0.1428429	0.9016216	0.7480501	0.2026992	1.0086684	0.9898851	1.0064397
290	0.0383838	0.9766610	0.3022875	0.1392575	0.9041148	0.7714060	0.2169317	0.9905229	1.0113443	1.0053841
295	0.0397000	0.9766949	0.2981093	0.1352545	0.8857944	0.8003560	0.2299274	0.9690007	0.9775316	1.0255544
300	0.0436851	0.9464120	0.3179411	0.1354366	0.8908978	0.8295466	0.2285028	1.0126463	0.9909866	1.0479252
305	0.0422250	0.9540650	0.2924668	0.1330728	0.8932627	0.8294616	0.2420034	1.0043466	0.9908985	1.0298187
310	0.0435359	0.9880631	0.2921928	0.1378190	0.9495863	0.8286050	0.2575947	0.9922638	0.9804360	1.0020061
315	0.0391331	0.9357980	0.2890023	0.1391127	0.9886512	0.8077605	0.2600840	1.0079066	0.9481987	0.9602910
320	0.0404646	0.9665610	0.3028113	0.1328096	0.9682532	0.7955215	0.2727714	1.0320107	0.9144893	0.9397786
325	0.0371304	0.9846549	0.3058515	0.1467539	0.9915708	0.8017198	0.2721056	1.0117484	0.9219166	0.9688323
330	0.0460473	1.0039142	0.2969735	0.1455177	0.9696146	0.8154732	0.2821085	1.0313352	0.8815532	0.9440969
335	0.0424164	1.0242449	0.3170984	0.1369763	1.0037892	0.7956598	0.2924509	1.0414304	0.8914196	0.9691920
340	0.0438316	1.0495455	0.3362914	0.1320187	1.0048380	0.7950455	0.3090703	1.0338833	0.9271164	1.0308134
345	0.0372450	1.0673683	0.3341097	0.1330193	1.0458386	0.8000269	0.2933230	1.0384271	0.9273569	1.0169101
350	0.0398672	1.0748495	0.3133504	0.1257126	1.0761761	0.8009331	0.2758926	1.0049224	0.9202376	0.9994795
355	0.0424827	1.0144827	0.3162933	0.1186404	1.0608427	0.7636346	0.2785245	1.0205071	0.9418289	0.9630848
360	0.0432605	1.0075613	0.3091262	0.1237299	1.0215509	0.7381336	0.2636621	1.0062390	0.9572759	0.9526805
365	0.0337337	1.0343816	0.2881472	0.1240348	1.0497804	0.7271382	0.2709156	1.0033901	0.9722996	0.9500880
370	0.0373251	1.0352429	0.2811663	0.1235194	1.0492725	0.7310112	0.2869620	0.9962773	0.9630049	0.9291304
375	0.0361729	1.0322183	0.2729840	0.1300713	1.0191746	0.6908381	0.2687377	0.9822500	0.9476834	0.9541263
380	0.0356522	1.0111128	0.2849938	0.1358041	1.0518482	0.7176199	0.2558937	0.9583605	0.9705895	0.9487279
385	0.0394389	1.0538975	0.2785695	0.1491959	1.0395880	0.7109920	0.2584132	0.9519288	0.9682502	0.8871737
390	0.0449502	1.0378737	0.2871795	0.1558392	1.0535663	0.7079538	0.2505349	0.9464231	0.9305257	0.9431062
395	0.0422269	1.0255526	0.2973637	0.1290806	1.0561711	0.6775794	0.2558070	0.9330138	0.9384326	0.9826562
400	0.0500614	1.0250341	0.3025651	0.1179446	1.0963980	0.6750726	0.2533381	0.9624304	0.9329834	0.9562784
405	0.0484822	1.0077191	0.2933525	0.1339167	1.0835847	0.6634501	0.2550432	0.9691467	0.9325675	0.9280167
410	0.0436690	1.0598409	0.3054072	0.1240885	1.0807961	0.6815685	0.2747507	0.9970021	0.9369780	0.9160194
415	0.0436957	1.0433633	0.2816566	0.1202416	1.0518196	0.6845514	0.2811233	1.0225585	0.9290499	0.9502775
420	0.0453584	1.0758789	0.2810953	0.1279796	1.0323386	0.6551890	0.2849180	0.9964771	0.9349006	1.0075307
425	0.0514959	1.0237684	0.2978982	0.1251915	1.0408105	0.6848725	0.2855181	1.0422369	0.9512452	1.0194747
430	0.0536442	1.0113505	0.3002147	0.1403203	1.0391348	0.6775804	0.2753890	1.0438197	0.9752457	1.0381545
435	0.0553227	1.0124606	0.2854595	0.1229750	1.0124194	0.6911297	0.2621011	1.0385150	0.9343329	1.0200668
440	0.0644251	0.9520431	0.2868173	0.1236926	0.9698719	0.6891529	0.2360375	1.0369968	0.9893793	1.0125856
445	0.0667829	0.9993234	0.2822291	0.1382481	0.9922034	0.6736482	0.2525350	1.0276574	1.0077955	1.0134171
450	0.0684262	0.9696046	0.2783637	0.1434462	1.0077070	0.6488085	0.2581391	1.0715537	0.9993842	1.0164699
455	0.0627655	0.9599029	0.2911632	0.1430129	0.9818598	0.6525816	0.2681151	1.0292964	0.9923790	0.9737048
460	0.0517126	0.9569041	0.3040228	0.1542264	0.9552603	0.6622734	0.2601083	1.0639078	1.0066662	0.9712017
465	0.0531122	1.0297134	0.3086186	0.1500565	0.9721191	0.6553237	0.2667579	1.0400402	0.9879388	0.9795646
470	0.0465092	1.0946674	0.3115111	0.1465444	0.9623990	0.6470119	0.2662981	1.0693148	1.0167485	0.9673983
475	0.0590121	1.1049356	0.3336040	0.1521018	0.9761372	0.6325328	0.2736866	1.0202699	1.0146850	0.9973926
480	0.0639932	1.0938964	0.3358381	0.1501867	0.9926713	0.6477768	0.2663992	1.0248726	1.0419318	0.9948172
485	0.0616930	1.0997298	0.3308383	0.1529426	1.0440956	0.6615378	0.2819958	0.9925613	1.0600577	0.9725748
490	0.0669097	1.0675856	0.3233597	0.1485921	1.0725732	0.6456145	0.3089352	0.9662763	1.0728033	0.9697661
495	0.0584591	1.0373217	0.3075507	0.1507545	1.0785351	0.6306460	0.3046700	0.9724267	1.0516619	0.9412064
500	0.0690197	1.0372114	0.3104003	0.1482529	1.0753136	0.5908697	0.3083847	0.9944901	1.0449541	0.9803055
505	0.0709966	0.9902092	0.3056900	0.1485105	1.0732403	0.5917842	0.2986760	1.0059305	1.0112398	1.0105532
510	0.0724287	1.0052145	0.3065915	0.1571089	1.0883586	0.6489715	0.2884095	0.9869404	1.0242122	1.0374941
515	0.0688875	1.0325460	0.3009439	0.1649556	1.0948144	0.6654435	0.2692105	0.9873379	0.9907789	1.0521801
520	0.0742493	1.0490973	0.2883379	0.1625520	1.0650213	0.6954009	0.2574636	0.9252219	0.9859021	1.0083467
525	0.0739661	1.0283336	0.2693244	0.1747142	1.0775896	0.6653369	0.2681328	0.9402004	0.9811108	1.0167632
530	0.0808311	0.9802286	0.2787477	0.1773939	1.0766763	0.6479026	0.2732301	0.9157878	0.9570337	1.0037274
535	0.0880823	0.9604673	0.2782188	0.1624607	1.0871940	0.6876036	0.2715112	0.9021203	0.9993815	1.0253763
540	0.0860508	0.9360681	0.2748035	0.1658166	1.0612834	0.6953031	0.2841935	0.9104826	1.0208245	1.0319707
545	0.0830587	0.9467175	0.2855430	0.1641523	1.0739729	0.7044553	0.2743832	0.9382922	1.0088833	1.0049704
550	0.0896570	0.9437367	0.2816693	0.1575989	1.0537718	0.6615912	0.2565882	0.9289084	1.0016823	0.9937309
555	0.0907987	0.9566742	0.2948689	0.1591723	1.0983125	0.6789179	0.2516596	0.9189773	0.9742442	1.0098372
560	0.0820329	0.9791881	0.2857883	0.1680967	1.1047984	0.6748411	0.2609192	0.9658294	1.0297252	0.9660460
565	0.0736115	0.9939859	0.2769481	0.1524543	1.1208585	0.6687082	0.2653057	0.9673895	1.0110533	0.9615718
570	0.0810527	1.0083864	0.2701651	0.1463039	1.1211290	0.6434315	0.2765551	0.9495030	1.0001485	0.9520617
575	0.0824766	0.9827531	0.2925641	0.1289663	1.1152032	0.6456730	0.2664924	0.9743146	1.0295348	0.9652499
580	0.0802316	0.9803816	0.2952648	0.1334747	1.1076313	0.6569167	0.2784977	0.9659206	1.0134225	0.9832605
585	0.0748781	0.9837576	0.2979151	0.1253210	1.0938042	0.6866473	0.2779850	0.9580083	0.9933907	0.9501998
590	0.0699999	1.0050887	0.3031010	0.1334672	1.1218869	0.6806550	0.2919220	0.9698998	1.0001383	0.9521549
595	0.0623821	0.9440137	0.2986784	0.1326709	1.0885095	0.6576378	0.3063560	0.9697868	1.0100223	0.9298798
600	0.0618554	0.9446966	0.2977437	0.1503302	1.0864668	0.6415286	0.3210934	0.9867879	0.9990651	0.9548015
605	0.0585079	0.9224593	0.3096388	0.1356404	1.0830472	0.6285057	0.3177528	0.9640135	1.0100068	0.9751408
610	0.0608408	0.9386982	0.3097427	0.1221724	1.0478660	0.6468788	0.3136603	0.9759547	0.9694437	0.9968049
615	0.0600759	0.9313292	0.2962652	0.1267305	1.0304291	0.6226791	0.3176797	0.9770703	0.9526707	0.9938327
620	0.0552171	0.8902842	0.2849563	0.1195493	1.0217014	0.5732360	0.3019454	0.9752053	0.9608040	0.9965517
625	0.0515597	0.9433968	0.2741054	0.1217148	1.0312191	0.5590021	0.3155390	0.9654690	0.9753275	0.9785424
630	0.0553767	0.9203520	0.2862563	0.1292863	1.0312468	0.5649700	0.3105775	0.9905955	0.9968259	1.0090378
635	0.0508721	0.9858029	0.2848510	0.1200317	1.0367012	0.5435260	0.2883162	0.9666010	0.9682107	1.0184533
640	0.0421965	0.9552203	0.2930840	0.1333460	1.0656686	0.5623533	0.2888008	0.9822951	0.9708276	0.9886627
645	0.0341259	0.9286349	0.2949987	0.1430538	1.0666854	0.5604986	0.2876837	0.9778705	0.9924201	1.0052751
650	0.0460443	0.9575967	0.3202759	0.1398202	1.0499772	0.5503137	0.2972451	0.9942730	1.0022800	1.0375729
655	0.0374384	0.9600384	0.3092592	0.1383842	1.0573185	0.5445242	0.2962379	0.9930713	1.0076728	1.0468757
660	0.0419499	0.9044810	0.3185679	0.1266480	1.0454036	0.5348163	0.2892088	0.9768388	0.9834803	1.0329255
665	0.0400910	0.9432296	0.3402970	0.1461167	1.0172554	0.5692519	0.2887824	0.9677503	0.9873335	1.0253927
670	0.0506034	0.9725832	0.3327862	0.1556408	0.9944343	0.5886874	0.3007160	0.9664488	0.9711477	1.0379558
675	0.0373478	0.9724600	0.3447432	0.1618277	0.9916004	0.6390051	0.3019282	0.9174824	0.9735086	1.0104472
680	0.0395449	0.9372427	0.3486530	0.1521608	0.9835431	0.6167269	0.2997468	0.9401235	0.9648404	1.0563181
685	0.0492310	0.9124408	0.3404436	0.1446558	1.0411454	0.6160959	0.3071116	0.9964226	0.9750158	1.0611107
690	0.0479438	0.9255921	0.3431069	0.1499896	0.9994675	0.6192744	0.3212119	0.9973471	0.9478649	1.0436888
695	0.0526306	0.9555551	0.3306844	0.1497893	1.0296782	0.6106038	0.2964434	1.0121714	0.9356015	1.0630355
700	0.0487035	0.9359103	0.3338485	0.1589914	1.0186565	0.6238662	0.2858787	0.9811499	0.9657532	1.0465542
705	0.0531014	0.9279934	0.3311258	0.1538280	1.0481212	0.6100000	0.2841025	1.0048015	0.9295155	1.0522117
710	0.0546314	0.9705006	0.3617190	0.1480280	1.0331192	0.6231690	0.2996719	0.9724136	0.9354874	1.0390572
715	0.0394113	0.9583197	0.3497068	0.1342419	0.9942525	0.6614103	0.3141852	0.9883522	0.9330253	1.0328137
720	0.0351734	0.9613566	0.3424594	0.1313082	0.9716049	0.6526042	0.2812645	0.9658548	0.9283533	1.0205637
725	0.0368743	0.9718607	0.3570409	0.1436309	0.9908367	0.6769457	0.2707163	0.9892575	0.9383102	1.0331241
730	0.0402496	0.9840519	0.3323734	0.1375466	0.9851519	0.6759653	0.2579269	0.9701738	0.9724221	1.0427351
735	0.0464099	0.9841826	0.3256880	0.1436133	0.9585299	0.6794701	0.2555032	0.9604200	0.9981895	1.0370144
740	0.0394348	0.9888560	0.3098873	0.1442645	0.9765529	0.6774027	0.2592909	0.9188241	1.0117301	1.0540955
745	0.0424628	0.9678947	0.3235983	0.1419505	1.0177137	0.6984750	0.2649313	0.9422077	1.0352348	1.0610227
750	0.0471745	0.9422408	0.3264149	0.1400091	0.9986001	0.7050568	0.2548736	0.9454317	1.0315781	1.0680853
755	0.0420412	0.9548745	0.3227918	0.1266742	0.9929848	0.6976793	0.2566843	0.9660672	1.0613695	1.0476808
760	0.0384122	0.9809898	0.3095215	0.1365272	0.9674679	0.6872538	0.2502843	1.0051293	1.0632411	1.0336113
