"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1522442	0.9817864	0.3598629	0.1426661	1.0314076	0.7187646	0.2919598	0.9969346	0.9847922	0.9902361
5	0.1186494	0.9306797	0.3224140	0.1576987	0.9768436	0.6460056	0.2699537	0.9748543	1.0055900	1.0547067
10	0.1097732	0.9288806	0.3201252	0.1466778	0.9534690	0.6536788	0.2749659	1.0350290	1.0247855	1.0888530
15	0.0930280	0.9512413	0.3077367	0.1583847	0.9310796	0.6830336	0.2456037	1.0231653	1.0357914	1.1013507
20	0.0834141	0.9741918	0.3123305	0.1697433	0.9239984	0.6608125	0.2384747	0.9958791	1.0462405	1.1118504
25	0.0683162	0.9656049	0.3095445	0.1746258	0.9437279	0.6604126	0.2292337	0.9642068	1.0859133	1.0767041
30	0.0559618	0.9373767	0.3028620	0.1639438	0.9384629	0.6849103	0.2097137	0.9862576	1.0762707	1.0789321
35	0.0527501	0.9443012	0.3000274	0.1757137	0.9420080	0.6818972	0.2172270	0.9638692	1.0511164	1.0757226
40	0.0471625	0.9744286	0.3113008	0.2036993	0.9684080	0.6745509	0.2247093	1.0082536	1.0457762	1.0349035
45	0.0475968	0.9238231	0.3170791	0.1943069	0.9505287	0.6759605	0.2374436	1.0293132	1.0288735	1.0255343
50	0.0429366	0.9584809	0.3031027	0.1819234	0.9942893	0.6701717	0.2268219	1.0343670	1.0581838	0.9846992
55	0.0349300	0.9959185	0.3165571	0.1768789	0.9714465	0.6950200	0.2351871	1.0069050	1.0112786	0.9830905
60	0.0301196	1.0194917	0.3185090	0.1724704	0.9960976	0.6904270	0.2344863	0.9952250	1.0484269	0.9889869
65	0.0253228	0.9762690	0.3191022	0.1543158	0.9977291	0.6782137	0.2370573	0.9577031	1.0063739	0.9970469
70	0.0252772	0.9423344	0.3106948	0.1493814	0.9985027	0.6754686	0.2445940	0.9890236	1.0528923	0.9677770
75	0.0225318	0.9435311	0.3010407	0.1424196	0.9706784	0.6754683	0.2195129	0.9977675	1.0458097	0.9629810
80	0.0183302	0.9378099	0.2850743	0.1276985	0.9653914	0.6607721	0.2350168	0.9717937	1.0392991	0.9760884
85	0.0160580	0.9254545	0.3038658	0.1368915	0.9521702	0.6683107	0.2299807	0.9692314	1.0405066	0.9849003
90	0.0138089	0.8937832	0.3001868	0.1371159	0.9495616	0.6756292	0.2376524	0.9642760	1.0424923	1.0172053
95	0.0088395	0.9013472	0.2858222	0.1460700	0.9526305	0.6704702	0.2480498	0.9473373	1.0056994	1.0236534
100	0.0092733	0.8576844	0.2922245	0.1552063	0.9816831	0.6360709	0.2777382	0.9541195	1.0636499	1.0280848
105	0.0055919	0.8489868	0.2807534	0.1571394	0.9564244	0.6259277	0.2817601	0.9595647	1.0544925	0.9918624
110	0.0046179	0.8508617	0.2781647	0.1527433	0.9747697	0.6189698	0.2792472	1.0070889	1.0660209	0.9917922
115	0.0033520	0.8682795	0.2934080	0.1476874	1.0103195	0.6106263	0.2866684	0.9989224	1.0622789	0.9868372
120	0.0020421	0.8519798	0.3121294	0.1407331	1.0228711	0.5965582	0.2718299	0.9906158	1.0292253	0.9657802
125	0.0014400	0.8891384	0.3260941	0.1580394	1.0285370	0.5938500	0.2530206	0.9948383	1.0737517	0.9907395
130	0.0006403	0.8978787	0.3297808	0.1540097	1.0108864	0.5850115	0.2453292	0.9202158	1.0687925	0.9810159
135	0.0003827	0.9349715	0.3539112	0.1580101	1.0503195	0.6017255	0.1983782	0.9379230	1.0899745	0.9998143
140	0.0004577	0.9812828	0.3493440	0.1610604	1.0107193	0.6353777	0.2024704	0.9348493	1.1152709	0.9959706
145	0.0000000	0.9980107	0.3456124	0.1584238	1.0255082	0.6533038	0.2103087	0.9186039	1.0924497	0.9968521
150	0.0000000	1.0271822	0.3295514	0.1638781	1.0008682	0.6364358	0.2107829	0.9411842	1.0699598	1.0023502
155	0.0000000	1.0373954	0.3271125	0.1698891	0.9882407	0.6260979	0.2355895	0.9898095	1.0312190	0.9913594
160	0.0000000	1.0127185	0.3263142	0.1471492	0.9858270	0.6028832	0.2503843	0.9598458	1.0820086	0.9759979
165	0.0000000	0.9577679	0.3360551	0.1604784	0.9810164	0.6036679	0.2399074	0.9622042	1.0530046	0.9826438
170	0.0000000	0.9389327	0.3394463	0.1672237	0.9839083	0.6232242	0.2338088	0.9891750	1.0279176	1.0062155
175	0.0000000	0.9179212	0.3531896	0.1792553	0.9504687	0.6108063	0.2442235	0.9890259	1.0633860	1.0737649
180	0.0000000	0.8885218	0.3461573	0.1749328	0.9483398	0.6221234	0.2285031	1.0149726	1.0453728	1.0824615
185	0.0000000	0.9581951	0.3640960	0.1528860	0.9359186	0.6427290	0.2373984	0.9917549	1.0622114	1.0663723
190	0.0000000	0.9543050	0.3563079	0.1425464	0.9047868	0.6659239	0.2387962	0.9608332	1.0704922	1.0362795
195	0.0000000	0.9580022	0.3124384	0.1415939	0.9148657	0.6715355	0.2170016	1.0069620	1.0645563	1.0491982
200	0.0000000	1.0213830	0.2950669	0.1293119	0.9416717	0.6576404	0.2361254	1.0008409	1.0423440	1.0445876
205	0.0000000	1.0253712	0.3029131	0.1300589	0.9349507	0.6511560	0.2467172	1.0225474	0.9984436	1.0384365
210	0.0000000	0.9697643	0.3000941	0.1178443	0.9469793	0.6495549	0.2475980	1.0255113	0.9759912	0.9850579
215	0.0000000	1.0293960	0.3115129	0.1210806	0.9651589	0.6357954	0.2554742	1.0114776	1.0126893	0.9859577
220	0.0000000	1.0099115	0.3231804	0.1210173	0.9785438	0.6111568	0.2563094	1.0577111	0.9864162	0.9461180
225	0.0000000	1.0064426	0.3456969	0.1196592	0.9695632	0.6484041	0.2745412	1.0150758	0.9952373	0.9664280
230	0.0000000	0.9870563	0.3601759	0.1148737	0.9555081	0.6853008	0.2749193	0.9850856	0.9781427	0.9575944
235	0.0000000	0.9830284	0.3725448	0.1242586	0.9236154	0.7155633	0.2837870	0.9177961	0.9606363	0.9565591
240	0.0000000	0.9564415	0.3799777	0.1124650	0.9315417	0.7277490	0.2887967	0.9401215	0.9638637	0.9772421
245	0.0000000	0.9399827	0.3525972	0.1284960	0.9434250	0.7353299	0.2968233	0.9176089	0.9816165	1.0084477
250	0.0000000	0.9601395	0.3512960	0.1303215	0.9466781	0.7042979	0.2826787	0.9447346	0.9793996	1.0349355
255	0.0000000	0.9553905	0.3487697	0.1278488	0.9320657	0.7067079	0.2752125	0.9138084	0.9781377	0.9940724
260	0.0000000	0.9660531	0.3321757	0.1391995	0.9599815	0.7067489	0.2697878	0.9212980	1.0157017	1.0405033
265	0.0000000	0.9712710	0.3344426	0.1530117	0.9636948	0.6944112	0.2769648	0.9642696	1.0066759	1.0338977
270	0.0000000	0.9941214	0.3328394	0.1512986	0.9230940	0.6882110	0.2571537	0.9953244	1.0074349	1.0251931
275	0.0000000	0.9900925	0.3315816	0.1455705	0.9047661	0.6660484	0.2688273	0.9895415	1.0012235	1.0353162
280	0.0000000	0.9921749	0.3015641	0.1302761	0.9582668	0.6789073	0.2878426	0.9483758	0.9829394	1.0655709
285	0.0000000	0.9601046	0.3060299	0.1398525	0.9440936	0.6693358	0.2760395	1.0034096	0.9928654	1.0738505
290	0.0000000	0.9597869	0.2922878	0.1664241	0.9520639	0.6801661	0.2755138	0.9792755	1.0140750	1.0883278
295	0.0000000	0.9982810	0.3087591	0.1638530	0.9474230	0.6508672	0.2751147	0.9724206	1.0000826	1.0232786
300	0.0000000	0.9839082	0.2904154	0.1608059	0.9650433	0.6514554	0.2861110	0.9818494	1.0396101	1.0600165
305	0.0000000	0.9593207	0.3208186	0.1734381	0.9416359	0.6492767	0.2877785	0.9657505	1.0377272	1.0591512
310	0.0000000	0.9895435	0.3204841	0.1694640	0.9463737	0.6593208	0.2986522	0.9774429	1.0148031	1.0763632
315	0.0000000	0.9820784	0.3244771	0.1744025	0.9547754	0.6706617	0.2914916	0.9830485	1.0285986	1.0607552
320	0.0000000	0.9875839	0.3062618	0.1611197	0.9817288	0.6577973	0.2852122	0.9979467	1.0687520	1.0268687
325	0.0000000	1.0110790	0.3118438	0.1640607	0.9883785	0.6359145	0.3027109	0.9731303	1.0490299	1.0361448
330	0.0000000	1.0245249	0.3069749	0.1576204	1.0004876	0.6345161	0.3061704	1.0307287	1.0132516	1.0664984
335	0.0000000	1.0099456	0.2975252	0.1746937	0.9852685	0.6290710	0.2771459	1.0605689	1.0139226	1.0427759
340	0.0000000	1.0171651	0.3242253	0.1776521	1.0026747	0.6462038	0.2705539	1.0534904	1.0123232	1.0473928
345	0.0000000	1.0177391	0.2966433	0.1666465	1.0368379	0.6381930	0.2743289	1.1202936	0.9980582	1.0233279
350	0.0000000	1.0033941	0.3130348	0.1501450	1.0460242	0.5875454	0.2666894	1.0781290	0.9903777	1.0282013
355	0.0000000	1.0339028	0.3320891	0.1368127	1.0245501	0.5976733	0.2723224	1.0572960	0.9601019	1.0332255
360	0.0000000	1.0442711	0.3309695	0.1445716	0.9962426	0.5933345	0.2606221	1.0335439	0.9727102	1.0190772
365	0.0000000	1.0305370	0.3049633	0.1479473	1.0064859	0.5792487	0.2633651	1.0376575	0.9651651	1.0556311
370	0.0000000	1.0041413	0.2969185	0.1535298	0.9781495	0.5558884	0.2498156	0.9737968	0.9528660	1.0185894
375	0.0000000	0.9635773	0.3108228	0.1612851	0.9564841	0.5814692	0.2470512	0.9710855	0.9476426	0.9896763
380	0.0000000	0.9771540	0.3232350	0.1617606	0.9590645	0.5809134	0.2457724	0.9568303	0.9475724	1.0258156
385	0.0000000	0.9650645	0.3206568	0.1495058	0.9899802	0.5953693	0.2390734	0.9634851	0.9565081	1.0175998
390	0.0000000	0.9660207	0.3377069	0.1465210	1.0106055	0.5909940	0.2473786	0.9855531	0.9348388	1.0236362
395	0.0000000	0.9809058	0.3339009	0.1515765	0.9998787	0.5629896	0.2328761	0.9476281	0.9435537	1.0368469
400	0.0000000	0.9617792	0.3442080	0.1455357	1.0067456	0.5799072	0.2149171	0.9207983	0.9854184	1.0626830
405	0.0000000	0.9742541	0.3488341	0.1372707	0.9979507	0.5857924	0.2144905	0.9568019	1.0004775	1.0880417
410	0.0000000	0.9586120	0.3521850	0.1359575	0.9684265	0.6249959	0.2218441	0.9438050	0.9948550	1.0508146
415	0.0000000	0.9647121	0.3205691	0.1351094	0.9613273	0.6510238	0.2409985	0.9736015	0.9887200	1.0367733
420	0.0000000	0.9710089	0.3386915	0.1299648	0.9590814	0.6617093	0.2434697	0.9756595	0.9693530	1.0478891
425	0.0000000	0.9559232	0.3439741	0.1359883	0.9753831	0.6664524	0.2251645	0.9885161	0.9668298	1.0314150
430	0.0000000	1.0020277	0.3430221	0.1291528	0.9850887	0.6616303	0.2291369	0.9994316	0.9596465	1.0080911
435	0.0000000	1.0013160	0.3487965	0.1297090	0.9576000	0.6905800	0.2483296	0.9982177	0.9829598	0.9154576
440	0.0000000	0.9900996	0.3340680	0.1379149	0.9646126	0.6669573	0.2432855	0.9893788	1.0316525	0.9382031
445	0.0000000	1.0062514	0.3442667	0.1348675	0.9957290	0.6861964	0.2601441	1.0008602	1.0257759	0.9080335
450	0.0000000	1.0210840	0.3524013	0.1311324	0.9641208	0.7200938	0.2522307	0.9599615	1.0219218	0.9013079
455	0.0000000	0.9976525	0.3451862	0.1327239	0.9506858	0.6985587	0.2708697	1.0067854	1.0382040	0.9389389
460	0.0000000	0.9734733	0.3388072	0.1320546	0.9510632	0.6818341	0.2819835	0.9629744	0.9937575	0.9441694
465	0.0000000	0.9938419	0.3255951	0.1435637	0.9817646	0.6889602	0.2677574	0.9407455	0.9791347	0.9419721
470	0.0000000	0.9709448	0.3366415	0.1388305	0.9852352	0.6834713	0.2812759	0.9541918	0.9743729	1.0021321
475	0.0000000	0.9839528	0.3102828	0.1292800	1.0083215	0.6523436	0.2850643	0.9672361	0.9581093	1.0333666
480	0.0000000	1.0144860	0.3191730	0.1295679	0.9945228	0.6760677	0.3127258	1.0181066	0.9797365	1.0224527
485	0.0000000	1.0469173	0.3125102	0.1260865	1.0068998	0.6640047	0.3085507	1.0467956	0.9802250	0.9962967
490	0.0000000	1.0389885	0.3060608	0.1233219	0.9983827	0.6692990	0.3121212	1.0401223	0.9599330	1.0101771
495	0.0000000	1.0182147	0.3049382	0.1365120	1.0190817	0.6802934	0.3095865	1.0017089	0.9956044	1.0110351
500	0.0000000	0.9855240	0.3083939	0.1428394	1.0535210	0.6994107	0.3124589	1.0366203	1.0230241	1.0072512
505	0.0000000	0.9978010	0.3162396	0.1326449	1.0919474	0.6564996	0.3296720	1.0678841	0.9984753	0.9836142
510	0.0000000	1.0243962	0.3142580	0.1373361	1.0846600	0.6665644	0.3438768	1.0583751	1.0040001	0.9157816
515	0.0000000	1.0205123	0.3018327	0.1399159	1.0580938	0.6412921	0.3521328	1.0255740	0.9998981	0.9308889
520	0.0000000	1.0019791	0.3033239	0.1452463	1.0924589	0.6200833	0.3492570	0.9880509	1.0108804	0.9451015
525	0.0000000	0.9489519	0.3247892	0.1498419	1.1032477	0.5897975	0.3371207	0.9421784	1.0288307	0.9428164
530	0.0000000	0.9878911	0.3258333	0.1428497	1.1232761	0.5851867	0.3223713	0.9510963	1.0418287	0.9868131
535	0.0000000	0.9618297	0.3279355	0.1335004	1.1145717	0.5759773	0.3176438	0.9491323	1.0413974	1.0027545
540	0.0000000	0.9910832	0.3314940	0.1347356	1.1337227	0.5650807	0.3207478	0.9199855	1.0828053	1.0093923
545	0.0000000	1.0183971	0.3339927	0.1283541	1.1515394	0.5437471	0.3281689	0.9294943	1.0497783	0.9344414
550	0.0000000	0.9993567	0.3550043	0.1294257	1.1622013	0.5335030	0.3289335	0.9514294	1.0540916	0.9434168
555	0.0000000	0.9878105	0.3440156	0.1312886	1.1490663	0.5411640	0.3255132	0.9142179	1.0785286	0.9689740
560	0.0000000	1.0097646	0.3647602	0.1279766	1.1583112	0.5428330	0.3481094	0.9511264	1.0951840	0.9654591
565	0.0000000	0.9658721	0.3640535	0.1320698	1.1641277	0.5257543	0.3372827	0.9893709	1.0757651	0.9918444
570	0.0000000	0.9251780	0.3669584	0.1313528	1.1805491	0.5422540	0.3436651	0.9661443	1.0808535	1.0075262
575	0.0000000	0.9352688	0.3637970	0.1165688	1.1483301	0.5817936	0.3471740	0.9608425	1.0395957	1.0144134
580	0.0000000	0.9809565	0.3551874	0.1240134	1.1305328	0.5769621	0.3651657	0.9286696	1.0747695	1.0501523
585	0.0000000	0.9434021	0.3674717	0.1352161	1.1565492	0.5500429	0.3653737	0.9474859	1.0439388	1.0584298
590	0.0000000	0.9284103	0.3620840	0.1360985	1.1524252	0.5436478	0.3491155	0.9513597	1.0710236	1.0502218
595	0.0000000	0.9406194	0.3349399	0.1430058	1.1725858	0.5584024	0.3568053	0.9630918	1.0720205	1.0798668
600	0.0000000	0.9186482	0.3374859	0.1443634	1.1509440	0.5669700	0.3435031	0.9912200	1.0850807	1.0822387
605	0.0000000	0.9095406	0.3374510	0.1430531	1.1517060	0.5855988	0.3411538	0.9904298	1.0916863	1.0731727
610	0.0000000	0.9016185	0.3360247	0.1447680	1.1268210	0.5827511	0.3481955	0.9454293	1.0868204	1.0435953
615	0.0000000	0.9191034	0.3325238	0.1465887	1.0813564	0.5892395	0.3351351	0.9840469	1.0401950	1.0430843
620	0.0000000	0.9356203	0.3386139	0.1396652	1.0547766	0.6045757	0.2976454	0.9819432	1.0531495	1.0173921
625	0.0000000	0.9265597	0.3466212	0.1380566	1.0482988	0.6477935	0.3013763	0.9811153	1.0322511	1.0136110
630	0.0000000	0.9482747	0.3413979	0.1270707	1.0327267	0.6476306	0.2999673	1.0199150	1.0480064	1.0044351
635	0.0000000	0.9831615	0.3714702	0.1097324	1.0519602	0.6592388	0.3055603	1.0446954	1.0247943	0.9812737
640	0.0000000	0.9568270	0.3720937	0.1208104	1.0447955	0.6818084	0.3020282	1.0083428	1.0218837	0.9955027
645	0.0000000	0.9388209	0.3346696	0.1213342	1.0866527	0.6992358	0.3005657	0.9892538	0.9782898	0.9991497
650	0.0000000	0.9515330	0.3188740	0.1152513	1.0969884	0.7012829	0.2820369	1.0092750	0.9643118	0.9674362
655	0.0000000	1.0385005	0.3154081	0.1237116	1.0778370	0.7284707	0.3010372	1.0201691	1.0057202	0.9803832
660	0.0000000	1.0070189	0.3212960	0.1247580	1.1041270	0.7061447	0.2998697	0.9959498	1.0076043	0.9977259
665	0.0000000	1.0303269	0.3257186	0.1066550	1.0470839	0.7327178	0.3033854	0.9989812	0.9650101	0.9825538
670	0.0000000	1.0364586	0.3235197	0.1070884	1.0203181	0.7047172	0.3088516	1.0049802	0.9643101	0.9988424
675	0.0000000	1.0072549	0.3295890	0.1059508	1.0453835	0.6712743	0.2937815	1.0165397	0.9606578	1.0021499
680	0.0000000	0.9853820	0.3223703	0.1111528	1.0054937	0.6661935	0.2780780	1.0362168	0.9536943	1.0060843
685	0.0000000	1.0037927	0.3178193	0.1078519	0.9918071	0.6677629	0.2833898	1.0348980	0.9369685	1.0065126
690	0.0000000	1.0265456	0.3306142	0.0977097	0.9782383	0.6569713	0.2625153	1.0565035	0.9471395	0.9861710
695	0.0000000	0.9878444	0.3281140	0.1098207	0.9670627	0.6814317	0.2713590	1.0577170	0.9703864	0.9814492
700	0.0000000	0.9874109	0.3546347	0.1064573	0.9733991	0.7012164	0.2832117	1.0462781	0.9813293	0.9977217
705	0.0000000	0.9988101	0.3398981	0.1167249	0.9752058	0.7055244	0.2801016	1.0462215	0.9736526	1.0253973
710	0.0000000	0.9872940	0.3426308	0.1243400	0.9943447	0.6994356	0.2863332	1.0729695	0.9616939	0.9728181
715	0.0000000	0.9765989	0.3680821	0.1286819	0.9774411	0.6792255	0.2783860	1.0883038	0.9580050	0.9507264
720	0.0000000	0.9968080	0.3706255	0.1238067	0.9457634	0.6744245	0.2797406	1.0756709	1.0338568	0.9887272
725	0.0000000	0.9611318	0.3734462	0.1326336	0.9523463	0.6673022	0.3132513	1.0672668	1.0191910	1.0182097
730	0.0000000	1.0024542	0.3864851	0.1364997	0.9796044	0.6556142	0.3010288	1.0760522	0.9849996	1.0050030
735	0.0000000	0.9435477	0.3734763	0.1357122	0.9880336	0.6847936	0.2817567	1.0657366	0.9670556	1.0361932
740	0.0000000	0.9416358	0.3946074	0.1474679	1.0231225	0.7017001	0.2755700	1.0738849	0.9708061	1.0090514
745	0.0000000	0.9279723	0.3943918	0.1495239	1.0040344	0.7295005	0.2599470	1.0311616	0.9626060	1.0608972
750	0.0000000	0.9698711	0.3895264	0.1398718	1.0076015	0.7149308	0.2459965	1.0136359	0.9358053	1.0740964
755	0.0000000	0.9494933	0.3872566	0.1535216	0.9975709	0.6932928	0.2493029	1.0098697	0.9239639	1.0337782
760	0.0000000	0.9099707	0.3823672	0.1568516	0.9841189	0.6860424	0.2481377	1.0126759	0.9140650	1.0511983
