"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1522442	0.9817864	0.3598629	0.1426661	1.0314076	0.7187646	0.2919598	0.9969346	0.9847922	0.9902361
5	0.0679133	1.0053094	0.3064644	0.1284933	0.9540282	0.6938928	0.2583440	0.9692916	1.1194050	0.9667384
10	0.0541178	0.9873307	0.2827162	0.1303567	0.9492258	0.6859575	0.2582855	0.9540557	1.0941584	0.9327205
15	0.0519193	0.9640019	0.2865794	0.1289632	0.9353727	0.7232627	0.2503392	0.9553264	1.0773755	0.8801479
20	0.0580288	0.9873841	0.2679278	0.1390500	0.9036890	0.7117782	0.2738906	0.9537574	1.0673909	0.8397640
25	0.0554809	0.9509714	0.2856137	0.1384138	0.9024842	0.6729443	0.2680825	0.9296416	1.0848420	0.8386587
30	0.0637603	0.9420973	0.2853908	0.1263858	0.8921483	0.6998930	0.2643235	0.9473805	1.0797870	0.8101558
35	0.0574198	0.9666068	0.2684277	0.1320957	0.8627877	0.7092463	0.2379879	0.9692638	1.0200634	0.7626610
40	0.0664371	0.9290977	0.2847983	0.1214258	0.8783742	0.7217741	0.2711788	0.9623965	1.0194504	0.7425572
45	0.0773423	0.9613027	0.2653483	0.1276724	0.8541901	0.7157129	0.2915350	0.9603840	1.0048229	0.7114627
50	0.0769037	1.0045595	0.2687171	0.1352456	0.8381061	0.7099861	0.2966658	0.9440151	0.9616280	0.6773004
55	0.0815863	1.0141874	0.2969252	0.1304440	0.8166419	0.7139333	0.2992002	0.9236954	0.9396320	0.6752510
60	0.0838176	1.0094897	0.2993870	0.1284313	0.8319454	0.7439304	0.3055772	0.9216466	0.9242045	0.6495724
65	0.0842269	1.0147799	0.2895637	0.1222825	0.8315965	0.7498931	0.3207684	0.9204467	0.9518213	0.6964634
70	0.0791546	0.9686963	0.2944553	0.1274559	0.8512384	0.7539230	0.3123092	0.8892698	0.9453894	0.6896590
75	0.0786010	0.9933386	0.2830562	0.1334909	0.8494979	0.7688634	0.3021380	0.8934612	0.9254297	0.6990752
80	0.0747994	0.9589809	0.2896217	0.1275977	0.8188791	0.7700939	0.2986344	0.8787218	0.9612410	0.6835546
85	0.0641107	0.9423477	0.2690750	0.1145922	0.8017354	0.7547270	0.3214518	0.8646613	0.9356373	0.6688646
90	0.0619174	0.9609577	0.2679183	0.1095872	0.7846542	0.7533984	0.3219991	0.8985927	0.9185839	0.6471578
95	0.0682067	0.9859001	0.2568071	0.1014043	0.7862943	0.7539014	0.3294175	0.8938065	0.8866633	0.6360002
100	0.0679955	0.9825662	0.2746509	0.1016337	0.8157283	0.7539897	0.3480740	0.9158238	0.9182099	0.6445878
105	0.0665216	0.9645593	0.2702189	0.0897842	0.8007576	0.7344845	0.3566183	0.9072413	0.9180440	0.6477706
110	0.0640353	0.9712454	0.2803360	0.0972606	0.7750911	0.7283154	0.3595288	0.9061191	0.9460227	0.6381363
115	0.0726272	0.9847473	0.2792507	0.0890553	0.7964780	0.7377001	0.3519511	0.9180113	0.9734962	0.6160191
120	0.0756201	0.9502814	0.2729911	0.0847626	0.8369777	0.7567148	0.3400553	0.9410742	0.9611818	0.6490302
125	0.0788645	0.9851892	0.2783891	0.0809289	0.8066389	0.7577915	0.3529268	0.9236133	0.9325983	0.6340321
130	0.0856818	0.9809718	0.2886867	0.0823180	0.8216399	0.7089127	0.3516977	0.9196427	0.9825011	0.6265998
135	0.0989008	0.9871582	0.2658202	0.0933445	0.8215329	0.7310252	0.3577409	0.8722655	1.0120573	0.6428119
140	0.1047965	0.9607214	0.2560438	0.0921794	0.8216019	0.7213319	0.3632088	0.8763809	0.9997143	0.6119334
145	0.1051137	0.9251456	0.2553857	0.1002966	0.8372830	0.7286560	0.3493952	0.8985114	0.9564427	0.5921797
150	0.1088384	0.9310740	0.2663703	0.1011287	0.8298048	0.7241514	0.3548854	0.8975639	0.9555989	0.5729805
155	0.0938333	0.9371827	0.2657652	0.1064486	0.8243082	0.7383578	0.3509369	0.9011591	0.9690380	0.5747211
160	0.0940383	0.9131336	0.2767377	0.1018342	0.8097614	0.7535627	0.3703866	0.8782646	0.9849199	0.5735761
165	0.0854479	0.9073348	0.2745555	0.1023047	0.8242046	0.7544906	0.3669708	0.8768534	0.9792587	0.6021221
170	0.0952547	0.9488142	0.2745177	0.0974040	0.8374181	0.7283919	0.3658889	0.8940321	0.9513750	0.6051441
175	0.0897444	0.9918039	0.2939847	0.1050818	0.8569394	0.7132895	0.3643350	0.8799088	0.9608235	0.6285670
180	0.0855463	0.9418599	0.2782570	0.1125880	0.8480646	0.7037261	0.3537489	0.8837568	0.9543967	0.6072053
185	0.0857838	0.9611395	0.2836635	0.1131854	0.8563673	0.7111653	0.3582636	0.8705181	0.9304708	0.6343556
190	0.0750571	0.9661265	0.2993506	0.1161110	0.8246710	0.6961887	0.3617086	0.8241211	0.9398175	0.6430235
195	0.0787490	0.9644502	0.3118220	0.1324305	0.8237919	0.6793504	0.3600890	0.8064961	0.9393816	0.6575245
200	0.0717844	1.0244525	0.3240311	0.1391087	0.8228641	0.6701791	0.3724261	0.8157929	0.9634910	0.6624010
205	0.0793507	1.0405018	0.3085445	0.1305531	0.8267704	0.6820783	0.3884683	0.8445005	0.9944909	0.6857666
210	0.0738302	1.0081010	0.3103545	0.1344750	0.8248252	0.6564791	0.4125620	0.8312889	0.9847465	0.6928503
215	0.0716835	0.9518183	0.3162692	0.1352249	0.8209201	0.6597959	0.3970937	0.8834337	1.0038308	0.6741575
220	0.0762442	0.9717362	0.3369999	0.1426012	0.8155713	0.6432583	0.4045785	0.8643022	1.0360386	0.6867967
225	0.0752079	0.9833424	0.3435455	0.1373217	0.7964308	0.6513325	0.3871932	0.8709464	1.0251958	0.6906803
230	0.0764081	0.9796468	0.3565406	0.1334774	0.8196727	0.6662171	0.4014054	0.8752292	1.0279148	0.6913325
235	0.0652459	1.0137704	0.3910204	0.1317528	0.8005805	0.6501090	0.3983100	0.9272423	1.0135356	0.6744948
240	0.0765123	1.0052828	0.3715823	0.1374753	0.8295640	0.6839034	0.3866600	0.9360262	0.9930730	0.6633349
245	0.0779266	0.9541897	0.3507536	0.1342592	0.8331693	0.7141896	0.3678258	0.8972269	0.9910323	0.6785792
250	0.0697256	0.9683642	0.3584426	0.1281351	0.8312499	0.7064612	0.3543055	0.8649733	1.0131586	0.6711555
255	0.0682275	0.9668493	0.3679705	0.1169892	0.8168890	0.7045575	0.3514678	0.9178320	1.0170255	0.6586420
260	0.0764637	0.9809079	0.3615608	0.1234421	0.8060459	0.7348743	0.3460511	0.8844052	0.9829356	0.6417825
265	0.0895615	1.0250227	0.3509438	0.1232933	0.8047358	0.7358233	0.3298898	0.8854495	0.9867748	0.6941347
270	0.0864473	1.0034764	0.3419551	0.1231652	0.8034160	0.7522326	0.3392697	0.8921435	0.9747882	0.6828080
275	0.0935596	1.0365876	0.3432369	0.1138500	0.7927164	0.7815593	0.3508532	0.8879191	1.0309009	0.6959361
280	0.0972052	1.0312133	0.3378933	0.1017701	0.7775903	0.7539744	0.3653100	0.8915583	0.9989516	0.6977814
285	0.0911544	1.0202815	0.3128412	0.0980064	0.7784951	0.7680521	0.3789245	0.9046435	0.9800974	0.6862047
290	0.0912486	1.0389002	0.3088713	0.0979536	0.7850523	0.7641551	0.3987859	0.9174044	0.9723319	0.6543179
295	0.0906590	1.0756946	0.3028572	0.1070835	0.8153328	0.7714024	0.3828888	0.8890390	0.9682617	0.6345179
300	0.0704612	1.0634836	0.2981262	0.1094961	0.7950731	0.7703175	0.3914269	0.8603522	0.9867804	0.6668045
305	0.0623258	1.0638382	0.3164544	0.1059162	0.8038500	0.7602862	0.3972061	0.8542437	0.9702003	0.6408891
310	0.0597748	1.0488050	0.3238340	0.0956420	0.8006977	0.7525840	0.4117995	0.8355521	1.0005179	0.6506312
315	0.0651939	1.0207253	0.3391450	0.0982301	0.7657546	0.7699451	0.3989043	0.8013150	1.0198401	0.6473735
320	0.0767281	1.0134323	0.3396040	0.1025732	0.7623887	0.7975846	0.4082767	0.7872226	0.9862941	0.6382613
325	0.0776950	1.0325984	0.3462391	0.0974982	0.7343802	0.7758276	0.3925163	0.8021143	0.9742333	0.6441088
330	0.0653398	1.0139426	0.3462190	0.0933139	0.7450013	0.7656561	0.3848394	0.7946971	0.9669500	0.6252944
335	0.0717517	1.0054583	0.3369319	0.0952273	0.7478417	0.7699295	0.3799922	0.8575349	1.0189597	0.6229414
340	0.0731461	1.0192109	0.3404323	0.0996758	0.7679546	0.7572890	0.3942106	0.8719767	1.0134759	0.6155785
345	0.0776816	1.0131069	0.3415062	0.1021004	0.7541702	0.7758984	0.4155079	0.8881458	1.0070477	0.6070553
350	0.0794459	1.0056912	0.3728633	0.1110078	0.7801876	0.7563740	0.4055872	0.8571692	1.0057225	0.6334815
355	0.0859942	0.9549497	0.3573612	0.1191338	0.7907146	0.7813307	0.4038027	0.8385522	1.0127577	0.6638329
360	0.0875852	0.9894935	0.3565125	0.1239748	0.7654855	0.7548654	0.3927759	0.8467723	0.9890606	0.6768316
365	0.0884577	1.0193151	0.3351938	0.1405821	0.7505490	0.7665585	0.3630983	0.8960454	0.9925413	0.6675993
370	0.0840241	1.0187267	0.3455526	0.1253218	0.7719690	0.7941870	0.3648290	0.9117288	0.9885140	0.6721271
375	0.0696151	1.0374497	0.3333286	0.1287243	0.7895348	0.7731495	0.3689629	0.9433133	0.9898983	0.6681110
380	0.0654223	1.0893957	0.3462222	0.1324630	0.8101587	0.7698933	0.3675999	0.9611841	0.9738794	0.6512856
385	0.0606274	1.0621708	0.3482153	0.1237882	0.8180369	0.7752465	0.3716261	0.9185429	0.9932004	0.6438490
390	0.0559472	1.0662254	0.3640469	0.1184222	0.8203688	0.7705673	0.3669810	0.9188351	0.9754908	0.6404998
395	0.0548411	1.0494501	0.3567387	0.1153704	0.7914649	0.7947543	0.3525515	0.9538946	0.9570613	0.6471661
400	0.0445623	1.0581659	0.3469186	0.1188035	0.7960390	0.7993534	0.3445715	0.9730833	0.9255751	0.6463463
405	0.0386645	1.0366199	0.3418928	0.1096264	0.7828928	0.8062470	0.3416407	0.9235046	0.9144519	0.6678297
410	0.0402210	1.0483937	0.3344592	0.1126101	0.7389484	0.7964742	0.3186456	0.8949190	0.9449850	0.6761924
415	0.0487945	1.0509470	0.3321559	0.1194602	0.7506559	0.8297531	0.3372760	0.9058787	0.9734722	0.6820554
420	0.0449359	1.0403463	0.3315298	0.1095824	0.7734056	0.8314395	0.3052487	0.8849138	0.9899924	0.7010710
425	0.0439608	1.0471187	0.3423059	0.1102544	0.7785696	0.8250575	0.3139221	0.9067718	0.9900116	0.6908090
430	0.0616029	1.0361364	0.3359551	0.1082613	0.8189522	0.8193803	0.3200979	0.9123494	0.9726989	0.6815302
435	0.0619632	1.0278318	0.3576085	0.1041354	0.7896419	0.8165161	0.3159899	0.8859238	0.9758080	0.6987830
440	0.0585986	1.0351997	0.3465925	0.0865270	0.7524999	0.8122845	0.3201165	0.9003050	0.9515968	0.7108605
445	0.0690945	1.0506891	0.3354135	0.1027045	0.7635230	0.8035426	0.3053077	0.9134461	0.9925615	0.7297716
450	0.0721143	1.0328937	0.3390527	0.1023335	0.7786426	0.7629801	0.3004572	0.8965502	0.9535360	0.7475174
455	0.0622571	0.9913552	0.3215680	0.1058128	0.7711017	0.7812936	0.3113453	0.9154017	0.9191818	0.7312227
460	0.0649294	1.0453904	0.3224769	0.0978894	0.7558224	0.7819918	0.2980524	0.9319223	0.9213287	0.7141400
465	0.0610441	1.0547685	0.3175720	0.0905764	0.7406072	0.7717935	0.2904620	0.8811478	0.9346460	0.7320013
470	0.0687290	1.0612601	0.3422094	0.0831156	0.7417448	0.7745173	0.2694771	0.8660497	0.9539332	0.7259251
475	0.0691673	1.0133966	0.3480469	0.0914627	0.7555483	0.7579973	0.2552795	0.8369637	0.9536700	0.7386652
480	0.0767615	1.0289254	0.3335731	0.0910936	0.7554730	0.7772582	0.2579361	0.8380061	0.9765579	0.7322935
485	0.0769937	1.0309633	0.3177386	0.1116911	0.7676409	0.7473218	0.2419866	0.8515133	0.9765977	0.7427670
490	0.0726329	1.0760282	0.3237305	0.1098055	0.7465171	0.7594086	0.2397214	0.8563156	0.9738238	0.7068852
495	0.0719767	1.0556318	0.3146510	0.1092988	0.7358546	0.7667440	0.2516958	0.8827564	0.9578787	0.7008508
500	0.0750969	1.0807984	0.3127170	0.1111120	0.7470285	0.7771928	0.2561696	0.8522273	0.9442320	0.6760023
505	0.0794367	1.0683638	0.3052275	0.1155562	0.7411881	0.7879829	0.2514914	0.8367312	0.9496929	0.6796647
510	0.0903502	1.0547114	0.3129385	0.1145108	0.7399386	0.8077765	0.2438668	0.8425741	0.9368087	0.6684031
515	0.0810225	1.0440432	0.2942830	0.1018227	0.7501046	0.7630679	0.2768352	0.8381919	0.9399667	0.6303243
520	0.0724818	1.0298078	0.3148847	0.0914239	0.7695367	0.7584028	0.2725703	0.8734857	1.0010424	0.6316765
525	0.0746558	1.0288506	0.3089781	0.0837106	0.7806768	0.7647078	0.2727447	0.9139214	0.9917252	0.6329537
530	0.0789703	1.0218367	0.3300354	0.0909409	0.7643452	0.7866943	0.2844985	0.8590236	0.9705015	0.6623087
535	0.0809128	1.0034754	0.3496897	0.0961227	0.7521656	0.7494868	0.2863976	0.8704031	0.9416317	0.6622319
540	0.0861192	1.0090233	0.3765781	0.0992737	0.7808583	0.7738521	0.2891309	0.8783304	0.9484533	0.6444535
545	0.0805085	0.9862515	0.3608122	0.1024889	0.8064100	0.7438552	0.2866996	0.8949989	0.9759831	0.6578813
550	0.0828614	0.9948967	0.3595570	0.1030911	0.7933822	0.7591236	0.2912324	0.8879300	0.9975496	0.6841327
555	0.0777642	1.0101905	0.3458239	0.1328484	0.8197436	0.7353128	0.2716696	0.8854281	0.9912568	0.7022517
560	0.0764174	0.9753368	0.3596194	0.1301038	0.8052733	0.7328604	0.2814198	0.9068502	0.9703705	0.6775883
565	0.0620611	0.9412935	0.3301774	0.1112140	0.8033118	0.7225062	0.2996011	0.8952480	0.9828187	0.6448753
570	0.0557832	0.9447231	0.3171438	0.1241754	0.8075653	0.7482622	0.3090506	0.8688403	0.9845769	0.6617264
575	0.0596100	0.9821508	0.3196316	0.1219940	0.7804901	0.7880914	0.2774526	0.8626561	1.0231106	0.6621703
580	0.0594949	0.9934685	0.3243476	0.1259198	0.7872221	0.7957057	0.2968213	0.8733554	1.0626932	0.6386060
585	0.0528817	0.9672222	0.3113524	0.1379035	0.7936898	0.7852191	0.2987117	0.8569834	1.0742675	0.6388369
590	0.0504283	0.9532762	0.3272162	0.1350917	0.8256763	0.7557468	0.3096297	0.8544811	1.0383930	0.6158171
595	0.0522924	0.9793550	0.3459164	0.1352760	0.8345788	0.7587799	0.3132777	0.8372079	1.0505161	0.6035649
600	0.0512871	0.9690309	0.3362553	0.1222003	0.8450605	0.7162996	0.3264787	0.8161490	1.0675475	0.6029964
605	0.0496764	0.9403861	0.3441121	0.1239445	0.8242652	0.7041350	0.3377079	0.8081975	1.0702808	0.6113755
610	0.0553716	0.9006688	0.3392677	0.1313893	0.8240209	0.6780427	0.3274571	0.7484057	1.0200568	0.6236460
615	0.0684865	0.8887989	0.3458317	0.1238171	0.8194143	0.6783285	0.3286649	0.7483965	0.9905427	0.6277694
620	0.0702463	0.8729148	0.3400106	0.1177972	0.8174945	0.6540727	0.3053823	0.7592824	0.9976492	0.6172571
625	0.0727618	0.9199024	0.3460798	0.1190002	0.8135097	0.6658830	0.2943503	0.7801326	0.9676096	0.5908125
630	0.0691074	0.9227625	0.3272583	0.1245672	0.8123240	0.6513734	0.3221557	0.7898909	0.9518116	0.6046744
635	0.0643425	0.9348880	0.3151492	0.1230271	0.8194392	0.6794755	0.3373634	0.8051368	0.9634916	0.6355832
640	0.0697422	0.9211348	0.2993646	0.1087884	0.8341418	0.6851332	0.3301393	0.8063381	0.9705078	0.6349138
645	0.0666713	0.9226587	0.3114913	0.1010807	0.8282168	0.7095911	0.3278853	0.8047884	1.0085100	0.6668288
650	0.0581526	0.9237465	0.3230042	0.0913875	0.8068166	0.7501935	0.3069490	0.7970789	1.0401661	0.6404814
655	0.0501898	0.9509418	0.3159159	0.0856631	0.7962108	0.7545543	0.3125030	0.8029072	1.0598492	0.6321512
660	0.0657144	0.9551328	0.3212593	0.0899102	0.8000852	0.7740376	0.3035888	0.7920783	1.1109793	0.6172534
665	0.0787831	0.9713801	0.3237793	0.0886687	0.7972938	0.7615218	0.3078408	0.8121481	1.0998294	0.6331602
670	0.0903790	0.9759528	0.3220729	0.0880690	0.7811897	0.7455275	0.3267635	0.8277761	1.1160412	0.6244312
675	0.0916477	1.0201951	0.3074770	0.0870791	0.7474418	0.7224041	0.3295468	0.8320324	1.1036703	0.6276185
680	0.0842672	1.0135725	0.3016839	0.0953013	0.7494359	0.7240191	0.3471684	0.8374025	1.0407850	0.6085427
685	0.0918680	0.9870979	0.3114530	0.1032714	0.7215590	0.7168766	0.3627757	0.8856951	1.0449786	0.6220669
690	0.0901876	1.0216286	0.3239704	0.0957578	0.7018086	0.7158114	0.3946108	0.8663986	1.0686558	0.6160044
695	0.0795314	1.0241046	0.3165634	0.0941714	0.6931631	0.7114538	0.4150898	0.8768965	1.0706270	0.6048912
700	0.0788970	1.0180015	0.3096680	0.1004059	0.7142378	0.7323087	0.4010759	0.8685242	1.1021616	0.6198406
705	0.0702387	1.0314608	0.3206125	0.0905074	0.7001396	0.7404752	0.4124384	0.8301344	1.0992209	0.6019313
710	0.0729632	1.0513852	0.3035320	0.0913808	0.7160496	0.7638847	0.4356992	0.8455265	1.0581219	0.6086721
715	0.0870646	1.0707107	0.3417333	0.0822000	0.7337264	0.7555903	0.4096867	0.8358486	1.0241924	0.6090919
720	0.0889984	1.0677784	0.3378285	0.0817564	0.7551679	0.7600839	0.4011025	0.8402464	1.0093177	0.6255273
725	0.0894984	1.0174042	0.3459814	0.0838522	0.7542417	0.7384867	0.4079280	0.8816533	0.9864804	0.6226806
730	0.0859033	1.0562326	0.3263816	0.0896203	0.7667434	0.7442347	0.3966373	0.8892186	0.9831162	0.6291987
735	0.0935472	1.0004747	0.3259460	0.0964236	0.7543942	0.7427543	0.4002250	0.8983184	0.9982983	0.6270256
740	0.0817906	0.9645455	0.3007310	0.1026916	0.7569316	0.7619982	0.4010207	0.8634431	1.0158177	0.6289222
745	0.0936712	0.9723819	0.3092306	0.0905124	0.7476083	0.7693617	0.4219404	0.8480227	0.9965419	0.5984525
750	0.0971536	0.9640320	0.2818927	0.0953052	0.7699215	0.7492043	0.4372326	0.8979775	1.0049782	0.6214240
755	0.1015350	0.9522443	0.2859982	0.1090867	0.7916857	0.7372640	0.4300061	0.9071380	0.9587131	0.6045631
760	0.1018906	0.9207624	0.2873961	0.1118282	0.8160601	0.7179684	0.4259625	0.8950451	0.9346808	0.6068196
