"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1899800	0.8787336	0.4092286	0.1464200	1.0435471	0.6874192	0.2789258	0.9459113	0.9604924	0.9367242
5	0.1178301	1.0317518	0.3397502	0.1573497	1.0598549	0.7680674	0.2639048	1.0388651	0.9277690	1.0346390
10	0.1073433	1.0098286	0.3286461	0.1464471	1.0193258	0.7468641	0.2341896	1.0525618	0.9508399	1.0326321
15	0.0964382	0.9887799	0.3193374	0.1429328	1.0392996	0.7287931	0.2507715	1.0232216	0.9513847	1.0191707
20	0.0963687	1.0130393	0.3285485	0.1479485	1.0640013	0.7380214	0.2352066	0.9927248	0.9615609	0.9982550
25	0.0937724	1.0250039	0.3268562	0.1504313	1.0531199	0.7580417	0.2561849	0.9780920	0.9879770	0.9394536
30	0.0968632	1.0114530	0.3158331	0.1325783	1.0141619	0.7430030	0.2677143	0.9892073	0.9706360	0.8809715
35	0.1129323	1.0126781	0.3242488	0.1221716	1.0512271	0.7317340	0.2536607	0.9397083	1.0094976	0.8120595
40	0.1083552	0.9440183	0.3321786	0.1259393	0.9667851	0.7276613	0.2593098	0.8857593	0.9981164	0.7525094
45	0.1062826	0.9441330	0.3218033	0.1239333	0.9817596	0.7563095	0.2359594	0.8639974	0.9616142	0.7358235
50	0.1000777	0.9330813	0.3284636	0.1128911	0.9965469	0.7459303	0.2588129	0.8045288	0.9229384	0.7085147
55	0.0965279	0.9635242	0.3545004	0.1125408	1.0113775	0.7152140	0.2881883	0.7553288	0.9198348	0.6479373
60	0.0997787	0.9456915	0.3802900	0.1201029	1.0777863	0.7258715	0.2864239	0.7344885	0.9278157	0.6118668
65	0.0964455	0.9215462	0.3876093	0.1209798	1.0518647	0.7343463	0.3135560	0.7186804	0.9170842	0.5804606
70	0.1000286	0.9497768	0.3988271	0.1167204	1.0628943	0.7532737	0.3204705	0.6895707	0.9123723	0.5531118
75	0.0938994	0.9735802	0.4021562	0.1066145	1.0888579	0.7580324	0.3532989	0.6668797	0.9498523	0.5143606
80	0.0939682	0.9714118	0.3908022	0.1065748	1.0440132	0.7835038	0.3382440	0.6433038	1.0049389	0.4643418
85	0.1028011	0.9851279	0.3948902	0.1062305	1.0442414	0.7958114	0.3434095	0.6230344	1.0203675	0.4074901
90	0.0910989	0.9764871	0.3821483	0.1197514	0.9791318	0.7700238	0.3296501	0.5804910	1.0080604	0.3696368
95	0.0941521	0.9972442	0.3762438	0.1151641	0.9502301	0.7551122	0.3671378	0.5545197	1.0049316	0.3589718
100	0.1003057	1.0199257	0.3916389	0.1161058	0.9427998	0.7611372	0.4372318	0.5788181	1.0279307	0.3345997
105	0.1088864	1.0423648	0.4084955	0.1127761	0.9727699	0.7585951	0.4163595	0.5640802	1.0332053	0.3073278
110	0.1240510	1.0892723	0.3876221	0.1024049	0.9096487	0.7780039	0.4097596	0.5475062	1.0592611	0.3055915
115	0.1333821	1.0500537	0.3662396	0.1010251	0.9919128	0.7746664	0.4733869	0.5119967	1.0882971	0.2811173
120	0.1307063	1.0208636	0.3385892	0.1077454	1.0564063	0.7889352	0.4836563	0.4814593	1.0721313	0.2800880
125	0.1267021	0.9814284	0.3547429	0.1201589	1.1017777	0.7973223	0.4623104	0.5078185	1.0064558	0.2461273
130	0.1244343	0.9850504	0.3375748	0.1106441	1.0610758	0.7769924	0.4641906	0.4937235	1.0317979	0.2261149
135	0.1383319	0.9959808	0.3386337	0.1061150	1.0445205	0.7835618	0.4773767	0.4808594	1.0039759	0.2297886
140	0.1278041	0.9766971	0.3550624	0.1149932	1.0267933	0.7734157	0.5234743	0.4709927	1.0323002	0.1983860
145	0.1197893	0.9468244	0.3596711	0.1025764	1.0134393	0.7512991	0.6060593	0.4470162	0.9917988	0.1736029
150	0.1184137	0.9432888	0.3582760	0.0979387	1.0196530	0.7311967	0.6669288	0.4733642	0.9376483	0.1558274
155	0.1227729	0.9315210	0.3436227	0.0977373	0.9818100	0.7249245	0.6473538	0.4667469	0.9141192	0.1353723
160	0.1204022	0.9432787	0.3365486	0.1076646	0.9399011	0.7088217	0.6662669	0.4766210	0.8989274	0.1325338
165	0.1217429	0.9414670	0.3540596	0.1125349	0.9322202	0.7248793	0.7354917	0.4660568	0.9607062	0.1158205
170	0.1278442	0.9214953	0.3369942	0.1132452	0.9098588	0.6856403	0.8327533	0.4595293	0.9550016	0.1084303
