"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1899800	0.8787336	0.4092286	0.1464200	1.0435471	0.6874192	0.2789258	0.9459113	0.9604924	0.9367242
5	0.1533283	1.0719514	0.3189351	0.1517922	1.0527435	0.7454498	0.2381526	0.9855536	1.0882509	0.8386031
10	0.1535443	1.0832386	0.3171459	0.1373216	1.0262460	0.7353210	0.2351946	0.9063956	1.0771984	0.8296825
15	0.1499167	1.0838374	0.3069180	0.1378861	1.0393671	0.7226844	0.2634082	0.8792545	1.0664491	0.8331639
20	0.1501257	1.0663491	0.2674088	0.1376783	1.0685586	0.7071043	0.2801820	0.8338866	1.0642111	0.8579356
25	0.1366748	1.1017860	0.2537345	0.1542645	1.1110375	0.7078323	0.2367922	0.7666193	1.0204840	0.8695448
30	0.1352984	1.1121061	0.2369614	0.1512545	1.0889082	0.7099685	0.2802867	0.7149612	0.9869184	0.8364809
35	0.1290401	1.0964096	0.2225720	0.1464450	1.0851894	0.6951901	0.2540240	0.6604660	0.9706904	0.8998270
40	0.1263097	1.1137798	0.1959389	0.1557374	1.1130217	0.6937639	0.2619248	0.6161328	0.9975645	0.8859633
45	0.1184443	1.0977639	0.1873590	0.1369125	1.0942870	0.6810661	0.2749257	0.5970547	1.0099995	0.9030517
50	0.1389266	1.0311479	0.1726354	0.1404445	1.0624494	0.6771065	0.3053750	0.5417523	1.0014105	0.9507563
55	0.1477499	1.0019060	0.1691185	0.1367171	1.0911731	0.6348638	0.3083968	0.4949621	0.9585436	0.9627801
60	0.1517437	0.9783161	0.1513862	0.1358366	1.0972674	0.6360530	0.3383409	0.4699512	0.9537337	0.9654401
65	0.1531638	0.9676629	0.1607774	0.1319175	1.0744706	0.6503653	0.3492375	0.4164648	0.9651050	0.9603291
70	0.1336529	0.9565993	0.1442494	0.1281166	1.0309903	0.6345487	0.3269886	0.3919861	0.9495334	1.0096932
75	0.1172393	0.9426559	0.1319202	0.1267150	1.0740799	0.5924596	0.3454355	0.3825113	0.9987997	0.9940815
80	0.1159669	0.9910916	0.1091148	0.1134116	1.0736759	0.5521433	0.3399277	0.3434927	1.0390658	1.0138378
85	0.1189058	0.9919883	0.0887544	0.1139097	1.0707396	0.5183501	0.3486491	0.3053227	1.0353848	1.0495859
90	0.1151103	0.9743092	0.0861089	0.1100098	1.0280113	0.5170481	0.3308276	0.2775896	1.0534227	1.0637284
95	0.1218672	0.9964339	0.0827189	0.1041435	1.0010622	0.4971765	0.3314752	0.2284326	1.0350404	1.0058252
100	0.1299492	1.0110186	0.0698992	0.1075905	1.0101986	0.4618782	0.3150399	0.2050677	1.0536194	1.0124146
105	0.1293016	1.0037404	0.0575657	0.1086983	1.0093188	0.4096644	0.3323242	0.1753708	1.0525787	1.0090104
110	0.1100362	1.0439965	0.0514534	0.1092188	1.0289632	0.3993410	0.3282169	0.1651893	0.9927223	1.0233305
115	0.1118564	1.0450799	0.0447871	0.1116990	1.0590165	0.3913122	0.3411861	0.1468694	0.9512333	1.0302209
120	0.1001884	0.9886999	0.0427883	0.1057175	1.0370380	0.3805669	0.3428453	0.1338876	0.9470133	1.0321402
125	0.1061751	0.9895319	0.0329737	0.1071007	1.0801056	0.3638924	0.3614886	0.1305810	0.9236092	1.0602468
130	0.0976106	0.9491135	0.0284148	0.0991747	1.1114657	0.3504689	0.3686252	0.1143330	0.8632766	1.0645340
135	0.0960003	0.9381956	0.0313508	0.0958949	1.0778267	0.3286003	0.3652264	0.1013805	0.8787925	1.0752461
140	0.0908678	0.9515880	0.0318387	0.1082155	1.0964612	0.3005732	0.3508515	0.0859428	0.8755103	1.0250179
145	0.0906731	0.9707923	0.0224581	0.1066989	1.1218032	0.3204755	0.3294924	0.0816503	0.8941295	0.9904882
150	0.0920500	0.9945660	0.0201616	0.1235296	1.1414533	0.2961631	0.3339221	0.0604295	0.8855640	0.9697003
155	0.1033618	1.0037998	0.0196764	0.1224776	1.1400921	0.2710966	0.3140099	0.0509615	0.9265207	0.9845687
160	0.1048079	1.0513289	0.0254969	0.1258048	1.1360957	0.2459648	0.3221391	0.0452993	0.9247073	0.9671954
165	0.1039204	1.0598899	0.0252062	0.1291574	1.0947806	0.2263700	0.2930797	0.0446776	0.9396106	0.9941916
170	0.1088854	1.0648804	0.0266258	0.1404138	1.0578991	0.2042328	0.3330247	0.0403347	0.9453034	0.9410094
