"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1899800	0.8787336	0.4092286	0.1464200	1.0435471	0.6874192	0.2789258	0.9459113	0.9604924	0.9367242
5	0.1232809	1.0005413	0.3681705	0.1587862	1.0691817	0.7864189	0.2219018	0.9707648	0.9466188	0.8400510
10	0.1306518	0.9790518	0.3600947	0.1676755	1.0933889	0.7918201	0.2364412	0.9695198	0.9711349	0.8881105
15	0.1369223	1.0250466	0.3345658	0.1468004	1.0599592	0.7395135	0.2668159	0.9630803	0.9476327	0.9024282
20	0.1282618	1.0789047	0.3239998	0.1322466	1.0556868	0.7489934	0.2372852	1.0117281	0.9633630	0.9200010
25	0.1420913	1.0650753	0.3345420	0.1240842	1.0168420	0.7183442	0.2491466	1.0096051	0.9585615	0.9520049
30	0.1317178	1.0250502	0.3511486	0.1374764	0.9712033	0.6922510	0.2421838	1.0249072	0.9497794	0.9554947
35	0.1292525	1.0248627	0.3304100	0.1372262	0.9740824	0.6942683	0.2505642	1.0318536	0.8895683	0.9431968
40	0.1334235	0.9974652	0.3194190	0.1394070	0.9676730	0.6804638	0.2821370	0.9935284	0.8886703	0.9308039
45	0.1287069	0.9984086	0.3114867	0.1348541	0.9697836	0.6977190	0.3060022	1.0081129	0.8641987	0.9134358
50	0.1362301	1.0445497	0.3183569	0.1285006	0.9536330	0.6977861	0.2865250	0.9918772	0.8775641	0.9128607
55	0.1230508	1.0293987	0.2958186	0.1255238	0.9149179	0.6792149	0.2588030	0.9805668	0.8733117	0.9190143
60	0.1304420	1.0016714	0.2979831	0.1308683	0.8899476	0.6652011	0.2534924	0.9846626	0.9115497	0.9406850
65	0.1338318	1.0355485	0.3163402	0.1312514	0.9505722	0.6674329	0.2856685	1.0220069	0.9228059	0.9394033
70	0.1421349	1.0145438	0.2964270	0.1231321	0.9681896	0.6643747	0.2738060	1.0022007	0.9405619	0.9212441
75	0.1343855	1.0381844	0.2913222	0.1207879	0.9752004	0.6813820	0.2578328	1.0023428	0.9095208	0.9156535
80	0.1338900	1.0467372	0.2996103	0.1195313	0.9861264	0.6964694	0.2656211	0.9809489	0.9082145	0.9107126
85	0.1288754	1.0716476	0.2849294	0.1244625	0.9685144	0.6551275	0.2704879	1.0076822	0.9412789	0.9127583
90	0.1206083	1.0392280	0.2979528	0.1237764	0.9830109	0.6701888	0.2608187	0.9645907	0.9386266	0.8783790
95	0.1310315	1.0346640	0.2973509	0.1297656	1.0212110	0.6799536	0.2734490	0.9739500	0.9555643	0.8909650
100	0.1263987	1.0048575	0.2762318	0.1445038	1.0355781	0.7659532	0.2297044	0.9716640	0.9545807	0.9348024
105	0.1106102	1.0476808	0.2930267	0.1419539	1.0034273	0.7570678	0.2915377	0.9576166	0.9342529	0.9249075
110	0.0972532	1.0250246	0.3000914	0.1459990	1.0193030	0.7337644	0.2841509	0.9770777	0.9343389	0.9804097
115	0.1046742	0.9936041	0.2925272	0.1375047	1.0387339	0.7330742	0.3126050	1.0104564	0.9496187	0.9033785
120	0.1014781	0.9408295	0.2882987	0.1463054	1.0888113	0.7015149	0.3227948	1.0439980	0.9516267	0.9070009
125	0.0991388	0.9342600	0.2802322	0.1389966	1.0927915	0.7220090	0.3110733	1.0326001	0.9885392	0.9563625
130	0.0976715	0.9802568	0.2633257	0.1349746	1.0657463	0.7333316	0.3251063	1.0500054	1.0020213	1.0280344
135	0.0950283	0.9516906	0.2942162	0.1393645	1.0900834	0.7564517	0.3042793	0.9725582	0.9968376	1.0568036
140	0.0964526	0.9671598	0.2911921	0.1404274	1.0209579	0.7675700	0.3199625	0.9732099	1.0062294	1.0400168
145	0.0946805	0.9489570	0.3068432	0.1398144	1.0423223	0.7767403	0.3621789	0.9721879	1.0154893	1.0301176
150	0.0913650	0.9601855	0.3134322	0.1364337	1.0372257	0.7484605	0.3185902	0.9679493	1.0460800	1.0371476
155	0.0776464	0.9597700	0.3197483	0.1462351	1.0867108	0.7335795	0.3297545	0.9712201	1.0838608	0.9999497
160	0.0871884	0.9470195	0.3171510	0.1402397	1.0626162	0.7308939	0.3131764	0.9871084	1.0533259	1.0226869
165	0.0962406	0.9192306	0.2950633	0.1624163	1.0490300	0.7754588	0.2813385	0.9954897	1.0135200	1.0408970
170	0.0920496	0.9147891	0.3448526	0.1611169	1.0122433	0.7769942	0.2894905	0.9637618	0.9859756	1.0333070
