"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1899800	0.8787336	0.4092286	0.1464200	1.0435471	0.6874192	0.2789258	0.9459113	0.9604924	0.9367242
5	0.1361082	1.0016686	0.3405244	0.1529289	1.0050995	0.7019386	0.2502900	0.9345307	1.0040261	0.9669489
10	0.1556991	1.0325305	0.3458624	0.1564993	1.0046513	0.6959145	0.2589235	0.9064555	0.9922687	0.9748043
15	0.1433885	1.0410947	0.3422446	0.1603619	1.0054211	0.6621656	0.2618200	0.9220681	1.0192788	0.9842830
20	0.1252508	0.9972694	0.3427336	0.1622340	0.9966664	0.6551134	0.2529064	0.9684563	1.0179363	1.0304269
25	0.1319815	1.0039101	0.3374253	0.1676809	0.9664025	0.6591381	0.2327759	0.9639184	0.9942709	1.0870235
30	0.1112868	0.9348763	0.3443077	0.1682038	0.9721149	0.6485078	0.2567817	0.9586543	0.9726281	1.0924107
35	0.0958731	0.9394849	0.3403493	0.1611427	0.9714111	0.6391226	0.2360760	0.9891863	1.0064233	1.0735981
40	0.0834069	0.9340417	0.3308629	0.1563654	0.9791978	0.6554173	0.2340344	1.0332835	1.0050855	1.0932913
45	0.0807954	0.9082326	0.3292834	0.1625967	0.9634441	0.6390377	0.2194733	1.0323590	1.0060189	1.0720361
50	0.0746049	0.9208888	0.3409051	0.1624208	0.9227667	0.6237198	0.2475835	1.0564431	1.0392248	1.0438642
55	0.0601997	0.9524931	0.3239797	0.1688428	0.9355768	0.6208284	0.2675685	1.0238805	1.0113553	1.0347918
60	0.0560724	1.0028652	0.3167320	0.1587882	0.9394064	0.6127533	0.2396125	1.0101921	1.0369224	1.0163464
65	0.0589449	1.0318831	0.2852873	0.1641347	0.9885066	0.6301113	0.2546723	1.0310259	1.0525763	1.0942477
70	0.0582603	1.0018070	0.3334911	0.1673176	0.9830009	0.6348646	0.2468991	0.9815284	1.0319835	1.0584881
75	0.0470453	1.0148695	0.3305919	0.1596268	0.9689035	0.6385694	0.2406711	1.0109857	1.0285758	1.0604167
80	0.0465802	1.0082828	0.3177734	0.1585089	0.9451805	0.6399074	0.2137769	1.0176987	1.0375695	1.0852614
85	0.0502604	1.0003007	0.3221623	0.1681315	0.9317970	0.6346608	0.2150947	1.0187338	1.0488430	1.0876281
90	0.0398221	0.9767222	0.2862742	0.1532523	0.9200053	0.6774572	0.1985883	0.9982164	1.0812062	1.0422268
95	0.0399299	0.9791987	0.2532182	0.1468673	0.9231769	0.6964194	0.2183121	0.9822126	1.0700374	1.0448103
100	0.0381346	0.9916861	0.2594446	0.1550388	0.9730815	0.6855582	0.2275326	0.9687720	1.0568852	1.0132289
105	0.0356038	0.9821568	0.2614879	0.1488583	0.9579445	0.6401805	0.2520108	0.9418871	1.0786573	0.9617609
110	0.0303020	0.9841889	0.2697917	0.1315821	0.9548630	0.6497745	0.2608953	0.9539888	1.0529146	0.9821607
115	0.0272522	1.0075492	0.2732733	0.1274271	0.9981343	0.6861338	0.2638872	0.9556407	1.0401310	0.9687235
120	0.0234178	0.9946772	0.2856046	0.1270365	1.0287781	0.6978191	0.2763833	0.9567618	0.9919933	0.9504073
125	0.0198671	0.9475350	0.3002375	0.1380934	1.0663814	0.6764661	0.2900979	0.9675749	1.0139031	0.9159578
130	0.0178942	0.9391843	0.3060242	0.1356626	1.0742959	0.6544331	0.2794417	0.9893506	1.0153345	0.9654272
135	0.0188726	0.9153728	0.3106785	0.1425659	1.0593906	0.6911645	0.3111679	0.9602075	1.0029087	0.9443427
140	0.0172420	0.9468197	0.3024751	0.1463570	1.1137958	0.6840858	0.2388074	0.9763550	1.0291716	0.9639259
145	0.0107225	0.9818898	0.3118915	0.1357816	1.0986209	0.6944958	0.2151570	0.9788592	1.0657666	0.9876381
150	0.0097545	1.0281787	0.3303623	0.1397845	1.0220433	0.6364223	0.2065871	0.9482544	1.0959850	1.0056919
155	0.0080790	1.0413344	0.3334055	0.1363816	1.0489146	0.6244272	0.1935509	0.9866316	1.0978965	0.9568140
160	0.0074239	1.0226307	0.3490862	0.1290374	1.0908081	0.6153672	0.1867530	1.0042790	1.1253165	0.9670525
165	0.0048148	0.9885933	0.3514659	0.1270756	1.0497399	0.6419637	0.1823809	0.9745050	1.1177930	0.9675869
170	0.0043241	1.0244951	0.3550218	0.1116889	1.0552931	0.6251563	0.1692966	1.0268432	1.0790329	0.9596147
