"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1899800	0.8787336	0.4092286	0.1464200	1.0435471	0.6874192	0.2789258	0.9459113	0.9604924	0.9367242
5	0.0814656	1.0630538	0.3739073	0.1277496	0.9563209	0.6661025	0.2850653	1.0010482	1.0493724	0.9722864
10	0.0694508	1.0481992	0.3632417	0.1361612	0.9951015	0.7008958	0.2803517	0.9734679	1.1287545	0.9921121
15	0.0675911	1.0072206	0.3517452	0.1402195	0.9847144	0.7290686	0.2988189	1.0124339	1.0938493	0.9600446
20	0.0606121	1.0509148	0.3381037	0.1371452	0.9276565	0.7363276	0.2905410	1.0085456	1.0581280	0.9445020
25	0.0574061	0.9962432	0.3195330	0.1374668	0.8620493	0.7457949	0.2501248	1.0040416	1.0738357	0.9546592
30	0.0762021	0.9801609	0.3235358	0.1387428	0.8721472	0.7412737	0.2599062	0.9692677	1.0865965	0.9509742
35	0.0780879	0.9444026	0.3279504	0.1317452	0.8517649	0.7079730	0.2727440	0.9583667	1.1249757	0.9243454
40	0.0787422	0.9067382	0.3249913	0.1263184	0.8405666	0.7409962	0.2343278	1.0039043	1.1137188	0.9137344
45	0.0826456	0.9507410	0.3398921	0.1275138	0.8864634	0.7359329	0.2345232	1.0114235	1.1015312	0.8465462
50	0.0889607	0.9857509	0.3195142	0.1348091	0.8868601	0.7172135	0.2434924	1.0006681	1.0974180	0.7950349
55	0.0793651	0.9999675	0.3091570	0.1227380	0.8811289	0.7035019	0.2657897	1.0265478	1.1348569	0.8046242
60	0.0731394	0.9959096	0.3287194	0.1204515	0.8617766	0.6722536	0.2884066	1.0156343	1.0932797	0.8023179
65	0.0709803	0.9993721	0.3277983	0.1230958	0.8078844	0.6684341	0.3258236	1.0058598	1.0458020	0.7513920
70	0.0698735	1.0203965	0.3343410	0.1315459	0.8510691	0.6555533	0.2707211	1.0175153	1.0338332	0.7235446
75	0.0610715	0.9965707	0.3272593	0.1435514	0.8084944	0.6602851	0.2960330	0.9817123	0.9758066	0.6988567
80	0.0647294	0.9881825	0.3339271	0.1379283	0.7961035	0.6652145	0.2901178	0.9619450	0.9883032	0.7057072
85	0.0630358	0.9664423	0.3439794	0.1247313	0.8073671	0.6818442	0.2859600	0.9722726	0.9877151	0.6992048
90	0.0610563	0.9959161	0.3544192	0.1310951	0.7953710	0.7116326	0.2782720	0.9316912	0.9408268	0.7243765
95	0.0569690	1.0098172	0.3332240	0.1297510	0.8017821	0.6831899	0.2786057	0.9148029	0.9360291	0.7530239
100	0.0637004	1.0432748	0.3129471	0.1195699	0.7885431	0.7098164	0.3144288	0.9087430	0.9593926	0.8012164
105	0.0690745	1.0357321	0.3079344	0.1145378	0.8336220	0.7252807	0.3423659	0.8856995	0.9259926	0.7607980
110	0.0686459	1.0507464	0.3071433	0.1160167	0.8518804	0.7463909	0.3302274	0.8937161	0.9184109	0.7644998
115	0.0693172	1.0912723	0.2997659	0.1131382	0.8630028	0.7643385	0.3434401	0.8832115	0.9530648	0.7477852
120	0.0707985	1.0526460	0.3084321	0.1085874	0.8478161	0.7600860	0.3382297	0.8649573	0.9594707	0.7405612
125	0.0888835	1.0428187	0.2995103	0.1102444	0.8810323	0.7911165	0.3039338	0.8694033	0.9616030	0.7057939
130	0.0919582	1.0155225	0.3137176	0.1063799	0.9002060	0.8050512	0.3149015	0.8903316	0.9628730	0.6946330
135	0.0953969	1.0621237	0.3048323	0.1002132	0.8681802	0.7772608	0.3100364	0.8382366	0.9463438	0.6777105
140	0.0909454	1.0389840	0.2761040	0.0959464	0.8689567	0.7440114	0.3177124	0.8460260	0.9343766	0.6695807
145	0.0904693	1.0103856	0.2605154	0.0975175	0.8234083	0.7072426	0.3136862	0.8590563	0.9342649	0.6575719
150	0.0922657	0.9628805	0.2694887	0.1069792	0.8490863	0.7167266	0.3214453	0.8641515	0.9371871	0.6493920
155	0.0961026	0.9225163	0.2706864	0.1170446	0.8406141	0.7223597	0.3588705	0.8843967	0.9601060	0.6566621
160	0.0990687	0.8970214	0.2576856	0.1109807	0.8255069	0.7379293	0.3856844	0.8826781	0.9462950	0.6496164
165	0.1018114	0.9374239	0.2558914	0.0996528	0.7737600	0.7335966	0.3809956	0.8653640	0.9558284	0.6448897
170	0.1033032	0.9609837	0.2434726	0.1079207	0.7977645	0.7510536	0.3882064	0.8913308	0.9595074	0.6466219
