"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1096345	1.0000000	0.3232073	0.1394071	0.9974570	0.6953217	0.2588254	1.0000000	1.0000000	1.0000000
5	0.1096331	1.0000000	0.3232005	0.1394020	0.9975767	0.6950155	0.2590031	0.9273761	1.0000000	0.8890596
10	0.1096318	1.0000000	0.3231944	0.1393973	0.9976845	0.6947340	0.2594888	0.8637260	1.0000000	0.7909579
15	0.1096307	1.0000000	0.3231889	0.1393930	0.9977803	0.6944753	0.2605173	0.8079408	1.0000000	0.7042094
20	0.1096297	1.0000000	0.3231840	0.1393890	0.9978640	0.6942377	0.2622615	0.7590487	1.0000000	0.6275000
25	0.1096289	1.0000000	0.3231795	0.1393854	0.9979359	0.6940195	0.2648561	0.7161980	1.0000000	0.5596679
30	0.1096282	1.0000000	0.3231756	0.1393820	0.9979962	0.6938193	0.2684133	0.6786421	1.0000000	0.4996859
35	0.1096275	1.0000000	0.3231721	0.1393790	0.9980453	0.6936356	0.2730339	0.6457268	1.0000000	0.4466455
40	0.1096269	1.0000000	0.3231689	0.1393762	0.9980838	0.6934671	0.2788149	0.6168787	1.0000000	0.3997433
45	0.1096264	1.0000000	0.3231660	0.1393737	0.9981121	0.6933127	0.2858549	0.5915953	1.0000000	0.3582689
50	0.1096260	1.0000000	0.3231635	0.1393713	0.9981310	0.6931712	0.2942555	0.5694360	1.0000000	0.3215943
55	0.1096256	1.0000000	0.3231612	0.1393692	0.9981410	0.6930415	0.3041205	0.5500148	1.0000000	0.2891639
60	0.1096253	1.0000000	0.3231592	0.1393672	0.9981429	0.6929227	0.3155517	0.5329933	1.0000000	0.2604866
65	0.1096250	1.0000000	0.3231574	0.1393655	0.9981374	0.6928140	0.3286420	0.5180752	1.0000000	0.2351280
70	0.1096248	1.0000000	0.3231557	0.1393638	0.9981252	0.6927145	0.3434651	0.5050004	1.0000000	0.2127042
75	0.1096245	1.0000000	0.3231543	0.1393624	0.9981071	0.6926235	0.3600642	0.4935412	1.0000000	0.1928753
80	0.1096243	1.0000000	0.3231529	0.1393610	0.9980839	0.6925402	0.3784400	0.4834979	1.0000000	0.1753413
85	0.1096242	1.0000000	0.3231518	0.1393598	0.9980562	0.6924640	0.3985409	0.4746957	1.0000000	0.1598363
90	0.1096240	1.0000000	0.3231507	0.1393586	0.9980248	0.6923944	0.4202554	0.4669811	1.0000000	0.1461258
95	0.1096239	1.0000000	0.3231498	0.1393576	0.9979903	0.6923308	0.4434120	0.4602197	1.0000000	0.1340019
100	0.1096238	1.0000000	0.3231489	0.1393567	0.9979534	0.6922726	0.4677833	0.4542939	1.0000000	0.1232811
105	0.1096237	1.0000000	0.3231482	0.1393558	0.9979147	0.6922195	0.4930969	0.4491002	1.0000000	0.1138009
110	0.1096236	1.0000000	0.3231475	0.1393550	0.9978746	0.6921710	0.5190509	0.4445483	1.0000000	0.1054179
115	0.1096235	1.0000000	0.3231469	0.1393543	0.9978336	0.6921267	0.5453307	0.4405589	1.0000000	0.0980051
120	0.1096235	1.0000000	0.3231463	0.1393537	0.9977922	0.6920863	0.5716266	0.4370624	1.0000000	0.0914501
125	0.1096234	1.0000000	0.3231458	0.1393531	0.9977507	0.6920494	0.5976487	0.4339980	1.0000000	0.0856536
130	0.1096233	1.0000000	0.3231454	0.1393526	0.9977094	0.6920158	0.6231380	0.4313122	1.0000000	0.0805280
135	0.1096233	1.0000000	0.3231450	0.1393521	0.9976687	0.6919851	0.6478743	0.4289583	1.0000000	0.0759956
140	0.1096233	1.0000000	0.3231447	0.1393516	0.9976287	0.6919571	0.6716791	0.4268952	1.0000000	0.0719877
145	0.1096232	1.0000000	0.3231443	0.1393512	0.9975896	0.6919315	0.6944159	0.4250871	1.0000000	0.0684436
150	0.1096232	1.0000000	0.3231441	0.1393509	0.9975517	0.6919082	0.7159880	0.4235024	1.0000000	0.0653097
155	0.1096232	1.0000000	0.3231438	0.1393505	0.9975149	0.6918870	0.7363345	0.4221135	1.0000000	0.0625384
160	0.1096231	1.0000000	0.3231436	0.1393502	0.9974795	0.6918677	0.7554251	0.4208962	1.0000000	0.0600879
165	0.1096231	1.0000000	0.3231434	0.1393500	0.9974454	0.6918501	0.7732554	0.4198293	1.0000000	0.0579209
170	0.1096231	1.0000000	0.3231432	0.1393497	0.9974128	0.6918340	0.7898417	0.4188943	1.0000000	0.0560048
175	0.1096231	1.0000000	0.3231430	0.1393495	0.9973816	0.6918194	0.8052164	0.4180748	1.0000000	0.0543103
180	0.1096231	1.0000000	0.3231429	0.1393493	0.9973519	0.6918061	0.8194241	0.4173566	1.0000000	0.0528120
185	0.1096231	1.0000000	0.3231428	0.1393491	0.9973237	0.6917940	0.8325177	0.4167271	1.0000000	0.0514871
190	0.1096231	1.0000000	0.3231426	0.1393489	0.9972969	0.6917830	0.8445558	0.4161754	1.0000000	0.0503155
195	0.1096230	1.0000000	0.3231425	0.1393488	0.9972715	0.6917729	0.8556005	0.4156919	1.0000000	0.0492795
200	0.1096230	1.0000000	0.3231424	0.1393486	0.9972475	0.6917638	0.8657151	0.4152681	1.0000000	0.0483633
205	0.1096230	1.0000000	0.3231424	0.1393485	0.9972249	0.6917555	0.8749628	0.4148967	1.0000000	0.0475532
210	0.1096230	1.0000000	0.3231423	0.1393484	0.9972036	0.6917479	0.8834061	0.4145711	1.0000000	0.0468369
215	0.1096230	1.0000000	0.3231422	0.1393483	0.9971835	0.6917411	0.8911049	0.4142858	1.0000000	0.0462034
220	0.1096230	1.0000000	0.3231422	0.1393482	0.9971647	0.6917348	0.8981173	0.4140358	1.0000000	0.0456433
225	0.1096230	1.0000000	0.3231421	0.1393481	0.9971471	0.6917291	0.9044979	0.4138166	1.0000000	0.0451480
230	0.1096230	1.0000000	0.3231420	0.1393480	0.9971305	0.6917239	0.9102986	0.4136246	1.0000000	0.0447100
235	0.1096230	1.0000000	0.3231420	0.1393480	0.9971150	0.6917192	0.9155679	0.4134562	1.0000000	0.0443227
240	0.1096230	1.0000000	0.3231420	0.1393479	0.9971006	0.6917150	0.9203510	0.4133087	1.0000000	0.0439802
245	0.1096230	1.0000000	0.3231419	0.1393478	0.9970871	0.6917111	0.9246902	0.4131794	1.0000000	0.0436774
250	0.1096230	1.0000000	0.3231419	0.1393478	0.9970745	0.6917076	0.9286242	0.4130660	1.0000000	0.0434095
255	0.1096230	1.0000000	0.3231419	0.1393477	0.9970627	0.6917044	0.9321892	0.4129667	1.0000000	0.0431727
260	0.1096230	1.0000000	0.3231418	0.1393477	0.9970518	0.6917015	0.9354181	0.4128797	1.0000000	0.0429633
265	0.1096230	1.0000000	0.3231418	0.1393477	0.9970416	0.6916988	0.9383415	0.4128034	1.0000000	0.0427782
270	0.1096230	1.0000000	0.3231418	0.1393476	0.9970321	0.6916964	0.9409871	0.4127365	1.0000000	0.0426144
275	0.1096230	1.0000000	0.3231418	0.1393476	0.9970233	0.6916942	0.9433805	0.4126779	1.0000000	0.0424696
280	0.1096230	1.0000000	0.3231418	0.1393476	0.9970152	0.6916922	0.9455451	0.4126265	1.0000000	0.0423416
285	0.1096230	1.0000000	0.3231418	0.1393475	0.9970076	0.6916905	0.9475021	0.4125815	1.0000000	0.0422284
290	0.1096230	1.0000000	0.3231417	0.1393475	0.9970006	0.6916888	0.9492709	0.4125421	1.0000000	0.0421283
295	0.1096230	1.0000000	0.3231417	0.1393475	0.9969941	0.6916873	0.9508693	0.4125075	1.0000000	0.0420397
300	0.1096230	1.0000000	0.3231417	0.1393475	0.9969880	0.6916860	0.9523132	0.4124772	1.0000000	0.0419614
305	0.1096230	1.0000000	0.3231417	0.1393474	0.9969825	0.6916848	0.9536172	0.4124506	1.0000000	0.0418922
310	0.1096230	1.0000000	0.3231417	0.1393474	0.9969773	0.6916837	0.9547948	0.4124273	1.0000000	0.0418310
315	0.1096230	1.0000000	0.3231417	0.1393474	0.9969725	0.6916827	0.9558579	0.4124069	1.0000000	0.0417769
320	0.1096230	1.0000000	0.3231417	0.1393474	0.9969681	0.6916818	0.9568175	0.4123890	1.0000000	0.0417290
325	0.1096230	1.0000000	0.3231417	0.1393474	0.9969640	0.6916809	0.9576834	0.4123734	1.0000000	0.0416867
330	0.1096230	1.0000000	0.3231417	0.1393474	0.9969603	0.6916802	0.9584648	0.4123596	1.0000000	0.0416493
335	0.1096230	1.0000000	0.3231417	0.1393474	0.9969568	0.6916795	0.9591696	0.4123476	1.0000000	0.0416162
340	0.1096230	1.0000000	0.3231417	0.1393474	0.9969536	0.6916789	0.9598054	0.4123370	1.0000000	0.0415869
345	0.1096230	1.0000000	0.3231417	0.1393474	0.9969506	0.6916783	0.9603788	0.4123278	1.0000000	0.0415610
350	0.1096230	1.0000000	0.3231417	0.1393473	0.9969479	0.6916778	0.9608958	0.4123197	1.0000000	0.0415381
355	0.1096230	1.0000000	0.3231417	0.1393473	0.9969454	0.6916774	0.9613620	0.4123126	1.0000000	0.0415179
