"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1096345	1.0000000	0.3232073	0.1394071	0.9974570	0.6953217	0.2588254	1.0000000	1.0000000	1.0000000
5	0.1096331	1.0000000	0.2895401	0.1393998	0.9974978	0.6949049	0.2590361	0.8764348	1.0000000	1.0000000
10	0.1096318	1.0000000	0.2593798	0.1393810	0.9975384	0.6939121	0.2597212	0.7681380	1.0000000	1.0000000
15	0.1096307	1.0000000	0.2323613	0.1393415	0.9975812	0.6918848	0.2611879	0.6732230	1.0000000	1.0000000
20	0.1096297	1.0000000	0.2081571	0.1392741	0.9976283	0.6884757	0.2635739	0.5900361	1.0000000	1.0000000
25	0.1096289	1.0000000	0.1864742	0.1391732	0.9976806	0.6834170	0.2668774	0.5171282	1.0000000	1.0000000
30	0.1096282	1.0000000	0.1670499	0.1390337	0.9977386	0.6765032	0.2709906	0.4532291	1.0000000	1.0000000
35	0.1096275	1.0000000	0.1496490	0.1388518	0.9978023	0.6675814	0.2757368	0.3972258	1.0000000	1.0000000
40	0.1096269	1.0000000	0.1340606	0.1386239	0.9978712	0.6565486	0.2809079	0.3481425	1.0000000	1.0000000
45	0.1096264	1.0000000	0.1200960	0.1383475	0.9979445	0.6433515	0.2862965	0.3051243	1.0000000	1.0000000
50	0.1096260	1.0000000	0.1075861	0.1380207	0.9980211	0.6279891	0.2917184	0.2674215	1.0000000	1.0000000
55	0.1096256	1.0000000	0.0963793	0.1376427	0.9980998	0.6105147	0.2970257	0.2343776	1.0000000	1.0000000
60	0.1096253	1.0000000	0.0863398	0.1372139	0.9981795	0.5910373	0.3021096	0.2054167	1.0000000	1.0000000
65	0.1096250	1.0000000	0.0773461	0.1367358	0.9982588	0.5697206	0.3068979	0.1800343	1.0000000	1.0000000
70	0.1096248	1.0000000	0.0692893	0.1362115	0.9983366	0.5467784	0.3113494	0.1577883	1.0000000	1.0000000
75	0.1096245	1.0000000	0.0620717	0.1356452	0.9984120	0.5224680	0.3154466	0.1382912	1.0000000	1.0000000
80	0.1096243	1.0000000	0.0556059	0.1350425	0.9984843	0.4970788	0.3191890	0.1212032	1.0000000	1.0000000
85	0.1096242	1.0000000	0.0498137	0.1344101	0.9985528	0.4709209	0.3225877	0.1062267	1.0000000	1.0000000
90	0.1096240	1.0000000	0.0446248	0.1337554	0.9986173	0.4443110	0.3256611	0.0931008	1.0000000	1.0000000
95	0.1096239	1.0000000	0.0399764	0.1330863	0.9986774	0.4175597	0.3284315	0.0815968	1.0000000	1.0000000
100	0.1096238	1.0000000	0.0358122	0.1324109	0.9987332	0.3909601	0.3309228	0.0715143	1.0000000	1.0000000
105	0.1096237	1.0000000	0.0320818	0.1317369	0.9987846	0.3647780	0.3331594	0.0626776	1.0000000	1.0000000
110	0.1096236	1.0000000	0.0287400	0.1310714	0.9988320	0.3392456	0.3351648	0.0549328	1.0000000	1.0000000
115	0.1096235	1.0000000	0.0257462	0.1304209	0.9988754	0.3145578	0.3369614	0.0481451	1.0000000	1.0000000
120	0.1096235	1.0000000	0.0230643	0.1297909	0.9989151	0.2908705	0.3385698	0.0421960	1.0000000	1.0000000
125	0.1096234	1.0000000	0.0206618	0.1291858	0.9989514	0.2683020	0.3400091	0.0369820	1.0000000	1.0000000
130	0.1096233	1.0000000	0.0185096	0.1286091	0.9989845	0.2469349	0.3412968	0.0324124	1.0000000	1.0000000
135	0.1096233	1.0000000	0.0165815	0.1280633	0.9990146	0.2268203	0.3424484	0.0284073	1.0000000	1.0000000
140	0.1096233	1.0000000	0.0148543	0.1275498	0.9990422	0.2079811	0.3434784	0.0248972	1.0000000	1.0000000
145	0.1096232	1.0000000	0.0133070	0.1270697	0.9990672	0.1904171	0.3443993	0.0218207	1.0000000	1.0000000
150	0.1096232	1.0000000	0.0119208	0.1266228	0.9990901	0.1741089	0.3452227	0.0191245	1.0000000	1.0000000
155	0.1096232	1.0000000	0.0106791	0.1262088	0.9991109	0.1590219	0.3459588	0.0167613	1.0000000	1.0000000
160	0.1096231	1.0000000	0.0095667	0.1258269	0.9991298	0.1451103	0.3466170	0.0146902	1.0000000	1.0000000
165	0.1096231	1.0000000	0.0085702	0.1254758	0.9991471	0.1323196	0.3472054	0.0128750	1.0000000	1.0000000
170	0.1096231	1.0000000	0.0076774	0.1251540	0.9991629	0.1205901	0.3477314	0.0112841	1.0000000	1.0000000
175	0.1096231	1.0000000	0.0068777	0.1248600	0.9991773	0.1098586	0.3482017	0.0098898	1.0000000	1.0000000
180	0.1096231	1.0000000	0.0061613	0.1245921	0.9991904	0.1000604	0.3486221	0.0086678	1.0000000	1.0000000
185	0.1096231	1.0000000	0.0055195	0.1243485	0.9992024	0.0911307	0.3489980	0.0075967	1.0000000	1.0000000
190	0.1096231	1.0000000	0.0049445	0.1241274	0.9992133	0.0830057	0.3493340	0.0066580	1.0000000	1.0000000
195	0.1096230	1.0000000	0.0044295	0.1239272	0.9992233	0.0756238	0.3496344	0.0058353	1.0000000	1.0000000
200	0.1096230	1.0000000	0.0039681	0.1237461	0.9992324	0.0689257	0.3499029	0.0051143	1.0000000	1.0000000
205	0.1096230	1.0000000	0.0035547	0.1235826	0.9992408	0.0628550	0.3501429	0.0044823	1.0000000	1.0000000
210	0.1096230	1.0000000	0.0031845	0.1234351	0.9992484	0.0573587	0.3503575	0.0039285	1.0000000	1.0000000
215	0.1096230	1.0000000	0.0028527	0.1233023	0.9992553	0.0523868	0.3505494	0.0034431	1.0000000	1.0000000
220	0.1096230	1.0000000	0.0025556	0.1231827	0.9992617	0.0478931	0.3507209	0.0030176	1.0000000	1.0000000
225	0.1096230	1.0000000	0.0022894	0.1230753	0.9992675	0.0438345	0.3508742	0.0026447	1.0000000	1.0000000
230	0.1096230	1.0000000	0.0020509	0.1229787	0.9992728	0.0401712	0.3510113	0.0023179	1.0000000	1.0000000
235	0.1096230	1.0000000	0.0018373	0.1228921	0.9992776	0.0368666	0.3511338	0.0020315	1.0000000	1.0000000
240	0.1096230	1.0000000	0.0016459	0.1228143	0.9992820	0.0338871	0.3512434	0.0017805	1.0000000	1.0000000
245	0.1096230	1.0000000	0.0014744	0.1227446	0.9992861	0.0312019	0.3513413	0.0015605	1.0000000	1.0000000
250	0.1096230	1.0000000	0.0013209	0.1226822	0.9992897	0.0287830	0.3514289	0.0013677	1.0000000	1.0000000
255	0.1096230	1.0000000	0.0011833	0.1226262	0.9992931	0.0266047	0.3515071	0.0011987	1.0000000	1.0000000
260	0.1096230	1.0000000	0.0010600	0.1225761	0.9992962	0.0246437	0.3515771	0.0010506	1.0000000	1.0000000
265	0.1096230	1.0000000	0.0009496	0.1225313	0.9992990	0.0228788	0.3516396	0.0009207	1.0000000	1.0000000
270	0.1096230	1.0000000	0.0008507	0.1224912	0.9993016	0.0212908	0.3516956	0.0008070	1.0000000	1.0000000
275	0.1096230	1.0000000	0.0007621	0.1224553	0.9993040	0.0198623	0.3517456	0.0007073	1.0000000	1.0000000
280	0.1096230	1.0000000	0.0006827	0.1224233	0.9993061	0.0185775	0.3517902	0.0006199	1.0000000	1.0000000
285	0.1096230	1.0000000	0.0006116	0.1223946	0.9993081	0.0174221	0.3518302	0.0005433	1.0000000	1.0000000
290	0.1096230	1.0000000	0.0005479	0.1223689	0.9993099	0.0163834	0.3518659	0.0004761	1.0000000	1.0000000
295	0.1096230	1.0000000	0.0004908	0.1223460	0.9993115	0.0154495	0.3518978	0.0004173	1.0000000	1.0000000
300	0.1096230	1.0000000	0.0004397	0.1223256	0.9993130	0.0146101	0.3519264	0.0003657	1.0000000	1.0000000
305	0.1096230	1.0000000	0.0003939	0.1223073	0.9993144	0.0138557	0.3519519	0.0003206	1.0000000	1.0000000
310	0.1096230	1.0000000	0.0003528	0.1222910	0.9993157	0.0131777	0.3519747	0.0002809	1.0000000	1.0000000
315	0.1096230	1.0000000	0.0003161	0.1222764	0.9993168	0.0125685	0.3519951	0.0002462	1.0000000	1.0000000
320	0.1096230	1.0000000	0.0002832	0.1222633	0.9993178	0.0120210	0.3520133	0.0002158	1.0000000	1.0000000
325	0.1096230	1.0000000	0.0002537	0.1222517	0.9993188	0.0115292	0.3520296	0.0001891	1.0000000	1.0000000
330	0.1096230	1.0000000	0.0002272	0.1222413	0.9993197	0.0110872	0.3520442	0.0001658	1.0000000	1.0000000
335	0.1096230	1.0000000	0.0002036	0.1222320	0.9993205	0.0106902	0.3520572	0.0001453	1.0000000	1.0000000
340	0.1096230	1.0000000	0.0001824	0.1222238	0.9993212	0.0103335	0.3520689	0.0001273	1.0000000	1.0000000
345	0.1096230	1.0000000	0.0001634	0.1222164	0.9993219	0.0100131	0.3520793	0.0001116	1.0000000	1.0000000
350	0.1096230	1.0000000	0.0001464	0.1222098	0.9993225	0.0097253	0.3520886	0.0000978	1.0000000	1.0000000
355	0.1096230	1.0000000	0.0001311	0.1222039	0.9993231	0.0094668	0.3520969	0.0000857	1.0000000	1.0000000
