"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1096345	1.0000000	0.3232073	0.1394071	0.9974570	0.6953217	0.2588254	1.0000000	1.0000000	1.0000000
5	0.0958891	1.0000000	0.3232005	0.1394020	0.9974973	0.6950155	0.2589438	1.0000000	1.0000000	1.0000000
10	0.0838670	1.0000000	0.3231944	0.1393973	0.9975341	0.6947340	0.2590522	1.0000000	1.0000000	1.0000000
15	0.0733522	1.0000000	0.3231889	0.1393930	0.9975679	0.6944753	0.2591514	1.0000000	1.0000000	1.0000000
20	0.0641556	1.0000000	0.3231840	0.1393890	0.9975988	0.6942377	0.2592422	1.0000000	1.0000000	1.0000000
25	0.0561121	1.0000000	0.3231795	0.1393854	0.9976271	0.6940195	0.2593253	1.0000000	1.0000000	1.0000000
30	0.0490771	1.0000000	0.3231756	0.1393820	0.9976531	0.6938193	0.2594012	1.0000000	1.0000000	1.0000000
35	0.0429240	1.0000000	0.3231721	0.1393790	0.9976769	0.6936356	0.2594706	1.0000000	1.0000000	1.0000000
40	0.0375424	1.0000000	0.3231689	0.1393762	0.9976986	0.6934671	0.2595340	1.0000000	1.0000000	1.0000000
45	0.0328355	1.0000000	0.3231660	0.1393737	0.9977186	0.6933127	0.2595920	1.0000000	1.0000000	1.0000000
50	0.0287188	1.0000000	0.3231635	0.1393713	0.9977369	0.6931712	0.2596449	1.0000000	1.0000000	1.0000000
55	0.0251182	1.0000000	0.3231612	0.1393692	0.9977536	0.6930415	0.2596932	1.0000000	1.0000000	1.0000000
60	0.0219690	1.0000000	0.3231592	0.1393672	0.9977689	0.6929227	0.2597373	1.0000000	1.0000000	1.0000000
65	0.0192146	1.0000000	0.3231574	0.1393655	0.9977830	0.6928140	0.2597776	1.0000000	1.0000000	1.0000000
70	0.0168056	1.0000000	0.3231557	0.1393638	0.9977958	0.6927145	0.2598143	1.0000000	1.0000000	1.0000000
75	0.0146986	1.0000000	0.3231543	0.1393624	0.9978076	0.6926235	0.2598478	1.0000000	1.0000000	1.0000000
80	0.0128557	1.0000000	0.3231529	0.1393610	0.9978184	0.6925402	0.2598783	1.0000000	1.0000000	1.0000000
85	0.0112440	1.0000000	0.3231518	0.1393598	0.9978283	0.6924640	0.2599061	1.0000000	1.0000000	1.0000000
90	0.0098342	1.0000000	0.3231507	0.1393586	0.9978373	0.6923944	0.2599315	1.0000000	1.0000000	1.0000000
95	0.0086013	1.0000000	0.3231498	0.1393576	0.9978456	0.6923308	0.2599546	1.0000000	1.0000000	1.0000000
100	0.0075229	1.0000000	0.3231489	0.1393567	0.9978532	0.6922726	0.2599756	1.0000000	1.0000000	1.0000000
105	0.0065797	1.0000000	0.3231482	0.1393558	0.9978601	0.6922195	0.2599948	1.0000000	1.0000000	1.0000000
110	0.0057548	1.0000000	0.3231475	0.1393550	0.9978665	0.6921710	0.2600123	1.0000000	1.0000000	1.0000000
115	0.0050333	1.0000000	0.3231469	0.1393543	0.9978723	0.6921267	0.2600281	1.0000000	1.0000000	1.0000000
120	0.0044022	1.0000000	0.3231463	0.1393537	0.9978776	0.6920863	0.2600426	1.0000000	1.0000000	1.0000000
125	0.0038503	1.0000000	0.3231458	0.1393531	0.9978825	0.6920494	0.2600558	1.0000000	1.0000000	1.0000000
130	0.0033676	1.0000000	0.3231454	0.1393526	0.9978869	0.6920158	0.2600677	1.0000000	1.0000000	1.0000000
135	0.0029454	1.0000000	0.3231450	0.1393521	0.9978910	0.6919851	0.2600786	1.0000000	1.0000000	1.0000000
140	0.0025761	1.0000000	0.3231447	0.1393516	0.9978948	0.6919571	0.2600885	1.0000000	1.0000000	1.0000000
145	0.0022531	1.0000000	0.3231443	0.1393512	0.9978982	0.6919315	0.2600975	1.0000000	1.0000000	1.0000000
150	0.0019706	1.0000000	0.3231441	0.1393509	0.9979013	0.6919082	0.2601057	1.0000000	1.0000000	1.0000000
155	0.0017236	1.0000000	0.3231438	0.1393505	0.9979042	0.6918870	0.2601132	1.0000000	1.0000000	1.0000000
160	0.0015075	1.0000000	0.3231436	0.1393502	0.9979068	0.6918677	0.2601199	1.0000000	1.0000000	1.0000000
165	0.0013185	1.0000000	0.3231434	0.1393500	0.9979092	0.6918501	0.2601261	1.0000000	1.0000000	1.0000000
170	0.0011532	1.0000000	0.3231432	0.1393497	0.9979114	0.6918340	0.2601317	1.0000000	1.0000000	1.0000000
175	0.0010086	1.0000000	0.3231430	0.1393495	0.9979135	0.6918194	0.2601367	1.0000000	1.0000000	1.0000000
180	0.0008821	1.0000000	0.3231429	0.1393493	0.9979153	0.6918061	0.2601413	1.0000000	1.0000000	1.0000000
185	0.0007715	1.0000000	0.3231428	0.1393491	0.9979170	0.6917940	0.2601455	1.0000000	1.0000000	1.0000000
190	0.0006748	1.0000000	0.3231426	0.1393489	0.9979185	0.6917830	0.2601493	1.0000000	1.0000000	1.0000000
195	0.0005902	1.0000000	0.3231425	0.1393488	0.9979199	0.6917729	0.2601528	1.0000000	1.0000000	1.0000000
200	0.0005162	1.0000000	0.3231424	0.1393486	0.9979212	0.6917638	0.2601559	1.0000000	1.0000000	1.0000000
205	0.0004515	1.0000000	0.3231424	0.1393485	0.9979224	0.6917555	0.2601587	1.0000000	1.0000000	1.0000000
210	0.0003949	1.0000000	0.3231423	0.1393484	0.9979235	0.6917479	0.2601613	1.0000000	1.0000000	1.0000000
215	0.0003454	1.0000000	0.3231422	0.1393483	0.9979245	0.6917411	0.2601636	1.0000000	1.0000000	1.0000000
220	0.0003021	1.0000000	0.3231422	0.1393482	0.9979254	0.6917348	0.2601658	1.0000000	1.0000000	1.0000000
225	0.0002642	1.0000000	0.3231421	0.1393481	0.9979262	0.6917291	0.2601677	1.0000000	1.0000000	1.0000000
230	0.0002311	1.0000000	0.3231420	0.1393480	0.9979270	0.6917239	0.2601694	1.0000000	1.0000000	1.0000000
235	0.0002021	1.0000000	0.3231420	0.1393480	0.9979277	0.6917192	0.2601710	1.0000000	1.0000000	1.0000000
240	0.0001768	1.0000000	0.3231420	0.1393479	0.9979283	0.6917150	0.2601724	1.0000000	1.0000000	1.0000000
245	0.0001546	1.0000000	0.3231419	0.1393478	0.9979289	0.6917111	0.2601737	1.0000000	1.0000000	1.0000000
250	0.0001352	1.0000000	0.3231419	0.1393478	0.9979294	0.6917076	0.2601749	1.0000000	1.0000000	1.0000000
255	0.0001183	1.0000000	0.3231419	0.1393477	0.9979299	0.6917044	0.2601760	1.0000000	1.0000000	1.0000000
260	0.0001034	1.0000000	0.3231418	0.1393477	0.9979304	0.6917015	0.2601770	1.0000000	1.0000000	1.0000000
265	0.0000905	1.0000000	0.3231418	0.1393477	0.9979308	0.6916988	0.2601778	1.0000000	1.0000000	1.0000000
270	0.0000791	1.0000000	0.3231418	0.1393476	0.9979312	0.6916964	0.2601786	1.0000000	1.0000000	1.0000000
275	0.0000692	1.0000000	0.3231418	0.1393476	0.9979315	0.6916942	0.2601793	1.0000000	1.0000000	1.0000000
280	0.0000605	1.0000000	0.3231418	0.1393476	0.9979318	0.6916922	0.2601800	1.0000000	1.0000000	1.0000000
285	0.0000529	1.0000000	0.3231418	0.1393475	0.9979321	0.6916905	0.2601806	1.0000000	1.0000000	1.0000000
290	0.0000463	1.0000000	0.3231417	0.1393475	0.9979324	0.6916888	0.2601811	1.0000000	1.0000000	1.0000000
295	0.0000405	1.0000000	0.3231417	0.1393475	0.9979326	0.6916873	0.2601816	1.0000000	1.0000000	1.0000000
300	0.0000354	1.0000000	0.3231417	0.1393475	0.9979328	0.6916860	0.2601820	1.0000000	1.0000000	1.0000000
305	0.0000310	1.0000000	0.3231417	0.1393474	0.9979330	0.6916848	0.2601824	1.0000000	1.0000000	1.0000000
310	0.0000271	1.0000000	0.3231417	0.1393474	0.9979332	0.6916837	0.2601828	1.0000000	1.0000000	1.0000000
315	0.0000237	1.0000000	0.3231417	0.1393474	0.9979334	0.6916827	0.2601831	1.0000000	1.0000000	1.0000000
320	0.0000207	1.0000000	0.3231417	0.1393474	0.9979335	0.6916818	0.2601834	1.0000000	1.0000000	1.0000000
325	0.0000181	1.0000000	0.3231417	0.1393474	0.9979337	0.6916809	0.2601837	1.0000000	1.0000000	1.0000000
330	0.0000159	1.0000000	0.3231417	0.1393474	0.9979338	0.6916802	0.2601839	1.0000000	1.0000000	1.0000000
335	0.0000139	1.0000000	0.3231417	0.1393474	0.9979339	0.6916795	0.2601841	1.0000000	1.0000000	1.0000000
340	0.0000121	1.0000000	0.3231417	0.1393474	0.9979340	0.6916789	0.2601843	1.0000000	1.0000000	1.0000000
345	0.0000106	1.0000000	0.3231417	0.1393474	0.9979341	0.6916783	0.2601845	1.0000000	1.0000000	1.0000000
350	0.0000093	1.0000000	0.3231417	0.1393473	0.9979342	0.6916778	0.2601847	1.0000000	1.0000000	1.0000000
355	0.0000081	1.0000000	0.3231417	0.1393473	0.9979343	0.6916774	0.2601848	1.0000000	1.0000000	1.0000000
