"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1096345	1.0000000	0.3232073	0.1394071	0.9974570	0.6953217	0.2588254	1.0000000	1.0000000	1.0000000
5	0.1050317	1.0000000	0.3232005	0.1374860	0.9798056	0.7028871	0.2589614	0.9842042	1.0000000	0.9584887
10	0.1010059	1.0000000	0.3231944	0.1357715	0.9636705	0.7096764	0.2591811	0.9703602	1.0000000	0.9217815
15	0.0974849	1.0000000	0.3231889	0.1342414	0.9489209	0.7157693	0.2595508	0.9582268	1.0000000	0.8893222
20	0.0944053	1.0000000	0.3231840	0.1328758	0.9354374	0.7212373	0.2601134	0.9475927	1.0000000	0.8606194
25	0.0917118	1.0000000	0.3231795	0.1316571	0.9231109	0.7261443	0.2608950	0.9382726	1.0000000	0.8352383
30	0.0893560	1.0000000	0.3231756	0.1305694	0.9118418	0.7305479	0.2619088	0.9301041	1.0000000	0.8127945
35	0.0872956	1.0000000	0.3231721	0.1295987	0.9015392	0.7344998	0.2631585	0.9229450	1.0000000	0.7929480
40	0.0854935	1.0000000	0.3231689	0.1287323	0.8921199	0.7380463	0.2646404	0.9166705	1.0000000	0.7753983
45	0.0839173	1.0000000	0.3231660	0.1279592	0.8835081	0.7412289	0.2663454	0.9111713	1.0000000	0.7598796
50	0.0825388	1.0000000	0.3231635	0.1272691	0.8756342	0.7440850	0.2682602	0.9063516	1.0000000	0.7461568
55	0.0813331	1.0000000	0.3231612	0.1266533	0.8684350	0.7466481	0.2703681	0.9021274	1.0000000	0.7340222
60	0.0802785	1.0000000	0.3231592	0.1261037	0.8618525	0.7489482	0.2726506	0.8984252	1.0000000	0.7232918
65	0.0793562	1.0000000	0.3231574	0.1256132	0.8558337	0.7510123	0.2750871	0.8951805	1.0000000	0.7138032
70	0.0785495	1.0000000	0.3231557	0.1251754	0.8503304	0.7528646	0.2776564	0.8923367	1.0000000	0.7054128
75	0.0778439	1.0000000	0.3231543	0.1247847	0.8452983	0.7545268	0.2803367	0.8898443	1.0000000	0.6979933
80	0.0772268	1.0000000	0.3231529	0.1244360	0.8406970	0.7560185	0.2831061	0.8876599	1.0000000	0.6914325
85	0.0766871	1.0000000	0.3231518	0.1241248	0.8364896	0.7573572	0.2859432	0.8857454	1.0000000	0.6856309
90	0.0762150	1.0000000	0.3231507	0.1238471	0.8326424	0.7585584	0.2888270	0.8840675	1.0000000	0.6805007
95	0.0758022	1.0000000	0.3231498	0.1235992	0.8291244	0.7596364	0.2917376	0.8825968	1.0000000	0.6759643
100	0.0754410	1.0000000	0.3231489	0.1233780	0.8259075	0.7606038	0.2946564	0.8813080	1.0000000	0.6719528
105	0.0751252	1.0000000	0.3231482	0.1231806	0.8229660	0.7614719	0.2975658	0.8801783	1.0000000	0.6684056
110	0.0748490	1.0000000	0.3231475	0.1230044	0.8202761	0.7622509	0.3004499	0.8791883	1.0000000	0.6652688
115	0.0746074	1.0000000	0.3231469	0.1228471	0.8178164	0.7629499	0.3032943	0.8783206	1.0000000	0.6624951
120	0.0743960	1.0000000	0.3231463	0.1227068	0.8155672	0.7635773	0.3060862	0.8775601	1.0000000	0.6600424
125	0.0742112	1.0000000	0.3231458	0.1225815	0.8135105	0.7641402	0.3088143	0.8768936	1.0000000	0.6578735
130	0.0740496	1.0000000	0.3231454	0.1224697	0.8116298	0.7646454	0.3114691	0.8763094	1.0000000	0.6559556
135	0.0739082	1.0000000	0.3231450	0.1223700	0.8099100	0.7650987	0.3140425	0.8757974	1.0000000	0.6542597
140	0.0737845	1.0000000	0.3231447	0.1222809	0.8083374	0.7655055	0.3165278	0.8753487	1.0000000	0.6527600
145	0.0736764	1.0000000	0.3231443	0.1222015	0.8068994	0.7658705	0.3189200	0.8749554	1.0000000	0.6514339
150	0.0735818	1.0000000	0.3231441	0.1221305	0.8055844	0.7661981	0.3212150	0.8746108	1.0000000	0.6502613
155	0.0734991	1.0000000	0.3231438	0.1220672	0.8043820	0.7664920	0.3234102	0.8743087	1.0000000	0.6492243
160	0.0734267	1.0000000	0.3231436	0.1220107	0.8032825	0.7667558	0.3255040	0.8740439	1.0000000	0.6483074
165	0.0733634	1.0000000	0.3231434	0.1219603	0.8022771	0.7669925	0.3274956	0.8738119	1.0000000	0.6474966
170	0.0733080	1.0000000	0.3231432	0.1219153	0.8013577	0.7672049	0.3293853	0.8736085	1.0000000	0.6467796
175	0.0732596	1.0000000	0.3231430	0.1218752	0.8005171	0.7673955	0.3311741	0.8734303	1.0000000	0.6461456
180	0.0732173	1.0000000	0.3231429	0.1218393	0.7997484	0.7675666	0.3328634	0.8732740	1.0000000	0.6455850
185	0.0731803	1.0000000	0.3231428	0.1218073	0.7990455	0.7677201	0.3344555	0.8731371	1.0000000	0.6450892
190	0.0731479	1.0000000	0.3231426	0.1217788	0.7984028	0.7678578	0.3359530	0.8730171	1.0000000	0.6446508
195	0.0731195	1.0000000	0.3231425	0.1217533	0.7978151	0.7679814	0.3373587	0.8729120	1.0000000	0.6442632
200	0.0730948	1.0000000	0.3231424	0.1217306	0.7972778	0.7680923	0.3386760	0.8728198	1.0000000	0.6439204
205	0.0730731	1.0000000	0.3231424	0.1217103	0.7967864	0.7681918	0.3399083	0.8727390	1.0000000	0.6436173
210	0.0730541	1.0000000	0.3231423	0.1216921	0.7963372	0.7682811	0.3410592	0.8726682	1.0000000	0.6433492
215	0.0730375	1.0000000	0.3231422	0.1216760	0.7959264	0.7683612	0.3421325	0.8726061	1.0000000	0.6431122
220	0.0730230	1.0000000	0.3231422	0.1216616	0.7955508	0.7684331	0.3431319	0.8725518	1.0000000	0.6429026
225	0.0730104	1.0000000	0.3231421	0.1216487	0.7952074	0.7684977	0.3440612	0.8725041	1.0000000	0.6427173
230	0.0729993	1.0000000	0.3231420	0.1216372	0.7948934	0.7685556	0.3449243	0.8724623	1.0000000	0.6425534
235	0.0729896	1.0000000	0.3231420	0.1216269	0.7946062	0.7686075	0.3457248	0.8724257	1.0000000	0.6424085
240	0.0729811	1.0000000	0.3231420	0.1216178	0.7943437	0.7686542	0.3464663	0.8723936	1.0000000	0.6422803
245	0.0729737	1.0000000	0.3231419	0.1216096	0.7941037	0.7686960	0.3471526	0.8723655	1.0000000	0.6421670
250	0.0729672	1.0000000	0.3231419	0.1216023	0.7938843	0.7687335	0.3477869	0.8723408	1.0000000	0.6420668
255	0.0729615	1.0000000	0.3231419	0.1215958	0.7936836	0.7687672	0.3483727	0.8723192	1.0000000	0.6419782
260	0.0729565	1.0000000	0.3231418	0.1215900	0.7935002	0.7687975	0.3489130	0.8723003	1.0000000	0.6418998
265	0.0729522	1.0000000	0.3231418	0.1215848	0.7933324	0.7688246	0.3494110	0.8722837	1.0000000	0.6418305
270	0.0729484	1.0000000	0.3231418	0.1215802	0.7931791	0.7688489	0.3498696	0.8722692	1.0000000	0.6417693
275	0.0729451	1.0000000	0.3231418	0.1215761	0.7930389	0.7688708	0.3502915	0.8722564	1.0000000	0.6417151
280	0.0729422	1.0000000	0.3231418	0.1215724	0.7929107	0.7688904	0.3506794	0.8722452	1.0000000	0.6416672
285	0.0729396	1.0000000	0.3231418	0.1215691	0.7927935	0.7689080	0.3510356	0.8722355	1.0000000	0.6416248
290	0.0729374	1.0000000	0.3231417	0.1215661	0.7926863	0.7689237	0.3513626	0.8722269	1.0000000	0.6415874
295	0.0729355	1.0000000	0.3231417	0.1215635	0.7925884	0.7689379	0.3516625	0.8722194	1.0000000	0.6415542
300	0.0729338	1.0000000	0.3231417	0.1215612	0.7924988	0.7689506	0.3519374	0.8722128	1.0000000	0.6415249
305	0.0729323	1.0000000	0.3231417	0.1215591	0.7924169	0.7689620	0.3521892	0.8722070	1.0000000	0.6414990
310	0.0729310	1.0000000	0.3231417	0.1215572	0.7923421	0.7689722	0.3524196	0.8722019	1.0000000	0.6414761
315	0.0729298	1.0000000	0.3231417	0.1215556	0.7922736	0.7689814	0.3526305	0.8721975	1.0000000	0.6414559
320	0.0729288	1.0000000	0.3231417	0.1215541	0.7922110	0.7689897	0.3528232	0.8721936	1.0000000	0.6414380
325	0.0729280	1.0000000	0.3231417	0.1215528	0.7921538	0.7689970	0.3529993	0.8721902	1.0000000	0.6414221
330	0.0729272	1.0000000	0.3231417	0.1215516	0.7921015	0.7690037	0.3531602	0.8721872	1.0000000	0.6414081
335	0.0729265	1.0000000	0.3231417	0.1215505	0.7920537	0.7690096	0.3533070	0.8721846	1.0000000	0.6413957
340	0.0729260	1.0000000	0.3231417	0.1215496	0.7920100	0.7690150	0.3534409	0.8721823	1.0000000	0.6413848
345	0.0729254	1.0000000	0.3231417	0.1215487	0.7919701	0.7690198	0.3535630	0.8721803	1.0000000	0.6413751
350	0.0729250	1.0000000	0.3231417	0.1215480	0.7919335	0.7690241	0.3536743	0.8721785	1.0000000	0.6413665
355	0.0729246	1.0000000	0.3231417	0.1215473	0.7919001	0.7690279	0.3537757	0.8721770	1.0000000	0.6413590
