"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1097600	1.0000000	0.3235828	0.1395621	0.9971564	0.7003256	0.2583304	1.0000000	1.0000000	1.0000000
5	0.1097441	1.0000000	0.3235391	0.1395482	0.9972302	0.6996708	0.2584944	0.9950962	1.0000000	0.9922246
10	0.1097300	1.0000000	0.3234997	0.1395351	0.9973121	0.6990618	0.2587022	0.9820468	1.0000000	0.9715039
15	0.1097175	1.0000000	0.3234642	0.1395228	0.9973980	0.6984959	0.2590663	0.9629894	1.0000000	0.9411943
20	0.1097065	1.0000000	0.3234321	0.1395111	0.9974846	0.6979703	0.2597242	0.9396511	1.0000000	0.9040140
25	0.1096968	1.0000000	0.3234032	0.1395002	0.9975694	0.6974825	0.2608171	0.9134185	1.0000000	0.8621509
30	0.1096882	1.0000000	0.3233772	0.1394899	0.9976503	0.6970301	0.2624810	0.8853958	1.0000000	0.8173530
35	0.1096806	1.0000000	0.3233537	0.1394803	0.9977259	0.6966108	0.2648427	0.8564545	1.0000000	0.7710038
40	0.1096738	1.0000000	0.3233326	0.1394712	0.9977949	0.6962223	0.2680213	0.8272742	1.0000000	0.7241868
45	0.1096679	1.0000000	0.3233136	0.1394627	0.9978567	0.6958627	0.2721295	0.7983776	1.0000000	0.6777388
50	0.1096626	1.0000000	0.3232964	0.1394548	0.9979107	0.6955300	0.2772765	0.7701589	1.0000000	0.6322947
55	0.1096580	1.0000000	0.3232809	0.1394473	0.9979566	0.6952222	0.2835697	0.7429081	1.0000000	0.5883250
60	0.1096539	1.0000000	0.3232670	0.1394404	0.9979944	0.6949378	0.2911154	0.7168312	1.0000000	0.5461669
65	0.1096503	1.0000000	0.3232545	0.1394338	0.9980240	0.6946751	0.3000173	0.6920665	1.0000000	0.5060505
70	0.1096471	1.0000000	0.3232432	0.1394277	0.9980459	0.6944325	0.3103736	0.6686988	1.0000000	0.4681204
75	0.1096442	1.0000000	0.3232330	0.1394220	0.9980601	0.6942086	0.3222709	0.6467703	1.0000000	0.4324531
