"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1097600	1.0000000	0.3235828	0.1395621	0.9971564	0.7003256	0.2583304	1.0000000	1.0000000	1.0000000
5	0.1097441	1.0000000	0.3215231	0.1395481	0.9972217	0.6996671	0.2584970	0.9916564	1.0000000	1.0000000
10	0.1097300	1.0000000	0.3160283	0.1395343	0.9972820	0.6990075	0.2587383	0.9694538	1.0000000	1.0000000
15	0.1097175	1.0000000	0.3078772	0.1395192	0.9973385	0.6982427	0.2592187	0.9370287	1.0000000	1.0000000
20	0.1097065	1.0000000	0.2977189	0.1395008	0.9973927	0.6972313	0.2601174	0.8973201	1.0000000	1.0000000
25	0.1096968	1.0000000	0.2860918	0.1394766	0.9974459	0.6958113	0.2615801	0.8526868	1.0000000	1.0000000
30	0.1096882	1.0000000	0.2734403	0.1394439	0.9974995	0.6938114	0.2636934	0.8050079	1.0000000	1.0000000
35	0.1096806	1.0000000	0.2601289	0.1393999	0.9975547	0.6910593	0.2664772	0.7557660	1.0000000	1.0000000
40	0.1096738	1.0000000	0.2464545	0.1393418	0.9976121	0.6873886	0.2698899	0.7061177	1.0000000	1.0000000
45	0.1096679	1.0000000	0.2326567	0.1392665	0.9976723	0.6826440	0.2738417	0.6569518	1.0000000	1.0000000
50	0.1096626	1.0000000	0.2189267	0.1391712	0.9977356	0.6766866	0.2782123	0.6089394	1.0000000	1.0000000
55	0.1096580	1.0000000	0.2054155	0.1390533	0.9978018	0.6693985	0.2828686	0.5625738	1.0000000	1.0000000
60	0.1096539	1.0000000	0.1922399	0.1389101	0.9978707	0.6606870	0.2876791	0.5182055	1.0000000	1.0000000
65	0.1096503	1.0000000	0.1794886	0.1387396	0.9979417	0.6504887	0.2925244	0.4760700	1.0000000	1.0000000
70	0.1096471	1.0000000	0.1672268	0.1385398	0.9980143	0.6387723	0.2973034	0.4363112	1.0000000	1.0000000
75	0.1096442	1.0000000	0.1555002	0.1383096	0.9980877	0.6255403	0.3019358	0.3990012	1.0000000	1.0000000
