"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1097600	1.0000000	0.3235828	0.1395621	0.9971564	0.7003256	0.2583304	1.0000000	1.0000000	1.0000000
5	0.1092913	1.0000000	0.3235391	0.1395482	0.9972217	0.6996708	0.2584897	1.0000000	1.0000000	1.0000000
10	0.1080716	1.0000000	0.3234997	0.1395351	0.9972816	0.6990618	0.2586358	1.0000000	1.0000000	1.0000000
15	0.1062972	1.0000000	0.3234642	0.1395228	0.9973364	0.6984959	0.2587697	1.0000000	1.0000000	1.0000000
20	0.1041269	1.0000000	0.3234321	0.1395111	0.9973867	0.6979703	0.2588925	1.0000000	1.0000000	1.0000000
25	0.1016883	1.0000000	0.3234032	0.1395002	0.9974328	0.6974825	0.2590049	1.0000000	1.0000000	1.0000000
30	0.0990831	1.0000000	0.3233772	0.1394899	0.9974750	0.6970301	0.2591079	1.0000000	1.0000000	1.0000000
35	0.0963919	1.0000000	0.3233537	0.1394803	0.9975137	0.6966108	0.2592022	1.0000000	1.0000000	1.0000000
40	0.0936775	1.0000000	0.3233326	0.1394712	0.9975491	0.6962223	0.2592884	1.0000000	1.0000000	1.0000000
45	0.0909883	1.0000000	0.3233136	0.1394627	0.9975816	0.6958627	0.2593673	1.0000000	1.0000000	1.0000000
50	0.0883608	1.0000000	0.3232964	0.1394548	0.9976114	0.6955300	0.2594395	1.0000000	1.0000000	1.0000000
55	0.0858221	1.0000000	0.3232809	0.1394473	0.9976386	0.6952222	0.2595055	1.0000000	1.0000000	1.0000000
60	0.0833914	1.0000000	0.3232670	0.1394404	0.9976636	0.6949378	0.2595658	1.0000000	1.0000000	1.0000000
65	0.0810816	1.0000000	0.3232545	0.1394338	0.9976865	0.6946751	0.2596209	1.0000000	1.0000000	1.0000000
70	0.0789008	1.0000000	0.3232432	0.1394277	0.9977074	0.6944325	0.2596712	1.0000000	1.0000000	1.0000000
75	0.0768531	1.0000000	0.3232330	0.1394220	0.9977266	0.6942086	0.2597171	1.0000000	1.0000000	1.0000000
