"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1097600	1.0000000	0.3235828	0.1395621	0.9971564	0.7003256	0.2583304	1.0000000	1.0000000	1.0000000
5	0.1094409	1.0000000	0.3235391	0.1394609	0.9953315	0.7001902	0.2584911	0.9989334	1.0000000	0.9970906
10	0.1086196	1.0000000	0.3234997	0.1392087	0.9904562	0.7009804	0.2586554	0.9960952	1.0000000	0.9893375
15	0.1074273	1.0000000	0.3234642	0.1388360	0.9834434	0.7024855	0.2588569	0.9919501	1.0000000	0.9779963
20	0.1059705	1.0000000	0.3234321	0.1383688	0.9749955	0.7045312	0.2591346	0.9868740	1.0000000	0.9640843
25	0.1043344	1.0000000	0.3234032	0.1378291	0.9656490	0.7069740	0.2595261	0.9811684	1.0000000	0.9484202
30	0.1025872	1.0000000	0.3233772	0.1372355	0.9558107	0.7096962	0.2600637	0.9750734	1.0000000	0.9316579
35	0.1007827	1.0000000	0.3233537	0.1366037	0.9457852	0.7126018	0.2607727	0.9687786	1.0000000	0.9143151
40	0.0989629	1.0000000	0.3233326	0.1359468	0.9357979	0.7156133	0.2616710	0.9624318	1.0000000	0.8967973
45	0.0971603	1.0000000	0.3233136	0.1352757	0.9260121	0.7186687	0.2627697	0.9561468	1.0000000	0.8794176
50	0.0953992	1.0000000	0.3232964	0.1345994	0.9165434	0.7217187	0.2640733	0.9500092	1.0000000	0.8624135
55	0.0936978	1.0000000	0.3232809	0.1339252	0.9074706	0.7247248	0.2655808	0.9440821	1.0000000	0.8459611
60	0.0920688	1.0000000	0.3232670	0.1332592	0.8988439	0.7276573	0.2672863	0.9384103	1.0000000	0.8301865
65	0.0905210	1.0000000	0.3232545	0.1326062	0.8906924	0.7304940	0.2691801	0.9330239	1.0000000	0.8151759
70	0.0890597	1.0000000	0.3232432	0.1319699	0.8830288	0.7332188	0.2712492	0.9279414	1.0000000	0.8009834
75	0.0876877	1.0000000	0.3232330	0.1313532	0.8758541	0.7358203	0.2734783	0.9231719	1.0000000	0.7876376
