"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1418488	0.5373342	0.2232735	0.0705896	0.6329158	0.4689690	0.1793892	0.5972815	0.5868829	0.5578429
5	0.0973697	0.7621444	0.2256161	0.1345507	0.8125489	0.4473813	0.1585820	0.7629881	0.5737107	0.6515519
10	0.0867035	0.6510150	0.2094574	0.0991784	0.6660954	0.4085933	0.1344537	0.6748913	0.5299956	0.5785958
15	0.0573644	0.5829705	0.1381448	0.1258947	0.6434394	0.4739967	0.2022383	0.6804390	0.6238122	0.7535457
20	0.0746685	0.6939743	0.2244961	0.1269680	0.6343514	0.4008595	0.1476497	0.7136747	0.6353061	0.8070692
25	0.0564978	0.6195951	0.1963220	0.1137596	0.6765908	0.4726543	0.1467278	0.6353785	0.5263261	0.5832306
30	0.0439257	0.6948279	0.2762048	0.0833434	0.6169211	0.4842530	0.1849466	0.7310233	0.5990359	0.5810762
35	0.0873560	0.7114607	0.1973056	0.0640765	0.7198973	0.3891032	0.1534640	0.5575296	0.6765417	0.5248016
40	0.0730697	0.6151135	0.2125308	0.0984294	0.6412597	0.5283869	0.1700450	0.5834128	0.6824599	0.5424210
45	0.0727607	0.5421299	0.2411329	0.0924221	0.6757309	0.4733966	0.2078719	0.6167607	0.6233200	0.4201296
50	0.0792483	0.5784124	0.1813392	0.0647923	0.6443788	0.4377551	0.1218556	0.6077117	0.5723631	0.4459814
55	0.0472526	0.6284259	0.2697969	0.0777993	0.6576639	0.4518679	0.1582389	0.4347591	0.5820784	0.5147731
60	0.0548003	0.6394234	0.2286514	0.0889953	0.6242316	0.4848723	0.2135002	0.5140104	0.5743888	0.4674913
65	0.0476395	0.5608422	0.3076194	0.0603534	0.6723431	0.3871240	0.2110287	0.4984643	0.5754824	0.4080080
70	0.0815640	0.5146289	0.2741109	0.1161253	0.6613541	0.6302470	0.2494758	0.4494598	0.6277412	0.3444665
75	0.0714633	0.6208268	0.2415747	0.0464036	0.6589344	0.4636306	0.2851482	0.4155853	0.7173510	0.3425803
80	0.0378914	0.7200257	0.2923640	0.0640657	0.6399912	0.5042543	0.2632600	0.4462451	0.6745120	0.3001234
85	0.0819224	0.7291982	0.2737557	0.0599518	0.6441628	0.5145446	0.2038510	0.4407902	0.6255085	0.3104303
90	0.0485086	0.5728580	0.2924043	0.0653685	0.6184024	0.5262982	0.2246124	0.3641895	0.6603513	0.2678103
95	0.0511702	0.6525993	0.2213229	0.0785413	0.5972040	0.5861572	0.2118790	0.3572533	0.6161994	0.2505559
100	0.0597322	0.6260688	0.2356947	0.0728492	0.6113255	0.5215455	0.3342421	0.4374037	0.6618410	0.2204535
105	0.0571476	0.7442028	0.3179638	0.0724223	0.6332408	0.4920558	0.3265874	0.4265604	0.6843501	0.2094628
110	0.1589348	0.6794991	0.3092780	0.0522412	0.5817956	0.5300913	0.2817059	0.3640394	0.6485923	0.1657406
115	0.0771008	0.5940895	0.2230977	0.0580378	0.6034253	0.4688817	0.3081288	0.3144809	0.6908357	0.2266589
120	0.0745234	0.6548445	0.2564836	0.0612132	0.6057391	0.4851066	0.3407769	0.2864661	0.7044568	0.1625890
125	0.0846082	0.6078715	0.1633237	0.0668649	0.6933090	0.6367974	0.2901217	0.3084093	0.7996198	0.1394188
130	0.0683339	0.6742422	0.2060815	0.0682131	0.5425736	0.4978040	0.3459411	0.3284275	0.6423249	0.1383596
135	0.0949034	0.6743312	0.1870771	0.0516008	0.5207140	0.5888880	0.2844255	0.3338140	0.5927170	0.1165078
140	0.0785438	0.6902709	0.2197517	0.0739125	0.7299826	0.4745616	0.3175269	0.2795480	0.6324291	0.1172904
145	0.0608019	0.6283408	0.2328409	0.0395970	0.6659825	0.5949759	0.4328141	0.2767523	0.7134977	0.0901553
150	0.1037232	0.6244862	0.2035117	0.0692558	0.6801186	0.4935302	0.4019516	0.2631111	0.6013681	0.0962007
155	0.1302486	0.5648339	0.2168690	0.0414602	0.6555494	0.4987098	0.5730293	0.3640069	0.6765431	0.0864384
160	0.0562704	0.5707250	0.2191966	0.0947134	0.5650327	0.4984475	0.4879031	0.3041033	0.6489523	0.0710564
165	0.0539763	0.5927702	0.2391311	0.0816594	0.6067810	0.5264597	0.4926075	0.2832223	0.5972902	0.0499613
170	0.0831959	0.6047682	0.2224404	0.0796515	0.6820448	0.4864433	0.5707235	0.2857500	0.6899683	0.0626353
175	0.0719601	0.5862983	0.1726937	0.1011539	0.5380172	0.4097266	0.4524290	0.3309844	0.6569871	0.0480326
180	0.0661988	0.5568790	0.2338294	0.0912265	0.7334726	0.4834876	0.5130050	0.2788892	0.6412117	0.0419341
185	0.0694772	0.5612601	0.2164462	0.0703376	0.6108147	0.4140560	0.4975388	0.2742047	0.6786701	0.0757500
190	0.0584168	0.5206910	0.2149626	0.1086265	0.6450101	0.3702832	0.5524749	0.3418447	0.5644595	0.0467290
195	0.0850815	0.5874864	0.2099714	0.0736931	0.6131050	0.5673179	0.6107556	0.3810889	0.7580447	0.0606094
200	0.0499065	0.5350544	0.2847871	0.0951986	0.6115553	0.4680177	0.6891826	0.3714686	0.6944332	0.0723538
205	0.0609473	0.6552212	0.1819260	0.0733883	0.6583003	0.5597702	0.6644368	0.2677378	0.7649223	0.0342923
210	0.1078396	0.6791100	0.2379683	0.0909338	0.6303846	0.5802625	0.6432525	0.3655081	0.6256853	0.0309031
215	0.0769509	0.6100042	0.2391010	0.0839590	0.6715999	0.5087617	0.6831544	0.3393965	0.6318776	0.0306827
220	0.0832468	0.6270829	0.1969235	0.0719847	0.6937958	0.4721346	0.5552341	0.3585688	0.6980479	0.0593950
225	0.0479259	0.7053086	0.2611472	0.0764608	0.5564742	0.5031288	0.5974101	0.3025919	0.5944417	0.0363375
230	0.0897198	0.5997294	0.2387305	0.1101391	0.6407289	0.4716964	0.5603987	0.3686225	0.6691234	0.0431584
235	0.0606405	0.6274138	0.2783062	0.0985297	0.5392851	0.4712762	0.7778691	0.3427596	0.7838505	0.0478633
240	0.0622729	0.6642324	0.2000842	0.1332568	0.6074756	0.4476679	0.5916901	0.3001477	0.5920957	0.0504555
245	0.0617023	0.7962567	0.3708650	0.0989003	0.6424405	0.5788347	0.5445063	0.3716588	0.6256610	0.0513423
250	0.1024860	0.6605881	0.2542441	0.1187510	0.5806108	0.4032464	0.7293348	0.2798873	0.6063086	0.0383970
