"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1610928	0.5967265	0.2859269	0.0845146	0.6794089	0.4118916	0.2127110	0.7221215	0.5668391	0.6532122
5	0.1340513	0.7711210	0.2472706	0.0688869	0.5614564	0.4268514	0.1426875	0.6011492	0.6384623	0.5655379
10	0.0935603	0.6618099	0.1841289	0.0728680	0.6999192	0.4802579	0.1725948	0.6232084	0.7991185	0.5254945
15	0.1239258	0.6491321	0.2042432	0.0796728	0.6820058	0.5388522	0.1484698	0.5680726	0.7155987	0.4907149
20	0.0600708	0.7166020	0.1500511	0.0742423	0.7757716	0.5379391	0.1742768	0.5261111	0.6784029	0.5449247
25	0.0749159	0.7329940	0.1601686	0.0687810	0.7525196	0.4421784	0.1479820	0.4507651	0.7159618	0.6294733
30	0.0831173	0.7057484	0.1372577	0.0871829	0.6387023	0.4941905	0.1949456	0.5512057	0.6141120	0.4608429
35	0.0962665	0.8250168	0.1391060	0.0971059	0.6627977	0.4979719	0.1775314	0.4183299	0.6651357	0.6764473
40	0.0704016	0.7995503	0.1297983	0.0906674	0.6970696	0.4123831	0.1723558	0.3454970	0.7479825	0.5713236
45	0.0558519	0.7145666	0.1764576	0.1029199	0.7389499	0.4476744	0.1966075	0.4195430	0.5554172	0.6260584
50	0.1265492	0.5759030	0.1307469	0.0557178	0.7095761	0.3752442	0.1998078	0.3288188	0.6901764	0.6698375
55	0.0613734	0.6697115	0.0790223	0.0871319	0.7085645	0.3901687	0.2140620	0.3589029	0.6334820	0.6374787
60	0.0710563	0.6587001	0.1131081	0.0793859	0.6817918	0.3461200	0.2246884	0.2831455	0.6531112	0.5817197
65	0.0927572	0.6716545	0.1014773	0.0758504	0.8349792	0.4252344	0.2397287	0.2942347	0.6988859	0.6334821
70	0.0663641	0.5719607	0.0830455	0.0509356	0.5997285	0.4723988	0.1743534	0.2921648	0.6774630	0.6605110
75	0.0948434	0.6106971	0.1156120	0.0847281	0.7036617	0.3485573	0.2649627	0.2703488	0.7467032	0.6364896
80	0.0702668	0.6576947	0.0639594	0.0698759	0.7077829	0.4271336	0.1757875	0.2099832	0.6262807	0.6873968
85	0.0960377	0.6958323	0.0494100	0.0775552	0.7108988	0.3772830	0.1892551	0.1919147	0.7689352	0.7918259
90	0.0912569	0.7239692	0.0501877	0.0775373	0.6817281	0.3319379	0.2926187	0.1309121	0.6679417	0.6303620
95	0.0547665	0.7186800	0.0464959	0.0622057	0.6912917	0.3283331	0.1905539	0.1342511	0.6637139	0.7630411
100	0.0884733	0.7408830	0.0429586	0.0637881	0.6151452	0.3148442	0.1621708	0.1350423	0.6812647	0.6176759
105	0.1048502	0.6673400	0.0328400	0.0776278	0.7000407	0.3371591	0.2252854	0.1546731	0.6426752	0.6159006
110	0.1065992	0.6812486	0.0228129	0.0649009	0.7070012	0.2796383	0.2078452	0.1239947	0.6886979	0.6604920
115	0.0667854	0.6748266	0.0860768	0.0692685	0.6540366	0.2375095	0.2585881	0.0845279	0.6504671	0.5676869
120	0.0811145	0.6391522	0.0470270	0.0586041	0.5702224	0.2044694	0.2014527	0.0743370	0.6366557	0.7508913
125	0.0592838	0.5935724	0.0265138	0.0681400	0.6449898	0.2374849	0.2198678	0.0792886	0.6326279	0.6819460
130	0.0715784	0.7024555	0.0220788	0.0753353	0.6392054	0.1811447	0.2734273	0.0610167	0.6694369	0.7321776
135	0.0971172	0.5808751	0.0265473	0.0453870	0.7159028	0.1900196	0.2349400	0.0588687	0.5791889	0.6794740
140	0.0618096	0.6091571	0.0203589	0.0740079	0.7737410	0.1689087	0.2336656	0.0363774	0.4756431	0.6827707
145	0.0635623	0.6042085	0.0128247	0.0644046	0.7420281	0.2443017	0.1778801	0.0476692	0.6243780	0.6024836
150	0.0443235	0.5895603	0.0155679	0.0623716	0.7700941	0.2024588	0.1643631	0.0257642	0.5231003	0.5780930
155	0.0566366	0.6416868	0.0236865	0.1228492	0.7879378	0.1499700	0.1962486	0.0283873	0.5721112	0.8124225
160	0.0526675	0.6003944	0.0410041	0.0724142	0.6534396	0.2247096	0.1899819	0.0335948	0.5100044	0.6509345
165	0.0572557	0.7159800	0.0194578	0.1073024	0.8235071	0.1502437	0.1176240	0.0244179	0.8030582	0.5664532
170	0.0433680	0.6372568	0.0139332	0.1035922	0.6948281	0.1164468	0.2287018	0.0397883	0.6104227	0.5284848
175	0.0717299	0.6112344	0.0103938	0.0513921	0.6486181	0.1346670	0.2045436	0.0233540	0.5968709	0.5870925
180	0.0690973	0.6703277	0.0195682	0.1059876	0.7504504	0.1211505	0.2069563	0.0257267	0.6133446	0.5447625
185	0.0594435	0.6735815	0.0174466	0.1085210	0.6500684	0.1223174	0.2558936	0.0191917	0.5741615	0.5933457
190	0.1029858	0.5967905	0.0103936	0.0735778	0.7026471	0.1073883	0.2103842	0.0217894	0.5833522	0.5289699
195	0.0560160	0.8737181	0.0160349	0.0623362	0.6824351	0.1012593	0.2401230	0.0115119	0.5339390	0.5484494
200	0.0703608	0.6268273	0.0155497	0.1016470	0.7093759	0.1022779	0.1970000	0.0096323	0.5123419	0.5739661
205	0.0958454	0.5921195	0.0148647	0.0819899	0.6327789	0.1587245	0.1951730	0.0042198	0.6099014	0.5728526
210	0.0736955	0.6962271	0.0068609	0.0687432	0.6075110	0.1116163	0.2171116	0.0281486	0.6052815	0.6444205
215	0.0704292	0.7593832	0.0084457	0.1099882	0.7079766	0.0966708	0.2388407	0.0072816	0.6464568	0.6164925
220	0.0901796	0.5867766	0.0170436	0.1301023	0.5765080	0.0706898	0.1669019	0.0142177	0.5794003	0.6137060
225	0.0558506	0.6780625	0.0050265	0.0982592	0.6124617	0.0976342	0.2547132	0.0036192	0.7442657	0.5606486
230	0.0476626	0.7784888	0.0140067	0.0681335	0.5955872	0.0525468	0.1842188	0.0039129	0.6780583	0.7083283
235	0.0862410	0.5816469	0.0163860	0.0694397	0.5878803	0.0645770	0.2115489	0.0187243	0.5749732	0.6809597
240	0.0498797	0.7448916	0.0086091	0.1132634	0.5842077	0.1245881	0.2742315	0.0073619	0.6345575	0.5776641
245	0.0468426	0.6569300	0.0046665	0.0583261	0.5513312	0.0669436	0.2253696	0.0033007	0.6184529	0.6609632
250	0.0737054	0.6284079	0.0034295	0.0485373	0.5781355	0.0312376	0.2466798	0.0025644	0.5771144	0.5909608
255	0.1287605	0.5830487	0.0078041	0.0486445	0.6429424	0.0499884	0.1783764	0.0031319	0.6369857	0.6937596
260	0.1376658	0.6352658	0.0071550	0.0647821	0.5900550	0.0346259	0.2457321	0.0010023	0.7310587	0.7130949
265	0.0746401	0.7267909	0.0096308	0.0575434	0.6511496	0.0619340	0.1671875	0.0063760	0.6337282	0.7669708
