"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0868325	0.5570002	0.2475145	0.0884694	0.6548311	0.4092717	0.1991358	0.5160855	0.6192279	0.5991339
5	0.0419901	0.5309570	0.2404991	0.0896068	0.6329748	0.5554042	0.1040700	0.6841292	0.4809229	0.5486516
10	0.1064736	0.6000262	0.3205725	0.0918840	0.7799435	0.4667293	0.1489463	0.6618343	0.5205413	0.6592219
15	0.1307164	0.7134323	0.2095527	0.1274860	0.6393651	0.5700801	0.1579218	0.5768337	0.6448476	0.5956222
20	0.0644220	0.6861730	0.1964856	0.1025891	0.6689860	0.4475488	0.1169904	0.6941001	0.7182733	0.7306371
25	0.0783108	0.7335317	0.1670506	0.0815703	0.7125808	0.4987899	0.1715750	0.6057378	0.6261771	0.6038592
30	0.0954658	0.6592925	0.1979651	0.0935777	0.6992887	0.3789716	0.1486434	0.5304214	0.6789070	0.7028705
35	0.0895533	0.5880789	0.2415129	0.1097074	0.7254333	0.3972766	0.1705518	0.7483662	0.5964279	0.5901806
40	0.0833239	0.5775101	0.2525978	0.1082780	0.6424149	0.4216364	0.1580297	0.7565781	0.5797687	0.6409755
45	0.0928057	0.5536876	0.1405406	0.0961295	0.6640883	0.4071818	0.1813110	0.6075881	0.5397871	0.6375170
50	0.1070936	0.7362753	0.2004342	0.0723221	0.6455902	0.4626166	0.1775420	0.6715524	0.5356498	0.5363875
55	0.0990605	0.6042104	0.1588277	0.0689159	0.6332389	0.4832384	0.1634166	0.6420529	0.6170928	0.6404016
60	0.0749808	0.5959728	0.1583739	0.0614046	0.5718529	0.4841456	0.1514535	0.6199737	0.7463527	0.5676601
65	0.0380349	0.6323405	0.1924413	0.0934360	0.6141493	0.4427232	0.1774090	0.6457885	0.5881758	0.4886203
70	0.0654988	0.5849658	0.1998051	0.0603447	0.6943117	0.4432002	0.1878548	0.6582328	0.7032215	0.7353430
75	0.1113703	0.6915146	0.1752473	0.0664098	0.6585612	0.4527389	0.1524979	0.5869466	0.5807104	0.6356577
80	0.0737679	0.5994300	0.1681720	0.0473554	0.6804048	0.3956577	0.2123095	0.6230674	0.5778497	0.5574434
85	0.0889689	0.6375602	0.1767651	0.0446804	0.6186808	0.4182483	0.2112912	0.6221273	0.6153418	0.5779204
90	0.0626525	0.7116605	0.1874827	0.0794600	0.7086855	0.3815242	0.1602745	0.4902687	0.6296216	0.6067399
95	0.1126314	0.6692315	0.1586351	0.0773994	0.6734381	0.4572821	0.1537730	0.6716802	0.5524983	0.5611763
100	0.0666629	0.5663469	0.2385269	0.1335167	0.7277156	0.4412187	0.1469034	0.6169439	0.6288089	0.6668245
105	0.0394818	0.6465422	0.1301348	0.1128877	0.6213949	0.4203446	0.1818242	0.6301927	0.5696797	0.5310024
