"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1411494	0.6367352	0.2675695	0.1373835	0.7316782	0.4555891	0.1713802	0.5868961	0.6699877	0.6329025
5	0.0796441	0.6878452	0.2353599	0.1205505	0.6675284	0.4222869	0.2015076	0.5228174	0.6294869	0.5657083
10	0.1757079	0.6463750	0.2322442	0.1302392	0.7186659	0.4323988	0.1367160	0.6631222	0.6172442	0.6098939
15	0.1011957	0.6390119	0.2057781	0.1009516	0.7093962	0.4011611	0.2082880	0.6469256	0.6636190	0.5666954
20	0.0699222	0.6704558	0.1663227	0.0824331	0.7945787	0.4989012	0.1623821	0.5739155	0.6434825	0.6598697
25	0.0842319	0.6230930	0.2518360	0.0945953	0.7269287	0.4345733	0.1599941	0.6563622	0.6233487	0.6890476
30	0.0660705	0.6910133	0.2647706	0.1326090	0.6298163	0.4300442	0.2107327	0.6384017	0.5855883	0.6761748
35	0.0432207	0.5675940	0.2668484	0.1060848	0.6241470	0.4708845	0.1423949	0.6023999	0.5863497	0.8579165
40	0.0678738	0.5621906	0.2384602	0.1498968	0.6140425	0.3960755	0.1417822	0.7137005	0.6759473	0.7533811
45	0.0406406	0.6665762	0.2241531	0.1009407	0.5829606	0.4068431	0.1469458	0.6865707	0.5956913	0.6881819
50	0.0743327	0.6928828	0.3022137	0.1195019	0.5786109	0.4004309	0.1136764	0.6230128	0.7036127	0.6958902
55	0.0548978	0.6568469	0.1783074	0.1189451	0.6793077	0.4180139	0.2199796	0.6328995	0.5791267	0.6897185
60	0.0397196	0.6759773	0.2557091	0.1207710	0.6509571	0.3460386	0.1552901	0.7231678	0.6944422	0.7383397
65	0.0243780	0.8060578	0.2025260	0.1138860	0.5276758	0.4661836	0.1965963	0.7025873	0.8453840	0.7266172
70	0.0478012	0.7285217	0.2505078	0.0719046	0.6489652	0.4434358	0.1908858	0.6861511	0.6447293	0.7904104
75	0.0131822	0.6591347	0.2078783	0.1069693	0.6792327	0.4789087	0.1436130	0.7379550	0.7673457	0.6469160
80	0.0349423	0.5831534	0.1560593	0.0662771	0.6377370	0.3691073	0.1566745	0.6074008	0.7563324	0.6558360
85	0.0342750	0.7283146	0.1806073	0.1290080	0.5607850	0.4017692	0.1328473	0.6554906	0.7063664	0.6048411
90	0.0283873	0.6717448	0.2113994	0.0798486	0.5454716	0.4687403	0.1201912	0.6106633	0.8026771	0.8159371
95	0.0216760	0.6832519	0.1680866	0.1049389	0.6359069	0.5016035	0.1337397	0.5768672	0.6726977	0.6758011
100	0.0292137	0.6335817	0.1133183	0.0987894	0.5410829	0.4017697	0.1748903	0.5963650	0.6617941	0.6815021
105	0.0501065	0.6848089	0.1868637	0.1032687	0.6651025	0.4849770	0.1425799	0.6297499	0.7656788	0.6114861
110	0.0120869	0.6740198	0.1782305	0.0755011	0.5447503	0.4310341	0.1517146	0.5815304	0.7539777	0.6520900
115	0.0375857	0.6400619	0.1769267	0.0795333	0.5172467	0.4633442	0.1817741	0.6245676	0.6391488	0.6085930
120	0.0150732	0.7484978	0.2200322	0.0675411	0.7361054	0.4382624	0.1891141	0.6433126	0.6323835	0.6874893
125	0.0140598	0.6640977	0.2360316	0.1021088	0.6771557	0.4051051	0.1466789	0.7109671	0.5635589	0.5670760
130	0.0128140	0.6135065	0.1521014	0.1160246	0.7622067	0.4402000	0.1616005	0.6072042	0.6655805	0.5801342
135	0.0073122	0.6302175	0.2134102	0.1087468	0.6818622	0.4548789	0.1838200	0.6543406	0.6733055	0.5975859
140	0.0103158	0.5603868	0.2204493	0.1010850	0.6111054	0.5305137	0.1708642	0.5222875	0.6745920	0.6618891
145	0.0131451	0.6067501	0.1862971	0.1086407	0.6570932	0.5371341	0.2026430	0.7173489	0.6918174	0.6082412
150	0.0048332	0.7347889	0.1771924	0.1001761	0.7195890	0.3877859	0.1511409	0.6893301	0.7236237	0.5581570
155	0.0027852	0.6548791	0.2156802	0.1198060	0.7678590	0.4558252	0.1474892	0.5249095	0.7153845	0.6676848
160	0.0050685	0.7672858	0.2535948	0.1123516	0.6581348	0.4091643	0.1341613	0.6608989	0.7604450	0.5056913
165	0.0045302	0.6803009	0.1930587	0.0544107	0.6455207	0.4423053	0.1512401	0.6820714	0.6688580	0.6256418
170	0.0052753	0.6172567	0.1989699	0.0836717	0.6959759	0.4071966	0.0916517	0.5979266	0.7672404	0.6071334
175	0.0018167	0.5641613	0.2406568	0.0493654	0.6590285	0.4024912	0.1359271	0.6747761	0.6803187	0.5443145
180	0.0013057	0.6078513	0.2738222	0.0831016	0.5947650	0.5219687	0.1332074	0.6807945	0.7536609	0.6854301
185	0.0014086	0.6394951	0.1810460	0.0869225	0.7218095	0.3469462	0.1610313	0.7168196	0.6403035	0.6788038
