"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1413227	0.5536926	0.2169146	0.1285917	0.6682420	0.4675449	0.1448279	0.5682465	0.6362954	0.5593475
5	0.0830574	0.7623417	0.2192002	0.0904608	0.7455690	0.5124974	0.1709021	0.6094250	0.6850254	0.6819384
10	0.0380908	0.6758516	0.3135499	0.1041648	0.6303344	0.4186273	0.1636579	0.6057846	0.7208429	0.6798418
15	0.0282780	0.6975468	0.2280037	0.0786814	0.6093797	0.5173109	0.1663595	0.7629498	0.6780235	0.5517996
20	0.0341534	0.6319078	0.1961920	0.1059770	0.5267226	0.4950060	0.1613411	0.6256712	0.7587374	0.6226688
25	0.0191481	0.6339211	0.1761522	0.0982464	0.5937988	0.5173933	0.1792922	0.7323980	0.7641953	0.6219915
30	0.0609841	0.6472937	0.1720082	0.0988367	0.6063188	0.5692111	0.1959130	0.6455225	0.6733037	0.5558168
35	0.0375089	0.5519383	0.2738812	0.0827937	0.6578364	0.4650047	0.2230706	0.5985301	0.7730315	0.6257507
40	0.0404872	0.5135729	0.2597106	0.0819392	0.6581216	0.4451139	0.1870919	0.6365032	0.7211843	0.5866291
45	0.0279482	0.5686769	0.1769784	0.1076704	0.6445659	0.5407916	0.1188892	0.7128968	0.7836747	0.5009243
50	0.0488239	0.5976508	0.2271656	0.1060134	0.6404755	0.5323317	0.1264916	0.5971567	0.7366966	0.5704641
55	0.0336125	0.6355649	0.2592097	0.0656606	0.5111999	0.4387502	0.2014566	0.6684463	0.7818030	0.5993348
60	0.0387327	0.5517072	0.2054656	0.0657210	0.6447082	0.5088065	0.1809975	0.7237265	0.6708627	0.5879174
65	0.0869507	0.5656707	0.2146557	0.0702241	0.5547505	0.5673034	0.2078960	0.7388789	0.6406306	0.4926408
70	0.0416545	0.5941349	0.2319275	0.0873716	0.5761100	0.3923825	0.1745518	0.6299199	0.6865828	0.4796660
75	0.0469303	0.6522463	0.1919357	0.1019688	0.4879554	0.4345515	0.1813157	0.6759806	0.5543508	0.4625966
80	0.0527822	0.7149773	0.2281035	0.0842727	0.4980420	0.4012213	0.1843459	0.5675782	0.7263399	0.4957009
85	0.0425856	0.6525576	0.2695215	0.0874864	0.4531421	0.4372298	0.2196083	0.6243084	0.7015561	0.4231778
90	0.0494268	0.7414573	0.3044627	0.1017053	0.4827369	0.4760043	0.2130231	0.5649815	0.5653390	0.5677060
95	0.0369902	0.7207973	0.2194112	0.0980096	0.6256835	0.5003044	0.2139006	0.5947750	0.7903039	0.4998930
100	0.0594145	0.6308591	0.1955046	0.0968989	0.5695289	0.4463484	0.2189232	0.5523865	0.5769706	0.5577375
105	0.0536222	0.6870921	0.2076159	0.0519660	0.4605964	0.4742242	0.2345253	0.5590062	0.6425292	0.5568474
110	0.0491917	0.7717013	0.1400338	0.0862789	0.5258699	0.4498590	0.2608614	0.6182527	0.6539963	0.4792648
115	0.0467305	0.7204743	0.1782427	0.0755787	0.6385159	0.6373765	0.2095560	0.5395443	0.5120817	0.4965324
120	0.0585065	0.7967211	0.2085041	0.0441250	0.4821039	0.4758565	0.1980729	0.5950167	0.6989813	0.4913180
125	0.0591425	0.7112270	0.2118447	0.0599140	0.6591836	0.5575379	0.1442021	0.5073990	0.7180325	0.4458495
130	0.0651035	0.7538325	0.1839317	0.0541750	0.5752101	0.5743542	0.1726969	0.6149306	0.5454850	0.5167761
135	0.0647258	0.5964462	0.2234920	0.0460164	0.5728591	0.5831034	0.2288215	0.4456925	0.6527989	0.5023485
140	0.0611108	0.6343122	0.1498501	0.0496179	0.5617140	0.5467761	0.2071109	0.4858817	0.6459610	0.3875243
145	0.0698374	0.6318311	0.1928136	0.0770609	0.5572695	0.4621716	0.1989613	0.5859392	0.6257829	0.3992374
150	0.0487070	0.6379198	0.1996631	0.0678978	0.6674037	0.5522546	0.2101548	0.5217232	0.5566146	0.3471630
155	0.0707344	0.6138835	0.2023303	0.0800320	0.7240621	0.4163389	0.1891389	0.5936064	0.5734270	0.4300937
160	0.0559618	0.5257063	0.2229678	0.0595652	0.5566301	0.4704385	0.2689676	0.7440088	0.5826130	0.4351970
165	0.0719501	0.5069025	0.1962448	0.0556752	0.5671105	0.5244227	0.2457138	0.6103827	0.5558837	0.3966553
170	0.0561793	0.5948763	0.1901319	0.0910523	0.4943787	0.4799900	0.2109403	0.5236211	0.6010062	0.4092667
175	0.0692598	0.6735073	0.1328729	0.0936281	0.5489614	0.4456316	0.3238566	0.6189352	0.6509783	0.4455642
180	0.1122653	0.6067864	0.1447717	0.0731131	0.4933362	0.5203824	0.2118979	0.5828094	0.5840227	0.4712864
